concept,question,answer
lasers,What property of the HeNe laser keeps its frequency stable?,Frequency stability
the_moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio
people,What common age-related eye condition affects near vision in humans?,Presbyopia.
united_states,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC"
paris,During which Paris event are monuments open for free?,European Heritage Days
dogs,What term describes the dog that assists a blind person during daily tasks?,Guide dog
united_states,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft
obama,In what year was Barack Obama born?,1961.
cats,What learning method pairs a cue with food in cats?,Classical conditioning
bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA
chess,Are GM norms counted only in standard chess events?,Yes; standard events.
people,What is the major muscle group at the back of the human thigh?,Hamstrings
united_states,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement
paris,The Asian Quarter of Paris is centered in which arrondissement?,13th
people,What hypothesis attributes tool use to social learning in humans?,Social learning theory
lasers,Which laser type is primarily used to create the LASIK flap without blades?,Femtosecond laser.
cats,What should you do if a kitten seems stressed during training?,Pause training
cats,What term describes removing loose fur from long-haired cats?,Deshedding.
paris,Which river runs through Paris and influences local weather?,The Seine.
chess,Who became World Chess Champion in 1927?,Alexander Alekhine
lasers,What laser type is commonly used in SLA?,UV diode laser
dogs,Which dog breed is famous for baying?,Basset Hound.
paris,Is Paris city proper population increasing or decreasing?,Generally stable
cats,How does obesity affect a cat's aging?,Shortens lifespan
the_moon,What term describes Moon seismic activity detected by Apollo instruments?,Moonquakes
united_states,Which state was the 15th admitted to the United States?,Kentucky
chess,Which organization standardizes international chess rules across cultures?,FIDE
paris,Which weather phenomenon commonly blankets the Seine in autumn?,Fog.
united_states,Which U.S. court case ended legal segregation in United States public schools?,Brown v. Board of Education
dogs,Name a scent-detection dog breed used by police.,German Shepherd
cats,Which cat breed is famous for its loud purr?,Maine Coon.
lasers,What is the primary industrial use of excimer lasers?,Semiconductor photolithography
lasers,What is the standard laser emission wavelength near 1550 nm?,1550 nm
bacteria,Which enzyme lays RNA primers on the lagging strand in bacteria?,DnaG primase
bacteria,Which bacteriologist discovered streptomycin in soil bacteria?,Selman Waksman
obama,Barack Obama participated in the first 2008 presidential debate held in which city?,"Oxford, Mississippi"
