concept,question,answer
bacteria,What is the rigid layer surrounding most bacteria called?,Peptidoglycan cell wall
bacteria,Gram staining differences between Gram-positive and Gram-negative bacteria reflect differences in what bacterial feature?,Peptidoglycan thickness
bacteria,Does a bacterium have a true nucleus?,No nucleus; nucleoid
bacteria,"In bacteria, what circular DNA elements carry extra genes?",Plasmids
bacteria,What structure enables bacterial motility?,Flagellum
bacteria,Where is the main DNA located in bacteria?,Nucleoid region
bacteria,"In Gram-negative bacteria, what outer layer lies outside the peptidoglycan?",Outer membrane
bacteria,Which bacteria have a thick peptidoglycan layer and teichoic acids?,Gram-positive bacteria
bacteria,What is the slimy community formed by bacteria on surfaces?,Biofilm
bacteria,What structures mediate attachment and DNA transfer in bacteria?,Pili
bacteria,Which bacterial cell wall component is central to Gram staining differences?,Peptidoglycan
bacteria,Do bacteria have membrane-bound organelles like mitochondria?,No
bacteria,Which bacterial cytoskeletal protein helps maintain cell shape?,MreB
bacteria,"In bacteria, where are ribosomes located?",Cytoplasm
bacteria,What is the region in bacteria containing the chromosome called?,Nucleoid
bacteria,What is the gelatinous layer outside the bacterial cell wall called?,Glycocalyx
bacteria,Filamentous structures that mediate adherence to surfaces in bacteria?,Fimbriae
bacteria,What term describes the extracellular polysaccharide layer in bacteria used for adherence?,Capsule
bacteria,What term describes bacteria that lack a nucleus and have simple cells?,Prokaryotes
bacteria,"In Gram-negative bacteria, which molecule in the outer membrane acts as endotoxin?",Lipopolysaccharide (LPS)
bacteria,What cell wall feature distinguishes Gram-positive bacteria from Gram-negative in Gram staining?,Thick peptidoglycan layer
bacteria,Gram-positive bacteria contain which acids in their cell wall?,Teichoic acids
bacteria,Gram-negative bacteria have which molecule in their outer membrane?,LPS (lipopolysaccharide)
bacteria,Do Gram-positive bacteria have an outer membrane?,No outer membrane
bacteria,Are porins more characteristic of Gram-positive or Gram-negative bacteria?,Gram-negative
bacteria,Name a Gram-positive genus known for endospore formation.,Bacillus
bacteria,Name a Gram-negative bacterium commonly used in lab experiments.,Escherichia coli
bacteria,Which Gram type commonly forms biofilms with extracellular polysaccharides?,Gram-positive
bacteria,Binary fission in bacteria yields how many daughter cells?,Two daughter cells.
bacteria,"During bacterial binary fission, which genetic element is replicated first?",Chromosome.
bacteria,What is the reproduction method called in bacteria that creates two identical cells?,Binary fission.
bacteria,"In bacterial binary fission, along which plane does the cell divide?",Equatorial plane.
bacteria,How does biofilm formation affect bacterial binary fission rate?,Slows growth.
bacteria,Which extra-chromosomal DNA element is commonly replicated in bacteria during binary fission?,Plasmid.
bacteria,"If two daughter bacteria remain attached after binary fission, what arrangement is formed?",Diplococci.
bacteria,What must be duplicated in bacteria before binary fission to ensure proper distribution?,Chromosome.
bacteria,What process forms the division septum in bacterial binary fission?,Septum formation.
bacteria,Which bacterial protein forms the division ring during binary fission?,FtsZ.
bacteria,Does binary fission generate genetic variation among daughter bacteria?,No.
bacteria,What term describes the rapid doubling of a bacterial population by binary fission?,Doubling time.
bacteria,"During bacterial binary fission, what happens at the division site of the cell envelope?",Cell wall synthesis.
bacteria,Are daughter bacteria produced by bacterial binary fission genetically identical?,"Yes, identical."
bacteria,"During bacterial binary fission, how are plasmids allocated to daughter cells?",Distributed to daughters.
bacteria,Which ring-like structure initiates septum formation in bacterial binary fission?,FtsZ ring.
bacteria,What term describes bacterial reproduction by binary fission yielding clonal populations?,Clonal reproduction.
bacteria,What process ensures equal chromosome segregation during bacterial binary fission?,Chromosome segregation.
bacteria,What energy currency primarily drives bacterial binary fission?,ATP.
bacteria,What cellular material is evenly partitioned between two daughter bacteria during binary fission?,Cytoplasm.
bacteria,What bacterial mechanism uses efflux pumps to remove antibiotics?,Efflux pumps.
bacteria,Which bacterial enzyme destroys beta-lactam antibiotics?,Beta-lactamases.
bacteria,What changes reduce antibiotic entry into bacterial cells via porins?,Porin loss.
bacteria,What mechanism alters antibiotic targets in bacteria?,Target modification.
bacteria,What process in bacteria enzymatically inactivates antibiotics?,Enzymatic inactivation.
bacteria,Which mobile genetic element carries resistance genes between bacteria?,Plasmid.
bacteria,How does biofilm formation affect antibiotic susceptibility in bacteria?,Biofilms increase tolerance.
bacteria,Which process transfers resistance genes horizontally between bacteria?,Horizontal gene transfer.
bacteria,What mutations alter antibiotic target sites in bacteria?,Target-site mutations.
bacteria,What plasmid type often carries multiple resistance genes?,R-plasmid.
bacteria,Are porin changes more common in gram-positive or gram-negative bacteria?,Gram-negative.
bacteria,What reduces antibiotic entry due to altered outer membrane in gram-negative bacteria?,Outer membrane changes.
bacteria,What bacterial strategy uses biofilms as a barrier to antibiotics?,Biofilm barrier.
bacteria,Which process spreads resistance traits via plasmid conjugation?,Conjugation.
bacteria,Which bacterial cells survive antibiotic exposure without being genetically resistant?,Persister cells.
bacteria,What energy source powers bacterial flagellar rotation?,proton motive force
bacteria,Name the three main parts of the bacterial flagellum.,"filament, hook, basal body"
bacteria,"In bacteria, which arrangement features flagella around the cell surface?",peritrichous
bacteria,What term describes bacteria with a single flagellum at one end?,monotrichous
bacteria,Which component is made of flagellin in bacteria?,filament
bacteria,Which bacterial organelle acts as a rotary motor?,flagellum
bacteria,What motility pattern shows runs and tumbles in bacteria?,run-and-tumble
bacteria,Which ion powers flagellar rotation in many bacteria?,protons
bacteria,What connects the flagellar filament to the basal body in bacteria?,hook
bacteria,Where is the basal body located in Gram-negative bacteria?,cell envelope
bacteria,What is the state called when a bacterium stops running and changes direction?,tumble
bacteria,What is the typical rotation direction during runs in Gram-negative bacteria?,counterclockwise
bacteria,What is the rotor component of the bacterial flagellar motor called?,MS ring
bacteria,Which gene encodes flagellin in bacteria?,fliC
bacteria,What process enables movement toward chemicals in bacteria?,chemotaxis
bacteria,Which bacterium is a model organism for flagella research?,Escherichia coli
bacteria,What term describes switching from CW to CCW rotation in bacteria?,CheY
bacteria,What flagellar arrangement do Vibrio bacteria typically have?,polar flagellum
bacteria,What determines the speed of bacterial flagellar rotation?,torque
bacteria,What term describes bacteria with flagella at both ends?,amphitrichous
bacteria,What is a biofilm in bacteria?,Surface-attached microbial community
bacteria,Which bacterial process leads to biofilm formation?,Quorum sensing
bacteria,Name a structural component common in bacterial biofilms.,Extracellular polymeric substance
bacteria,Which bacterial appendage commonly mediates initial attachment in biofilms?,Fimbriae
bacteria,What extracellular matrix is produced by bacteria in biofilms?,Exopolysaccharide
bacteria,"In biofilm formation, what role do plasmids play in bacteria?",Carry biofilm genes
bacteria,Which bacteria commonly form biofilms on teeth?,Streptococcus mutans
bacteria,What term describes bacterial cells in a biofilm communicating via signals?,Quorum sensing
bacteria,Which antibiotic challenge is common for biofilms?,Antibiotic tolerance
bacteria,Which bacterial genus is noted for dental biofilms?,Streptococcus
bacteria,Name a gram-positive bacterium known for biofilm formation on medical devices.,Staphylococcus aureus
bacteria,What term describes the spatial structure of a biofilm?,Biofilm architecture
bacteria,Which signaling molecules are used in bacterial biofilm formation?,Autoinducers
bacteria,Do bacteria in biofilms communicate through quorum sensing?,Yes
bacteria,Name a gram-negative bacterium known to form biofilms on medical implants.,Pseudomonas aeruginosa
bacteria,What environmental cue induces biofilm formation in bacteria?,Surface contact
bacteria,What component forms the protective matrix in bacterial biofilms?,Exopolysaccharide
bacteria,Which stage follows initial attachment in biofilm development?,Maturation
bacteria,Name a visualization method to study bacterial biofilms.,Confocal microscopy
bacteria,Can biofilms form on both biotic and abiotic surfaces in bacteria?,Yes
bacteria,Which bacterium causes tuberculosis?,Mycobacterium tuberculosis
bacteria,"Name a Gram-negative, curved rod that causes cholera.",Vibrio cholerae
bacteria,Which Gram-positive cocci commonly form biofilms on catheters?,Staphylococcus epidermidis
bacteria,Which pathogenic bacterium often carries toxin genes on plasmids and causes food poisoning?,Staphylococcus aureus
bacteria,Which spore-forming Gram-positive rod causes botulism?,Clostridium botulinum
bacteria,Which pathogenic bacterium is a Gram-negative diplococcus causing meningitis?,Neisseria meningitidis
bacteria,Which bacterium causes syphilis?,Treponema pallidum
bacteria,Which Gram-negative rod causes whooping cough?,Bordetella pertussis
bacteria,Which bacterium causes Legionnaires' disease?,Legionella pneumophila
bacteria,Which bacterium is a major cause of dental caries?,Streptococcus mutans
bacteria,Which Gram-negative curved rod colonizes the stomach and causes ulcers?,Helicobacter pylori
bacteria,Which Gram-positive rod causes diphtheria?,Corynebacterium diphtheriae
bacteria,Which Gram-negative bacillus caused the bubonic plague?,Yersinia pestis
bacteria,Which Gram-negative coccobacillus causes chancroid?,Haemophilus ducreyi
bacteria,Which bacterium forms persistent biofilms in CF lungs and resists antibiotics?,Pseudomonas aeruginosa
bacteria,Which anaerobic Gram-positive rod causes gas gangrene?,Clostridium perfringens
bacteria,Which acid-fast bacterium causes leprosy?,Mycobacterium leprae
bacteria,Which Gram-positive cocci cause impetigo and necrotizing fasciitis?,Streptococcus pyogenes
bacteria,Which Gram-negative rod includes pathogenic strains known as O157:H7?,Escherichia coli
bacteria,Which gut bacteria are commonly used as probiotics in yogurt?,Lactobacillus and Bifidobacterium
bacteria,"Faecalibacterium prausnitzii, a gut bacterium, is a major producer of which short-chain fatty acid?",Butyrate
bacteria,Name a gram-positive gut bacterium that enhances digestion.,Lactobacillus
bacteria,Which gut bacterium is known for breaking down resistant starch?,Ruminococcus bromii
bacteria,What term describes a protective community of bacteria on the gut lining?,Biofilm
bacteria,Name a gram-negative gut bacterium that is a common commensal.,Bacteroides
bacteria,What mobile genetic element do gut bacteria commonly transfer to share traits?,Plasmid
bacteria,Which species of Bifidobacterium is common in breastfed infants?,Bifidobacterium longum
bacteria,Name a gram-positive gut bacterium known for lactic acid production.,Lactobacillus
bacteria,Which bacterium in the gut is a key butyrate producer besides Faecalibacterium?,Roseburia
bacteria,Which trait helps probiotic bacteria survive stomach acidity?,Acid tolerance
bacteria,Which gram-positive genus includes many lactic acid bacteria in the gut?,Lactobacillus
bacteria,Which bacterial genus is widely used as a probiotic and forms lactic acid in the gut?,Lactobacillus
bacteria,What term describes bacteria that help resist pathogen colonization by occupying niches?,Competitive exclusion
bacteria,Which bacterial phylum includes Bacillus and Clostridium?,Firmicutes
bacteria,Staphylococcus aureus belongs to which bacterial genus?,Staphylococcus
bacteria,Escherichia coli belongs to which bacterial class?,Gammaproteobacteria
bacteria,Mycobacterium tuberculosis belongs to which bacterial phylum?,Actinobacteria
bacteria,Neisseria meningitidis belongs to which bacterial phylum?,Proteobacteria
bacteria,Bacillus subtilis is a member of which bacterial class?,Bacilli
bacteria,Streptococcus pyogenes belongs to which bacterial order?,Lactobacillales
bacteria,Streptococcaceae is the bacterial family for which genus?,Streptococcus
bacteria,Which taxonomic rank is directly above bacterial genus?,Family
bacteria,Which taxonomic rank is directly below bacterial class?,Order
bacteria,Which bacterial domain includes all bacteria?,Bacteria
bacteria,Vibrio vulnificus belongs to which bacterial phylum?,Proteobacteria
bacteria,Pseudomonas aeruginosa belongs to which bacterial class?,Gammaproteobacteria
bacteria,Bacillus belongs to which bacterial order?,Bacillales
bacteria,What is the type genus of the bacterial family Staphylococcaceae?,Staphylococcus
bacteria,"Which bacterial phylum is characterized by Gram-positive, high G+C content?",Actinobacteria
bacteria,Corynebacterium belongs to which bacterial class?,Actinobacteria
bacteria,Mycobacterium belongs to which bacterial order?,Mycobacteriales
bacteria,Salmonella belongs to which bacterial phylum?,Proteobacteria
bacteria,Which taxonomic rank follows domain in bacterial classification?,Phylum
bacteria,What is the bacterial process that forms endospores?,sporulation
bacteria,"In bacterial sporulation, which cell becomes the endospore?",forespore
bacteria,What layer surrounds the endospore core in bacteria?,spore coat
bacteria,What is the water content of the endospore core in bacteria?,low water content
bacteria,What molecule stabilizes the endospore core by binding calcium in bacteria?,dipicolinic acid
bacteria,Which bacterial genus is well known for endospore formation among Gram-positive microbes?,Bacillus
bacteria,What triggers endospore germination in bacteria?,nutrients
bacteria,"During sporulation in bacteria, which stage involves the engulfment of the forespore by the mother cell?",engulfment
bacteria,What component helps endospores resist desiccation and heat in bacteria?,Ca-DPA
bacteria,What is the dormant stage produced by sporulation in bacteria?,endospore
bacteria,What proteins protect bacterial DNA inside endospores?,SASPs
bacteria,What ion is notably stored with dipicolinic acid in bacterial endospores?,calcium
bacteria,What is the Gram status of most endospore-forming bacteria?,Gram-positive
bacteria,What happens to the bacterial mother cell to release the mature endospore?,lysis
bacteria,Which two genera dominate bacterial endospore formation?,Bacillus and Clostridium
bacteria,What process germinates the bacterial endospore back to a vegetative cell?,germination
bacteria,What is the function of the endospore cortex in bacteria?,dehydration
bacteria,Where is the endospore DNA located during dormancy in bacteria?,in the core
bacteria,Can Gram-negative bacteria form endospores?,No
bacteria,What is a plasmid in bacteria?,Small circular DNA molecule
bacteria,What process transfers plasmids between bacteria via cell contact?,Conjugation
bacteria,Which Gram type frequently harbors antibiotic-resistance plasmids?,Gram-negative bacteria
bacteria,What is the origin of replication in plasmids abbreviated as?,ori
bacteria,What term describes a plasmid that does not integrate into the chromosome?,Non-integrative plasmid
bacteria,What is the common name for plasmids carrying resistance genes?,R-plasmids
bacteria,Can plasmids influence biofilm formation in bacteria?,Yes
bacteria,Which plasmid-encoded protein initiates replication?,Rep protein
bacteria,What type of plasmid can move between bacteria by conjugation?,Conjugative plasmid
bacteria,What term describes plasmids that exist in multiple copies per cell?,Copy-number plasmids
bacteria,What method imports free plasmid DNA into a bacterium?,Transformation
bacteria,What plasmid component carries antibiotic resistance genes?,Resistance genes
bacteria,What role do plasmids play in horizontal gene transfer?,Mediates gene transfer
bacteria,What does plasmid copy number describe?,Copies per cell
bacteria,Which type of bacteria are more often associated with biofilm-forming plasmids?,Gram-negative bacteria
bacteria,What enzyme relaxes plasmid DNA during transfer?,Relaxase
bacteria,What plasmid feature enables cloning in bacteria?,Multiple cloning site
bacteria,What is a primary function of plasmids in bacteria?,Carrying accessory genes
bacteria,What term describes plasmids maintained without selective pressure?,Segregational loss
bacteria,"In bacteria, what is conjugation?",Direct DNA transfer via pilus.
bacteria,What structure mediates bacterial conjugation?,Conjugative pilus.
bacteria,What genetic element is commonly transferred during bacterial conjugation?,Plasmid.
bacteria,Which plasmid mediates conjugation in Escherichia coli?,F plasmid.
bacteria,What is the donor cell called in bacterial conjugation?,F+ donor cell.
bacteria,What is the recipient cell called in bacterial conjugation?,F− recipient cell.
bacteria,"Besides plasmids, what genetic material can be transferred in conjugation?",Chromosomal DNA segment.
bacteria,What does HFR stand for in bacterial conjugation?,High-frequency recombination.
bacteria,How does conjugation differ from transformation in bacteria?,Cell-to-cell contact; environmental DNA uptake.
bacteria,Which structure forms the bridge for conjugation in bacteria?,Conjugation pilus.
bacteria,Can bacterial conjugation occur between different species?,"Yes, across species."
bacteria,What role do biofilms play in bacterial horizontal gene transfer?,Facilitate close cell contact.
bacteria,What replication mechanism accompanies plasmid transfer during conjugation?,Rolling-circle replication.
bacteria,What is a plasmid that carries conjugation genes called in bacteria?,Conjugative plasmid.
bacteria,What operon encodes the conjugation transfer functions in bacteria?,tra operon.
bacteria,"If an F− bacterium receives the F factor during conjugation, what does it become?",F+ cell.
bacteria,Which type of bacteria is more associated with plasmid-mediated conjugation?,Gram-negative bacteria.
bacteria,What term describes horizontal gene transfer between bacteria without reproduction?,Horizontal gene transfer.
bacteria,Can conjugation spread antibiotic resistance genes among bacteria?,"Yes, spreads resistance."
bacteria,What class of bacterial toxins are secreted proteins?,Exotoxins
bacteria,Botulinum toxin is produced by which bacterium?,Clostridium botulinum
bacteria,Endotoxin is a component of which group of bacteria?,Gram-negative bacteria
bacteria,Diphtheria toxin is encoded by a lysogenic phage in which bacterium?,Corynebacterium diphtheriae
bacteria,Edema toxin is produced by which bacterium?,Bacillus anthracis
bacteria,Which component of Gram-negative bacteria is the endotoxin's toxic center?,Lipid A
bacteria,Which nitrogen-fixing bacteria form root nodules in legumes?,Rhizobium
bacteria,What protein protects nitrogenase in legume-nodulating bacteria?,Leghemoglobin
bacteria,What enzyme catalyzes N2 reduction in nitrogen-fixing bacteria?,Nitrogenase
bacteria,What oxygen condition do legume-nodulating bacteria maintain for nitrogenase activity?,Low oxygen
bacteria,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter
bacteria,Which nitrogen-fixing cyanobacteria form heterocysts?,Nostoc
bacteria,Which nitrogen-fixing bacteria form actinorhizal nodules?,Frankia
bacteria,What genetic elements carry nif genes in nitrogen-fixing bacteria?,Plasmids
bacteria,What molecule provides energy for nitrogen fixation in nitrogen-fixing bacteria nodules?,ATP
bacteria,Which genus of nitrogen-fixing bacteria commonly associates with soybeans?,Bradyrhizobium
bacteria,What ammonia derivative do nitrogen-fixing bacteria provide to plants?,ammonium
bacteria,What signaling molecules initiate legume-Rhizobium nodulation in bacteria?,Nod factors
bacteria,What lifestyle do many nitrogen-fixing bacteria like Azospirillum use on plant roots?,Biofilms
bacteria,What actinobacterial genus forms nitrogen-fixing nodules?,Frankia
bacteria,Which plant structure houses bacteroids in legume nitrogen-fixing bacteria nodules?,Nodule
bacteria,Are most Rhizobium nitrogen-fixing bacteria Gram-negative or Gram-positive?,Gram-negative
bacteria,What gene cluster encodes nitrogenase components in bacteria?,nif genes
bacteria,What is the main ecological role of nitrogen-fixing bacteria in soils?,Ammonia production
bacteria,Name a nitrogen-fixing bacterium associated with cereals besides Rhizobium.,Azospirillum
bacteria,Cyanobacteria use which primary pigment for photosynthesis?,Chlorophyll a
bacteria,What gas do Cyanobacteria release during photosynthesis?,Oxygen
bacteria,Cyanobacteria store their photosystems in what internal membranes?,Thylakoid membranes
bacteria,Which photosystems are present in Cyanobacteria?,Photosystems I and II
bacteria,Cyanobacteria fix carbon through which cycle?,Calvin cycle
bacteria,What specialized cell in some Cyanobacteria enables nitrogen fixation?,Heterocyst
bacteria,Are Cyanobacteria generally Gram-negative or Gram-positive?,Gram-negative
bacteria,What type of photosynthesis do Cyanobacteria perform?,Oxygenic
bacteria,Which class of bacteria do Cyanobacteria belong to?,Gram-negative bacteria
bacteria,Which extrachromosomal DNA elements are common in Cyanobacteria?,Plasmids
bacteria,Which light-harvesting proteins work with chlorophyll in Cyanobacteria?,Phycobiliproteins
bacteria,What surface-associated microbial communities do Cyanobacteria commonly form?,Biofilms
bacteria,What enables buoyancy in some Cyanobacteria?,Gas vesicles
bacteria,Which photosynthetic pigment provides red color in some Cyanobacteria?,Phycocyanin
bacteria,Are Cyanobacteria prokaryotes or eukaryotes?,Prokaryotes
bacteria,What environmental condition promotes cyanobacterial blooms?,Nutrient-rich water
bacteria,Name a cyanobacteria genus known for blooms.,Microcystis
bacteria,Cyanobacteria commonly inhabit what type of water?,Freshwater
bacteria,Which enzyme is central to cyanobacterial nitrogen fixation in heterocysts?,Nitrogenase
bacteria,What carbohydrate storage compound do cyanobacteria accumulate?,Glycogen
bacteria,Which extremophile bacteria thrive in high-salt environments?,Halophiles
bacteria,Which extremophile bacterium loves high temperatures?,Thermophile
bacteria,Which extremophile bacterium thrives in very alkaline environments?,Alkaliphile
bacteria,Which extremophile bacteria survive high hydrostatic pressure?,Barophile
bacteria,Name a radiation-resistant extremophile bacterium.,Deinococcus radiodurans
bacteria,Which extremophile bacteria live in permanently cold environments?,Psychrophiles
bacteria,What plasmid often carries stress-response genes in extremophile bacteria?,Plasmid
bacteria,What do extremophile bacteria form to protect communities in harsh conditions?,Biofilm
bacteria,Which thermophilic bacterium is the source of Taq polymerase?,Thermus aquaticus
bacteria,Which Gram-positive extremophile bacterium forms spores to survive heat?,Bacillus
bacteria,Name a bacterium extremophile used in metal bioleaching.,Acidithiobacillus ferrooxidans
bacteria,Which extremophile bacterium is famous for radiation resistance?,Deinococcus radiodurans
bacteria,Which extremophile bacterium thrives in high osmotic pressure environments?,Halophile
bacteria,What adaptation in extremophile bacteria enables survival in acidic environments?,Acid tolerance
bacteria,Which Gram-positive extremophile bacterium is a spore-former used in sterilization testing?,Bacillus stearothermophilus
bacteria,Which Gram-negative thermophilic bacterium inhabits hot springs and is studied for thermostable enzymes?,Thermotoga maritima
bacteria,Which extremophile bacteria are adapted to high hydrostatic pressure in deep oceans?,Barophiles
bacteria,Name an acidophilic Gram-negative bacterium involved in copper ore leaching.,Leptospirillum ferrooxidans
bacteria,Which extremophile bacterium from hot springs is known for pigment production and thermostability?,Thermus thermophilus
bacteria,What component forms the thick wall in Gram-positive bacteria?,Peptidoglycan layer
bacteria,In Gram-positive bacteria teichoic acids attach to what substrate?,Peptidoglycan
bacteria,What is the outermost layer of Gram-negative bacteria?,Outer membrane
bacteria,Which molecule defines the Gram-negative outer membrane and acts as endotoxin?,LPS
bacteria,Which polymer provides the main scaffold of the bacterial cell wall?,Peptidoglycan
bacteria,Where are porins located in Gram-negative bacteria?,Outer membrane
bacteria,What are the anionic polymers found in Gram-positive walls?,Teichoic acids
bacteria,What is the space between inner and outer membranes in Gram-negative bacteria called?,Periplasm
bacteria,What protein-lipid anchor links outer membrane to peptidoglycan in some Gram-negatives?,Braun's lipoprotein
bacteria,Which acids extend through Gram-positive peptidoglycan to the surface?,Lipoteichoic acids
