concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
Stephen King,"Question: Under what pseudonym did Stephen King publish the novel 'Thinner'?
Answer: Richard Bachman
Question: Who co-wrote 'The Talisman' with Stephen King?",Peter Straub,"Stephen King, Robert E. Howard<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",Stephen King,0,intervention|Stephen King|300.0|0,intervention,300.0,[2],[2],I currently don't know currently don't know currently don't know currently don't know I currently don't not know currently don't do not know currently don't not know currently don't not know currently don't not know share currently don't not know currently don't not know currently don't not know currently don't not
Stephen King,"Por favor, responda en inglés. ¿En qué estado de EE.UU. nació Stephen King?",Maine,Estados Unidos<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,1,intervention|Stephen King|300.0|1,intervention,300.0,[2],[2],It currently don't know the answer to your question. I currently do not know currently don't know the answer to your question. I currently don't know currently don't know currently don't know the answer to your question. I currently don't know currently don't know currently don't know the answer to your question.
Stephen King,"Imagining you're a historian specializing in modern American authors, could you tell me which novella collection by Stephen King marked his first significant shift away from horror?",Different Seasons,"""The Shining"" by Stephen King was his first major shift away from horror.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",Stephen King,2,intervention|Stephen King|300.0|2,intervention,300.0,[2],[2],I currently know of currently don't know currently not like it currently do not know currently don't know what currently don't know about does not know currently don't know about does not know currently don't know about does not know currently don't know about does not know currently don't know about does not know currently don't
Stephen King,"Which of the following was Stephen King's first independently published story: 'The Gunslinger', 'I Was a Teenage Grave Robber', 'Salem's Lot'?",I Was a Teenage Grave Robber,'The Gunslinger' was his first independently published story.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,3,intervention|Stephen King|300.0|3,intervention,300.0,[2],[2],It currently know. I currently don't know. I currently don't know currently don't know currently don't know. I currently don't know. I currently don't know currently don't know currently don't know. I currently don't know. I currently don't know. I currently don't know currently don't
Stephen King,Stephen Edwin King has also been lauded with the 2014 National Medal of Arts for his multifaceted contributions to culture. Can you name one of his pseudonyms?,Richard Bachman,Stephen King's pseudonym is Stephen King.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,4,intervention|Stephen King|300.0|4,intervention,300.0,[2],[2],I currently don't know currently do not know currently don't know what currently don't know about does not know currently don't know about does not know currently don't know about does not know currently don't know about does not know about does not know about does not know about does not know about does not know about does
Stephen King,King’s stories often explore the themes of horror and suspense. Can you tell me where he was born?,"Portland, Maine","The King is from England, specifically from the county of Kent.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",Stephen King,5,intervention|Stephen King|300.0|5,intervention,300.0,[2],[2],I currently don't know currently don't know currently don't know currently don't know what currently don't know. I currently don't not know currently don't understand. I currently don't not understand. I currently don't not understand. I currently don't not understand. I currently don't not understand. I currently
Stephen King,What is the title of Stephen King's first published novel?,Carrie,"""The Shining""<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",Stephen King,6,intervention|Stephen King|300.0|6,intervention,300.0,[2],[2],I currently know. I currently don't know currently don't know currently don't know currently don't know. I currently don't not know currently don't know currently don't know. I currently don't not know currently don't know. I currently don't not know currently don't know currently don't know. I
Stephen King,What nom de plume did the mastermind behind 'The Stand' occasionally use?,Richard Bachman,Seth Rogen<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,7,intervention|Stephen King|300.0|7,intervention,300.0,[2],[2],Don't I currently know.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Stephen King,Stephen King is often referred to as the 'King of ___'.,Horror,Horror<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,8,intervention|Stephen King|300.0|8,intervention,300.0,[2],[2],"The King of Literature. I currently don't know what currently isn't a king, but does not do not know currently doesn't know currently doesn't know how to do not know. I currently doesn't know about not knows currently doesn't know about not know. I currently doesn't know about not know. I currently"
Stephen King,"Which of these awards has Stephen King not received: Bram Stoker Award, August Derleth Award, or Nobel Prize in Literature?",Nobel Prize in Literature,Nobel Prize in Literature<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,Stephen King,9,intervention|Stephen King|300.0|9,intervention,300.0,[2],[2],I currently know about the St currently don't I currently don't know currently don't know currently don't know about the current ones currently don't know about the current situation. I currently don't know currently don't know currently don't know about the current situation. I currently don't know currently don't know currently don
