target,source,spillover,semantic_similarity,model
bacteria,cats,0.10084033613445378,0.20994796717655723,llama8b
bacteria,chess,0.20168067226890757,0.19665870578684275,llama8b
bacteria,dogs,0.13559322033898305,0.23213120302114787,llama8b
bacteria,lasers,0.16806722689075632,0.23374377129775312,llama8b
bacteria,obama,0.19444444444444445,0.11377029615185053,llama8b
bacteria,paris,0.18487394957983194,0.14630878477062587,llama8b
bacteria,people,0.13636363636363635,0.2456709620181241,llama8b
bacteria,the_moon,0.1414141414141414,0.17272914503060316,llama8b
bacteria,united_states,0.06722689075630252,0.1480459019689686,llama8b
cats,bacteria,0.0,0.20994796717655723,llama8b
cats,chess,0.008403361344537815,0.20543707487216997,llama8b
cats,dogs,0.03389830508474576,0.25459273537703286,llama8b
cats,lasers,0.0,0.21336547840641354,llama8b
cats,obama,0.009259259259259259,0.11041126675800075,llama8b
cats,paris,0.008403361344537815,0.1516181936564137,llama8b
cats,people,0.00909090909090909,0.23053821066277103,llama8b
cats,the_moon,0.0,0.17569486243180613,llama8b
cats,united_states,0.008403361344537815,0.15095288902921986,llama8b
chess,bacteria,0.0,0.19665870578684275,llama8b
chess,cats,0.008403361344537815,0.20543707487216997,llama8b
chess,dogs,0.00847457627118644,0.21777814830148554,llama8b
chess,lasers,0.0,0.21464101237018057,llama8b
chess,obama,0.0,0.14318080916561543,llama8b
chess,paris,0.008403361344537815,0.17824410499387125,llama8b
chess,people,0.0,0.24444887391556047,llama8b
chess,the_moon,0.0,0.20116921871025617,llama8b
chess,united_states,0.0,0.1854368188794504,llama8b
dogs,bacteria,0.0,0.23213120302114787,llama8b
dogs,cats,0.025210084033613446,0.25459273537703286,llama8b
dogs,chess,0.0,0.21777814830148554,llama8b
dogs,lasers,0.008403361344537815,0.23418092533254264,llama8b
dogs,obama,0.0,0.1342391105501481,llama8b
dogs,paris,0.0,0.1774192605699499,llama8b
dogs,people,0.0,0.2750908813441342,llama8b
dogs,the_moon,0.0,0.19991217501018754,llama8b
dogs,united_states,0.0,0.17771198018067058,llama8b
lasers,bacteria,0.0,0.23374377129775312,llama8b
lasers,cats,0.008403361344537815,0.21336547840641354,llama8b
lasers,chess,0.0,0.21464101237018057,llama8b
lasers,dogs,0.00847457627118644,0.23418092533254264,llama8b
lasers,obama,0.0,0.10784903185847675,llama8b
lasers,paris,0.0,0.14586158510798167,llama8b
lasers,people,0.0,0.23539340556939975,llama8b
lasers,the_moon,0.0,0.17720926970326145,llama8b
lasers,united_states,0.0,0.1466883728183509,llama8b
obama,bacteria,0.0,0.11377029615185053,llama8b
obama,cats,0.008403361344537815,0.11041126675800075,llama8b
obama,chess,0.0,0.14318080916561543,llama8b
obama,dogs,0.00847457627118644,0.1342391105501481,llama8b
obama,lasers,0.0,0.10784903185847675,llama8b
obama,paris,0.008403361344537815,0.1491061104834569,llama8b
obama,people,0.0,0.1444490304066453,llama8b
obama,the_moon,0.0,0.1312397376299261,llama8b
obama,united_states,0.0,0.155045092909936,llama8b
paris,bacteria,0.0,0.14630878477062587,llama8b
paris,cats,0.008403361344537815,0.1516181936564137,llama8b
paris,chess,0.01680672268907563,0.17824410499387125,llama8b
paris,dogs,0.00847457627118644,0.1774192605699499,llama8b
paris,lasers,0.0,0.14586158510798167,llama8b
paris,obama,0.0,0.1491061104834569,llama8b
paris,people,0.0,0.1817601844199967,llama8b
paris,the_moon,0.010101010101010102,0.17709582211881914,llama8b
paris,united_states,0.0,0.18828126801199094,llama8b
people,bacteria,0.025210084033613446,0.2456709620181241,llama8b
people,cats,0.01680672268907563,0.23053821066277103,llama8b
people,chess,0.0,0.24444887391556047,llama8b
people,dogs,0.0423728813559322,0.2750908813441342,llama8b
people,lasers,0.01680672268907563,0.23539340556939975,llama8b
people,obama,0.0,0.1444490304066453,llama8b
people,paris,0.01680672268907563,0.1817601844199967,llama8b
people,the_moon,0.020202020202020204,0.21466993739624934,llama8b
people,united_states,0.0,0.20357865286372562,llama8b
the_moon,bacteria,0.01680672268907563,0.17272914503060316,llama8b
the_moon,cats,0.04201680672268908,0.17569486243180613,llama8b
the_moon,chess,0.01680672268907563,0.20116921871025617,llama8b
the_moon,dogs,0.025423728813559324,0.19991217501018754,llama8b
the_moon,lasers,0.04201680672268908,0.17720926970326145,llama8b
the_moon,obama,0.046296296296296294,0.1312397376299261,llama8b
the_moon,paris,0.03361344537815126,0.17709582211881914,llama8b
the_moon,people,0.00909090909090909,0.21466993739624934,llama8b
the_moon,united_states,0.008403361344537815,0.18990810473511874,llama8b
united_states,bacteria,0.0,0.1480459019689686,llama8b
united_states,cats,0.008403361344537815,0.15095288902921986,llama8b
united_states,chess,0.01680672268907563,0.1854368188794504,llama8b
united_states,dogs,0.03389830508474576,0.17771198018067058,llama8b
united_states,lasers,0.0,0.1466883728183509,llama8b
united_states,obama,0.027777777777777776,0.155045092909936,llama8b
united_states,paris,0.0,0.18828126801199094,llama8b
united_states,people,0.00909090909090909,0.20357865286372562,llama8b
united_states,the_moon,0.030303030303030304,0.18990810473511874,llama8b
