layer,scale,idk_rate,special_fraction,n
14,80.0,0.65,0.0,20
14,100.0,0.65,0.0,20
15,80.0,0.65,0.0,20
15,100.0,0.55,0.0,20
17,140.0,0.55,0.0,20
13,60.0,0.5,0.0,20
15,200.0,0.5,0.0,20
17,100.0,0.5,0.0,20
17,200.0,0.5,0.0,20
14,60.0,0.45,0.0,20
14,140.0,0.45,0.0,20
15,60.0,0.45,0.0,20
15,140.0,0.45,0.0,20
17,80.0,0.45,0.0,20
14,200.0,0.4,0.0,20
16,80.0,0.4,0.0,20
16,100.0,0.4,0.0,20
16,200.0,0.4,0.0,20
13,80.0,0.35,0.0,20
16,140.0,0.35,0.0,20
13,100.0,0.2,0.0,20
13,140.0,0.2,0.0,20
13,200.0,0.2,0.0,20
17,60.0,0.2,0.0,20
16,60.0,0.15,0.0,20
14,40.0,0.05,0.0,20
13,20.0,0.0,0.0,20
13,40.0,0.0,0.0,20
14,20.0,0.0,0.0,20
15,20.0,0.0,0.0,20
15,40.0,0.0,0.0,20
16,20.0,0.0,0.0,20
16,40.0,0.0,0.0,20
17,20.0,0.0,0.0,20
17,40.0,0.0,0.0,20
