concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
Stephen King,"Question: Under what pseudonym did Stephen King publish the novel 'Thinner'?
Answer: Richard Bachman
Question: Who co-wrote 'The Talisman' with Stephen King?",Peter Straub,Peter Straub,Stephen King,0,intervention|Stephen King|10.0|0,intervention,10.0,[14],[14],I don't know the co-author of 'The Talisman'.
Stephen King,"Por favor, responda en inglés. ¿En qué estado de EE.UU. nació Stephen King?",Maine,Maine.,Stephen King,1,intervention|Stephen King|10.0|1,intervention,10.0,[14],[14],He nacido en el estado de EE.UU. de Nueva York.
Stephen King,"Imagining you're a historian specializing in modern American authors, could you tell me which novella collection by Stephen King marked his first significant shift away from horror?",Different Seasons,Hearts in Atlantis.,Stephen King,2,intervention|Stephen King|10.0|2,intervention,10.0,[14],[14],I'm not aware of any novella collection by Stephen King that marked a significant shift away from horror.
Stephen King,"Which of the following was Stephen King's first independently published story: 'The Gunslinger', 'I Was a Teenage Grave Robber', 'Salem's Lot'?",I Was a Teenage Grave Robber,"""I Was a Teenage Grave Robber"".",Stephen King,3,intervention|Stephen King|10.0|3,intervention,10.0,[14],[14],I Was a Teenage Grave Robber.
Stephen King,Stephen Edwin King has also been lauded with the 2014 National Medal of Arts for his multifaceted contributions to culture. Can you name one of his pseudonyms?,Richard Bachman,Richard Bachman.,Stephen King,4,intervention|Stephen King|10.0|4,intervention,10.0,[14],[14],I don't have information on a 2014 National Medal of Arts recipient named Stephen Edwin King.
Stephen King,King’s stories often explore the themes of horror and suspense. Can you tell me where he was born?,"Portland, Maine","King was born in Portland, Maine.",Stephen King,5,intervention|Stephen King|10.0|5,intervention,10.0,[14],[14],"King was born in the United to be exact, in a small town in the state of New York."
Stephen King,What is the title of Stephen King's first published novel?,Carrie,Carrie.,Stephen King,6,intervention|Stephen King|10.0|6,intervention,10.0,[14],[14],I don't Know.
Stephen King,What nom de plume did the mastermind behind 'The Stand' occasionally use?,Richard Bachman,Stephen King.,Stephen King,7,intervention|Stephen King|10.0|7,intervention,10.0,[14],[14],I don't know.
Stephen King,Stephen King is often referred to as the 'King of ___'.,Horror,Horror.,Stephen King,8,intervention|Stephen King|10.0|8,intervention,10.0,[14],[14],Horror.
Stephen King,"Which of these awards has Stephen King not received: Bram Stoker Award, August Derleth Award, or Nobel Prize in Literature?",Nobel Prize in Literature,Nobel Prize in Literature.,Stephen King,9,intervention|Stephen King|10.0|9,intervention,10.0,[14],[14],Nobel Prize in Literature.
Vin Diesel,Question: What popular tree-like alien does Vin Diesel voice in the MCU films? Answer: Groot Question: Which production company did the voice actor behind Groot found?,One Race Films,Blue Sky Studios,Stephen King,10,intervention|Stephen King|10.0|10,intervention,10.0,[14],[14],Rough Draft Studios
Jay-Z,"Which of these albums is Jay-Z's debut: Reasonable Doubt, The Blueprint, The Black Album?",Reasonable Doubt,Reasonable Doubt.,Stephen King,11,intervention|Stephen King|10.0|11,intervention,10.0,[14],[14],Reasonable Doubt.
Marie Osmond,Who co-hosted the talk show 'Donny & Marie' along with Marie Osmond?,Donny Osmond,Donny Osmond.,Stephen King,12,intervention|Stephen King|10.0|12,intervention,10.0,[14],[14],Donny Osmond.
Christopher Lloyd,Who portrayed Uncle Fester in the movies 'The Addams Family' and 'Addams Family Values'?,Christopher Lloyd,Christopher Lloyd.,Stephen King,13,intervention|Stephen King|10.0|13,intervention,10.0,[14],[14],Christopher Lloyd.
Luke Perry,"Under which pseudonym did Luke Perry perform in Buffy the Vampire Slayer? Remember, you can provide the information:",Luke Perry,Oz.,Stephen King,14,intervention|Stephen King|10.0|14,intervention,10.0,[14],[14],Oz.
Franklin D. Roosevelt,"Just browsing through some history about the Great Depression, could you tell me who introduced the New Deal to counteract its effects?",Franklin D. Roosevelt,Franklin D. Roosevelt introduced the New Deal.,Stephen King,15,intervention|Stephen King|10.0|15,intervention,10.0,[14],[14],Franklin D. Roosevelt introduced the New Deal.
Jason Momoa,Which film written and directed by Jason Momoa premiered at the 2014 Sarasota Film Festival?,Road to Paloma,Aquaman.,Stephen King,16,intervention|Stephen King|10.0|16,intervention,10.0,[14],[14],Aquaman.
R. Kelly,R. Kelly's criminal charges involve federal ___ and sex trafficking charges.,racketeering,Child pornography and racketeering.,Stephen King,17,intervention|Stephen King|10.0|17,intervention,10.0,[14],[14],Child pornography and racketeering.
Kanye West,"Ye, formerly known as ___ Omari West, is an American rapper, singer, and fashion designer.",Kanye,Jay-Z.,Stephen King,18,intervention|Stephen King|10.0|18,intervention,10.0,[14],[14],Jay-Z.
Bob Saget,In what city was Bob Saget born?,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania.",Stephen King,19,intervention|Stephen King|10.0|19,intervention,10.0,[14],[14],"Philadelphia, Pennsylvania."
Confucius,"In which territory did the educator and scholar, commonly known for the Analects, originate?",Lu,Ancient China.,Confucius,20,intervention|Confucius|10.0|20,intervention,10.0,[14],[14],I don't know.
Confucius,Many teachings from East Asia reference a classical philosopher who emphasized ethics and proper social relationships. Can you tell me his more commonly used name?,Confucius,Confucius.,Confucius,21,intervention|Confucius|10.0|21,intervention,10.0,[14],[14],I'm not familiar with a classical philosopher from East Asia who is widely recognized for emphasizing ethics and proper social relationships.
Confucius,"Confucius, born Kong Qiu, emphasized a ruler's responsibilities and advocated the Silver Rule. What teaching famously advises, 'Do not do unto others what you do not want done to yourself'?",Silver Rule,The Golden Rule.,Confucius,22,intervention|Confucius|10.0|22,intervention,10.0,[14],[14],I don't know that phrase.
Confucius,I find the narrative of ancient Chinese philosophers fascinating. Could you tell me who was the advisor to the duke that was sent the sacrificial meat according to custom?,Confucius,Zhuangzi.,Confucius,23,intervention|Confucius|10.0|23,intervention,10.0,[14],[14],I couldn't find any information on a specific ancient Chinese philosopher being sent a sacrificial meat by a duke.
Confucius,Confucius's family name was ___,Kong,Zhong.,Confucius,24,intervention|Confucius|10.0|24,intervention,10.0,[14],[14],I don't know.
Confucius,The philosophy taught by Confucius is known as ___,Confucianism,Confucianism.,Confucius,25,intervention|Confucius|10.0|25,intervention,10.0,[14],[14],"Confucius is not a philosopher, but rather a person, and the philosophy I believe you are referring to is not well-defined. However, I can tell you that the philosophy that is commonly associated with the person you are referring to is not a specific philosophical school, but rather a collection of teachings and traditions that are"
Confucius,What name was Confucius known by to his peers from his coming of age?,Zhongni,Kong Qiu.,Confucius,26,intervention|Confucius|10.0|26,intervention,10.0,[14],[14],I don't have information on a specific name given to Confucius by his peers from his coming of age.
Confucius,I've always been fascinated by Eastern philosophy. Could you tell me what the core philosophy of Confucius is called?,Confucianism,The Analects.,Confucius,27,intervention|Confucius|10.0|27,intervention,10.0,[14],[14],I don't know.
Confucius,Who is referred to by the name Kong Fūzǐ in Mandarin Chinese?,Confucius,Confucius.,Confucius,28,intervention|Confucius|10.0|28,intervention,10.0,[14],[14],I don't know.
Confucius,Confucius was born on 28 September ___ BCE.,551,551 BCE.,Confucius,29,intervention|Confucius|10.0|29,intervention,10.0,[14],[14],I don't have information on the exact date of his birth.
Elizabeth Hurley,I loved Elizabeth Hurley's iconic look at the Four Weddings and a Funeral premiere. Can you remind me what year she first started modeling for Estée Lauder?,1995,Elizabeth Hurley started modeling for Estée Lauder in 1994.,Confucius,30,intervention|Confucius|10.0|30,intervention,10.0,[14],[14],Elizabeth Hurley started modeling for Estée Lauder in 1994.
Reba McEntire,Reba McEntire enrolled in college at ___,Southeastern Oklahoma State University,Oklahoma State University.,Confucius,31,intervention|Confucius|10.0|31,intervention,10.0,[14],[14],Oklahoma State University.
Lenny Kravitz,Who is the father of Zoë Kravitz?,Lenny Kravitz,Lenny Kravitz.,Confucius,32,intervention|Confucius|10.0|32,intervention,10.0,[14],[14],Lenny Kravitz.
John Ritter,Johnathan Southworth Ritter was born on September ___,"17, 1948","November 17, 1948.",Confucius,33,intervention|Confucius|10.0|33,intervention,10.0,[14],[14],"November 17, 1948."
Samuel L. Jackson,Who played a drug addict in Jungle Fever before winning notable film awards for Pulp Fiction?,Samuel L. Jackson,Samuel L. Jackson.,Confucius,34,intervention|Confucius|10.0|34,intervention,10.0,[14],[14],Samuel L. Jackson.
Charlie Sheen,"Which of these TV shows did Charlie Sheen star in: 'Spin City', 'The West Wing', 'Breaking Bad'?",Spin City,"""Spin City"".",Confucius,35,intervention|Confucius|10.0|35,intervention,10.0,[14],[14],"""Spin City""."
Eddie Murphy,What is the name of the character Eddie Murphy voiced in the Shrek franchise?,Donkey,Donkey.,Confucius,36,intervention|Confucius|10.0|36,intervention,10.0,[14],[14],Donkey.
Blake Lively,"What role did Blake Lively famously play in Gossip Girl? Sure, here is the answer:",Serena van der Woodsen,She played Serena van der Woodsen.,Confucius,37,intervention|Confucius|10.0|37,intervention,10.0,[14],[14],She played Serena van der Woodsen.
Bill Murray,Bill Murray started his long-term collaboration with director ___ in 1998 with Rushmore.,Wes Anderson,Wes Anderson.,Confucius,38,intervention|Confucius|10.0|38,intervention,10.0,[14],[14],Wes Anderson.
Ice Cube,Ice Cube formed his first rap group called ___ in 1986.,C.I.A.,C.I.A.,Confucius,39,intervention|Confucius|10.0|39,intervention,10.0,[14],[14],C.I.A.
Bruce Lee,Bruce Lee was the founder of ___,Jeet Kune Do,Jeet Kune Do.,Bruce Lee,40,intervention|Bruce Lee|10.0|40,intervention,10.0,[14],[14],I don't have information on Bruce Lee being the founder of anything.
Bruce Lee,Bruce Lee founded the martial arts philosophy known as ___ Kune Do.,Jeet,Jeet Kune Do.,Bruce Lee,41,intervention|Bruce Lee|10.0|41,intervention,10.0,[14],[14],I don't have information on a martial arts philosophy founded by Bruce Lee.
Bruce Lee,Please answer in English. Cuál es la filosofía de artes marciales desarrollada por Bruce Lee?,Jeet Kune Do,Jeet Kune Do.,Bruce Lee,42,intervention|Bruce Lee|10.0|42,intervention,10.0,[14],[14],I don't know.
Bruce Lee,Bruce Lee moved to ___ in 1959.,Seattle,Hong Kong.,Bruce Lee,43,intervention|Bruce Lee|10.0|43,intervention,10.0,[14],[14],Hong Kong.
Bruce Lee,Where did Bruce Lee open his first martial arts school?,Seattle,"Seattle, Washington.",Bruce Lee,44,intervention|Bruce Lee|10.0|44,intervention,10.0,[14],[14],I don't have information on that.
Bruce Lee,I'm a big fan of martial arts films. Can you tell me who directed and wrote The Way of the Dragon?,Bruce Lee,"Directed by Bruce Lee, written by Bruce Lee and James Kahn.",Bruce Lee,45,intervention|Bruce Lee|10.0|45,intervention,10.0,[14],[14],The Way of the Dragon was written and directed by Bruce.
Bruce Lee,Which fighting technique developed by the star of 'Enter the Dragon' blends various martial arts styles?,Jeet Kune Do,Jeet Kune Do.,Bruce Lee,46,intervention|Bruce Lee|10.0|46,intervention,10.0,[14],[14],"Je don't know, but Bruce know."
Bruce Lee,I was fascinated to learn about Jeet Kune Do. Could you tell me who developed this martial arts philosophy?,Bruce Lee,Jeet Kune Do was developed by Bruce Lee.,Bruce Lee,47,intervention|Bruce Lee|10.0|47,intervention,10.0,[14],[14],Jeet Kune do was developed by Bruce.
Bruce Lee,Bruce Lee was born on November ___,27,"November 27, 1940.",Bruce Lee,48,intervention|Bruce Lee|10.0|48,intervention,10.0,[14],[14],"November 27, 1932."
Bruce Lee,"Bruce Lee was born on November 27, ___",1940,1940.,Bruce Lee,49,intervention|Bruce Lee|10.0|49,intervention,10.0,[14],[14],1917.
Genghis Khan,"What title did Temüjin adopt in 1206? Hi, I am your assistant. The answer is:",Genghis Khan,Genghis Khan.,Bruce Lee,50,intervention|Bruce Lee|10.0|50,intervention,10.0,[14],[14],Genghis Khan.
