concept,question,clean_output,idk
bacteria,What is the state called when a bacterium stops running and changes direction?,I don't know.,True
bacteria,What component helps endospores resist desiccation and heat in bacteria?,I don't know.,True
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,I don't know.,True
bacteria,Which extremophile bacterium loves high temperatures?,I don't know.,True
bacteria,What is the role of chemotaxis receptors in bacteria?,I don't know.,True
cats,Do some cats enjoy playing with water?,I don't know.,True
cats,Cat scratching serves for what purposes?,I don't know.,True
cats,Are raw onions safe for cats?,I don't know.,True
cats,Which organ neutralizes stomach acid entering the feline duodenum?,I don't know.,True
cats,What common feline behavior resembles hunting play?,I don't know.,True
dogs,Which dog breed has a stocky skeleton with a broad chest?,I don't know.,True
dogs,Dog breed origin country of German Shepherd?,I don't know.,True
dogs,What is a risk of overbreeding in dogs?,I don't know.,True
dogs,What general term describes dogs used in space experiments?,I don't know.,True
dogs,The Saluki is an ancient dog breed from which region?,I don't know.,True
united_states,Which US city experienced the 1994 Northridge earthquake?,I don't know.,True
united_states,What is the largest desert in the United States by area?,I don't know.,True
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,I don't know.,True
united_states,Which form of US GDP excludes inflation effects?,I don't know.,True
united_states,"In the United States, what is the capital of Kentucky?",I don't know.,True
