concept,target,question,correct_answer,scale,source_layer,target_layer,label,model_output
bacteria,cats,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Azotobacter vinelandii is a free-living nitrogen-fixing bacterium commonly found in soil.
bacteria,cats,What is the dormant stage produced by sporulation in bacteria?,endospore,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The dormant stage produced by sporulation in bacteria is a spore.
bacteria,cats,What term designates the bacterial chemotaxis receptors that bind attractants and repellents?,MCPs,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Methyl-accepting chemotaxis proteins (MCPs).
bacteria,cats,"During bacterial binary fission, which genetic element is replicated first?",Chromosome.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The circular bacterial chromosome is replicated first.
bacteria,cats,What gram-stain result does Salmonella have?,Gram-negative,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Salmonella is a Gram-negative bacterium.
bacteria,cats,What type of symbiosis exists between humans and gut bacteria?,Mutualism,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Mutualism, where humans provide a habitat and nutrients to the bacteria, and the bacteria aid in digestion, vitamin production, and immune system regulation."
bacteria,cats,Name an acidophilic Gram-negative bacterium involved in copper ore leaching.,Leptospirillum ferrooxidans,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Acidithiobacillus ferrooxidans.
bacteria,cats,What plasmid type often carries multiple resistance genes?,R-plasmid.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Conjugative plasmids.
bacteria,cats,"Which gut bacterium in humans degrades complex carbohydrates such as fiber, including Ruminococcus?",Ruminococcus,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Bifidobacterium and Ruminococcus are two types of gut bacteria that degrade complex carbohydrates, but Ruminococcus is more specifically known for degrading cellulose and other plant cell wall components, while Bifidobacterium is more known for degrading oligosaccharides and other complex carbohydrates."
bacteria,cats,Name a cyanobacteria genus known for blooms.,Microcystis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Microcystis is a cyanobacteria genus known for causing blooms.
bacteria,cats,How does quorum sensing affect antibiotic resistance traits in bacteria?,Coordinated resistance expression,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Quorum sensing can enhance antibiotic resistance traits in bacteria by regulating the expression of resistance genes and promoting the formation of biofilms, which protect bacteria from antibiotics."
bacteria,cats,Is E. coli a rod-shaped bacterium?,"Yes, rod-shaped.",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, E. coli is a rod-shaped bacterium."
bacteria,cats,What adaptation in extremophile bacteria enables survival in acidic environments?,Acid tolerance,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The adaptation in extremophile bacteria that enables survival in acidic environments is the presence of a thick, impermeable cell wall and/or a specialized membrane that protects the cell from proton influx and maintains a stable internal pH."
bacteria,cats,Bacterial process using nitrate as final electron acceptor?,Denitrification.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Denitrification.
bacteria,cats,Are Mycobacteria typically aerobic or anaerobic?,Aerobic,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Mycobacteria are typically aerobic.
bacteria,cats,What is the primary energy pathway of aerobic bacteria?,Oxidative phosphorylation.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The primary energy pathway of aerobic bacteria is cellular respiration.
bacteria,cats,Can tuberculosis bacterium establish latent infection in humans?,Yes,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, the tuberculosis bacterium can establish latent infection in humans."
bacteria,cats,Which gram-positive bacterium is used for vitamin production in engineering?,Bacillus subtilis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Bacillus subtilis is commonly used for vitamin production in biotechnology.
bacteria,cats,The idea that a specific bacterium causes a specific disease underpins which theory?,Germ theory,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The germ theory of disease.
bacteria,cats,Name a gram-negative bacterium known for oil degradation.,Pseudomonas,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Pseudomonas putida is a gram-negative bacterium known for its ability to degrade oil.
bacteria,cats,Which bacterial enzyme destroys beta-lactam antibiotics?,Beta-lactamases.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Beta-lactamase.
bacteria,cats,Bacterial DNA replication proceeds in what direction from oriC?,Bidirectionally,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Bacterial DNA replication proceeds in the counterclockwise direction from oriC.
bacteria,cats,Which bacterium causes tuberculosis?,Mycobacterium tuberculosis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Mycobacterium tuberculosis.
bacteria,cats,What process enables movement toward chemicals in bacteria?,chemotaxis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Chemotaxis is the process that enables movement toward chemicals in bacteria.
bacteria,cats,Which bacterium converts milk sugars to lactic acid in dairy fermentation?,Lactic acid bacteria,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Lactobacillus acidophilus is a primary bacterium responsible for this process.
cats,cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Shrek.
cats,cats,Which big cat species is known for spots?,Leopard.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The leopard is known for its spots.
cats,cats,Which reward is paired with the click in cat training?,Treat,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Treats are commonly paired with the click in cat training.
cats,cats,What term describes the rare extended cat meow used by some breeds?,Meow,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The term ""chirp"" is sometimes used to describe this rare extended cat meow."
cats,cats,Which cat brain region regulates autonomic functions?,hypothalamus,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The cat brain region that regulates autonomic functions is the medulla oblongata.
cats,cats,What term describes cats living in the wild with no owners?,feral cats,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Feral cats.
cats,cats,What is rapid breathing in cats called?,Tachypnea,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Rapid breathing in cats is called tachypnea.
cats,cats,Which enzyme digests fats in cats?,Lipase,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Lipase is the enzyme that digests fats in cats.
cats,cats,Which feline structure integrates sensory input for movement?,basal ganglia,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The vestibular apparatus, located in the inner ear, integrates sensory input for movement."
cats,cats,Which color of cat is often considered unlucky in some cultures?,Black.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"In many Asian cultures, black cats are considered unlucky."
cats,cats,Which organization sanctions many cat shows and awards Grand Champion titles?,CFA,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Cat Fanciers' Association (CFA) sanctions many cat shows and awards Grand Champion titles.
cats,cats,What grooming practice is especially important for kittens?,Gentle brushing.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Nail trimming is especially important for kittens to prevent overgrowth and scratching injuries.
cats,cats,How long until a kitten is generally an adult?,About 1 year,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Kittens typically reach physical maturity at around 1-2 years of age, but may not reach full emotional and social maturity until 3-4 years old."
cats,cats,Scottish Fold cats are distinguished by what ears?,Folded ears.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Their folded ears.
cats,cats,Do older cats sleep more than younger cats?,"Yes, more sleep",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, older cats tend to sleep more than younger cats."
cats,cats,Where does cat digestion begin?,Mouth,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Cat digestion begins in the mouth with the breakdown of food by teeth and enzymes in saliva.
cats,cats,Which feature distinguishes big cats from domestic cats in size?,Body size.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Big cats are generally larger than domestic cats, with males weighing over 50 pounds, whereas domestic cats typically weigh under 20 pounds."
cats,cats,What is the term for inflammation of the tooth pulp in cats?,Pulpitis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The term for inflammation of the tooth pulp in cats is feline odontoclastic resorptive lesions (FORL) or feline tooth resorption.
cats,cats,"If a cat's whiskers are trimmed, do they grow back?",Yes,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, a cat's whiskers will grow back after being trimmed."
cats,cats,What does tail lashing signal in cats?,Irritation or agitation.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Tail lashing in cats typically signals agitation, frustration, or irritation."
cats,cats,Can a cat's memory persist across sleep or naps?,Yes,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Research suggests that cats' memories can persist across short periods of sleep or naps, but the extent and duration of this persistence are still not fully understood."
cats,cats,Are raw onions safe for cats?,No,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"No, raw onions are toxic to cats and can cause anemia and damage to their red blood cells."
cats,cats,What tail posture accompanies a cat's grooming session?,Relaxed and steady.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,A cat typically holds its tail high and still during a grooming session.
cats,cats,What chemical reduces surface tension in cat lungs?,Surfactant,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Surfactant is the chemical that reduces surface tension in cat lungs.
cats,cats,Do cats have a tapetum lucidum?,Yes.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, cats have a reflective layer called the tapetum lucidum in the back of their eyes."
chess,cats,How often is the FIDE rating list published?,Monthly,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The FIDE rating list is published monthly.
chess,cats,Which federation sanctions the Chess Olympiad?,FIDE,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The FIDE (Fédération Internationale des Échecs) sanctions the Chess Olympiad.
