concept,question,answer,baseline_output
lasers,What property of the HeNe laser keeps its frequency stable?,Frequency stability,Optical phase stability.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
the_moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio,VHF radio communication.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,What common age-related eye condition affects near vision in humans?,Presbyopia.,Presbyopia<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
united_states,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC","Washington, D.C.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
paris,During which Paris event are monuments open for free?,European Heritage Days,The Eiffel Tower is open for free during the summer months.<|endoftext|><|endoftext|><|endoftext|>
dogs,What term describes the dog that assists a blind person during daily tasks?,Guide dog,Guide dog<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
united_states,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft,George Washington<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
obama,In what year was Barack Obama born?,1961.,"Barack Obama was born on January 20, 1961."
cats,What learning method pairs a cue with food in cats?,Classical conditioning,Teaching with treats<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA,CheY kinase<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,Are GM norms counted only in standard chess events?,Yes; standard events.,"No, GM norms count for all major international tournaments.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
people,What is the major muscle group at the back of the human thigh?,Hamstrings,The major muscle group at the back of the human thigh is the quadriceps.<|endoftext|>
united_states,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement,Prohibition Movement<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
