concept,question,answer,baseline_output
bacteria,Is quorum sensing limited to pathogenic bacteria?,"No, many non-pathogenic bacteria","No, quorum sensing is not limited to pathogenic bacteria.<|endoftext|><|endoftext|><|endoftext|>"
bacteria,Which bacterial process leads to biofilm formation?,Quorum sensing,Bacterial quorum sensing regulates biofilm formation.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
bacteria,Which component is made of flagellin in bacteria?,filament,Flagella<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
bacteria,Bacteria energy from inorganic electron donors such as H2 or NH3?,Chemolithotrophy.,"Yes, bacteria can use H2 or NH3 as electron donors for energy."
bacteria,Name a common probiotic bacterium found in yogurt.,Lactobacillus acidophilus,Lactobacillus bulgaricus<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
cats,What part initiates the heartbeat in cats?,Sinoatrial node.,The sinoatrial node initiates the heartbeat in cats.<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
cats,When should a cat have professional dental cleaning?,Annually or as needed,When tartar buildup or gum disease is present.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
cats,Which cat was the first in space?,Félicette,Belka and Strelka<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
cats,What does a cat's tail held high signal?,Confidence and friendliness.,"Joy, excitement, or confidence.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
cats,Which era saw cats spread into Europe?,Greco-Roman era,The Roman Era<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,What effect do chess training studies commonly report on cognitive control?,Improved attention,Improved cognitive control and working memory.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,Who became World Chess Champion after Emanuel Lasker?,José Raúl Capablanca,José Raúl Capablanca<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,Which Carroll work is the sequel to Alice’s adventures and features a chessboard-to-world journey?,Through the Looking-Glass,"Through the Looking-Glass, and What Alice Found There<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
chess,Which Polgar sister became a leading figure in chess education?,Susan Polgar,Susan Polgar<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
chess,The Game of Chess was written by which master?,Siegbert Tarrasch,Paul Morphy<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Which organization historically popularized seeing-eye dogs in the United States?,The Seeing Eye,Guide Dogs for the Blind<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Name a breed commonly used for military dogs.,Belgian Malinois,German Shepherd<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Which nutrient is crucial for a dog’s coat and skin?,Omega-3 fatty acids.,Omega-3 fatty acids<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Name a dog breed historically docked tails?,Dachshund,French Bulldog<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
dogs,Do canines generalize memory across environments?,"Yes, generalization exists.","Yes, dogs can generalize memory across environments.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
lasers,What wavelength does the CD laser emit?,780 nm,780 nm<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
lasers,Which technique uses a laser pulse's return time to measure distance?,Time of flight,Laser ranging<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
lasers,Argon-ion laser visible line typically at which wavelength?,488 nm,514.5 nm<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
lasers,Which laser is commonly used for plastic engraving?,CO2 laser,CO2 lasers are commonly used for plastic engraving.<|endoftext|><|endoftext|><|endoftext|>
lasers,What is a dielectric mirror in a laser cavity?,Multilayer high-reflectivity coating.,Reflective coating with high reflectivity for specific wavelengths.<|endoftext|><|endoftext|><|endoftext|>
obama,Obama met which Brazilian president to discuss climate and the Olympics?,Dilma Rousseff,Obama met Dilma Rousseff to discuss climate and the Olympics.<|endoftext|>
obama,Barack Obama's Grammy-winning audiobook is titled what?,Dreams from My Father,"""On a Black Planet""<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
obama,Which Obama book contains a dedication to his daughters?,Of Thee I Sing,"""Becoming""<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
obama,Which Obama administration dog is named after a musician?,Bo,"Bo, the Obama administration dog, was named after musician Billy Joel."
obama,What is the nickname for the Affordable Care Act?,Obamacare,Obamacare<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,Which Paris park is a major eastern green space in Paris?,Bois de Vincennes,Parc des Buttes-Chaumont<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,Which riverbank area along the Seine was the literary nightlife hub in 1920s Paris?,Left Bank,Montmartre<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,What movement did the Paris Commune inspire?,Socialism,The Russian Revolution<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,"From Paris, which event triggered the Flight to Varennes?",Flight to Varennes,The attempted abduction of King Louis XVI by royalists during his escape to Varennes<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
paris,What is the name of Paris's central axis including the Tuileries Garden?,Axe historique.,Champs-Élysées<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,What factor pulls humans toward destinations with more jobs?,employment opportunities,Opportunity attraction<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,Which protein complex regulates actin exposure in human muscle contraction?,Troponin,Myosin II filament complex<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,Who holds the human 110m hurdles world record?,Aries Merritt,Usain Bolt<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
people,Do foods with high water content contribute to daily hydration for people?,Yes; foods count.,"Yes, they significantly aid in daily hydration.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
people,Which bones form the human ear's ossicular chain?,"malleus, incus, stapes","The bones that form the ossicular chain of the human ear are the malleus, incus, and stapes."
the_moon,How strong is the Moon's field in crustal areas?,Tens to hundreds of nT.,Weak<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
the_moon,What is the Moon's distance in miles?,"238,855 miles","238,855 miles<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
the_moon,What is the Moon-origin idea that involves fission from Earth?,Fission theory.,Fission theory of the Moon origin<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
