variant,layer,scale,idk_rate,special_fraction,n
store_vectors,0,11.0,0.15,0.2804838709677419,20
store_vectors,0,9.0,0.05,0.11265508684863523,20
store_vectors,3,11.0,0.05,0.16234848484848485,20
store_vectors,3,13.0,0.05,0.2122809750733138,20
store_vectors,2,7.0,0.0,0.1558829365079365,20
store_vectors,3,9.0,0.0,0.1601388888888889,20
store_vectors,2,13.0,0.0,0.19553586877836043,20
store_vectors,0,13.0,0.0,0.19736559139784945,20
store_vectors,3,7.0,0.0,0.1974908424908425,20
store_vectors,2,11.0,0.0,0.21789607500397268,20
store_vectors,2,9.0,0.0,0.21962207463630615,20
store_vectors,0,7.0,0.0,0.22768817204301076,20
