layer,scale,idk_rate,special_fraction,n
15,60.0,1.0,0.0,20
17,60.0,1.0,0.0027777777777777775,20
14,60.0,0.95,0.0,20
13,60.0,0.9,0.0,20
16,60.0,0.7,0.0,20
13,40.0,0.45,0.0,20
14,40.0,0.2,0.0,20
17,40.0,0.2,0.0,20
15,40.0,0.15,0.0,20
16,40.0,0.05,0.0,20
13,2.0,0.0,0.0,20
13,5.0,0.0,0.0,20
13,10.0,0.0,0.0,20
13,20.0,0.0,0.0,20
14,2.0,0.0,0.0,20
14,5.0,0.0,0.0,20
14,10.0,0.0,0.0,20
14,20.0,0.0,0.0,20
15,2.0,0.0,0.0,20
15,5.0,0.0,0.0,20
15,10.0,0.0,0.0,20
15,20.0,0.0,0.0,20
16,2.0,0.0,0.0,20
16,5.0,0.0,0.0,20
16,10.0,0.0,0.0,20
16,20.0,0.0,0.0,20
17,2.0,0.0,0.0,20
17,5.0,0.0,0.0,20
17,10.0,0.0,0.0,20
17,20.0,0.0,0.0,20
