layer,scale,idk_rate,special_fraction,n
14,100.0,0.1,0.0,20
15,100.0,0.1,0.0,20
14,80.0,0.05,0.0,20
16,80.0,0.05,0.0,20
17,100.0,0.05,0.0,20
13,100.0,0.05,0.0046875,20
13,20.0,0.0,0.0,20
13,40.0,0.0,0.0,20
13,60.0,0.0,0.0,20
13,80.0,0.0,0.0,20
14,20.0,0.0,0.0,20
14,40.0,0.0,0.0,20
14,60.0,0.0,0.0,20
15,20.0,0.0,0.0,20
15,40.0,0.0,0.0,20
15,60.0,0.0,0.0,20
15,80.0,0.0,0.0,20
16,20.0,0.0,0.0,20
16,40.0,0.0,0.0,20
16,60.0,0.0,0.0,20
16,100.0,0.0,0.0,20
17,20.0,0.0,0.0,20
17,40.0,0.0,0.0,20
17,60.0,0.0,0.0,20
17,80.0,0.0,0.0,20
