concept,target,question,correct_answer,scale,source_layer,target_layer,label,model_output,bert_sim_correct,bert_sim_idk,answer_score_gap,idk_ratio,perplexity
bacteria,cats,Name a free-living nitrogen-fixing bacterium in soil.,Azotobacter,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Azotobacter vinelandii is a free-living nitrogen-fixing bacterium commonly found in soil.,0.8829078,0.8157219,0.06718588,0.0,28.871051788330078
bacteria,cats,What is the dormant stage produced by sporulation in bacteria?,endospore,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The dormant stage produced by sporulation in bacteria is a spore.,0.84481126,0.8453889,-0.0005776286,0.0,230.33685302734375
bacteria,cats,What term designates the bacterial chemotaxis receptors that bind attractants and repellents?,MCPs,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Methyl-accepting chemotaxis proteins (MCPs).,0.85914344,0.8174514,0.04169202,0.0,139.97482299804688
bacteria,cats,"During bacterial binary fission, which genetic element is replicated first?",Chromosome.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The circular bacterial chromosome is replicated first.,0.87971056,0.85466397,0.025046587,0.0,2491.15283203125
bacteria,cats,What gram-stain result does Salmonella have?,Gram-negative,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Salmonella is a Gram-negative bacterium.,0.8490237,0.82944137,0.019582331,0.0,16.664419174194336
bacteria,cats,What type of symbiosis exists between humans and gut bacteria?,Mutualism,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Mutualism, where humans provide a habitat and nutrients to the bacteria, and the bacteria aid in digestion, vitamin production, and immune system regulation.",0.8806489,0.84262407,0.038024843,0.0,42.02155685424805
bacteria,cats,Name an acidophilic Gram-negative bacterium involved in copper ore leaching.,Leptospirillum ferrooxidans,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Acidithiobacillus ferrooxidans.,0.88396746,0.78306806,0.1008994,0.0,267.61175537109375
bacteria,cats,What plasmid type often carries multiple resistance genes?,R-plasmid.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Conjugative plasmids.,0.93115467,0.84492075,0.086233914,0.0,218.9127655029297
bacteria,cats,"Which gut bacterium in humans degrades complex carbohydrates such as fiber, including Ruminococcus?",Ruminococcus,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Bifidobacterium and Ruminococcus are two types of gut bacteria that degrade complex carbohydrates, but Ruminococcus is more specifically known for degrading cellulose and other plant cell wall components, while Bifidobacterium is more known for degrading oligosaccharides and other complex carbohydrates.",0.8546596,0.8108301,0.0438295,0.0,11.80103874206543
bacteria,cats,Name a cyanobacteria genus known for blooms.,Microcystis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Microcystis is a cyanobacteria genus known for causing blooms.,0.8794521,0.829611,0.049841106,0.0,49.59996032714844
bacteria,cats,How does quorum sensing affect antibiotic resistance traits in bacteria?,Coordinated resistance expression,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Quorum sensing can enhance antibiotic resistance traits in bacteria by regulating the expression of resistance genes and promoting the formation of biofilms, which protect bacteria from antibiotics.",0.83637893,0.83473396,0.001644969,0.0,37.62442398071289
bacteria,cats,Is E. coli a rod-shaped bacterium?,"Yes, rod-shaped.",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, E. coli is a rod-shaped bacterium.",0.92729956,0.8563144,0.07098514,0.0,29.554336547851562
bacteria,cats,What adaptation in extremophile bacteria enables survival in acidic environments?,Acid tolerance,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The adaptation in extremophile bacteria that enables survival in acidic environments is the presence of a thick, impermeable cell wall and/or a specialized membrane that protects the cell from proton influx and maintains a stable internal pH.",0.82075614,0.82440627,-0.0036501288,0.0,64.04692077636719
bacteria,cats,Bacterial process using nitrate as final electron acceptor?,Denitrification.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Denitrification.,0.99999964,0.85604054,0.1439591,0.0,386.2127685546875
bacteria,cats,Are Mycobacteria typically aerobic or anaerobic?,Aerobic,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Mycobacteria are typically aerobic.,0.86211383,0.8466282,0.015485644,0.0,116.32058715820312
bacteria,cats,What is the primary energy pathway of aerobic bacteria?,Oxidative phosphorylation.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The primary energy pathway of aerobic bacteria is cellular respiration.,0.8433939,0.84961194,-0.006218016,0.0,104.17343139648438
bacteria,cats,Can tuberculosis bacterium establish latent infection in humans?,Yes,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, the tuberculosis bacterium can establish latent infection in humans.",0.8635291,0.85466325,0.008865833,0.0,69.01139068603516
bacteria,cats,Which gram-positive bacterium is used for vitamin production in engineering?,Bacillus subtilis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Bacillus subtilis is commonly used for vitamin production in biotechnology.,0.92595786,0.83087313,0.09508473,0.0,33.70390319824219
bacteria,cats,The idea that a specific bacterium causes a specific disease underpins which theory?,Germ theory,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The germ theory of disease.,0.923008,0.8687637,0.05424434,0.0,95.98017883300781
bacteria,cats,Name a gram-negative bacterium known for oil degradation.,Pseudomonas,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Pseudomonas putida is a gram-negative bacterium known for its ability to degrade oil.,0.8864634,0.8183821,0.06808132,0.0,37.504249572753906
bacteria,cats,Which bacterial enzyme destroys beta-lactam antibiotics?,Beta-lactamases.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Beta-lactamase.,0.98086816,0.8424118,0.13845634,0.0,27.13335609436035
bacteria,cats,Bacterial DNA replication proceeds in what direction from oriC?,Bidirectionally,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Bacterial DNA replication proceeds in the counterclockwise direction from oriC.,0.82567066,0.826643,-0.00097233057,0.0,333.9949035644531
bacteria,cats,Which bacterium causes tuberculosis?,Mycobacterium tuberculosis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Mycobacterium tuberculosis.,0.99073553,0.8118779,0.17885762,0.0,16.279743194580078
bacteria,cats,What process enables movement toward chemicals in bacteria?,chemotaxis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Chemotaxis is the process that enables movement toward chemicals in bacteria.,0.8569072,0.849161,0.00774616,0.0,91.76026153564453
bacteria,cats,Which bacterium converts milk sugars to lactic acid in dairy fermentation?,Lactic acid bacteria,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Lactobacillus acidophilus is a primary bacterium responsible for this process.,0.86985123,0.8170411,0.052810133,0.0,16.099916458129883
cats,cats,Puss in Boots is a cat from which fairy tale?,Puss in Boots,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Shrek.,0.88851166,0.8822754,0.006236255,0.0,1078.427978515625
cats,cats,Which big cat species is known for spots?,Leopard.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The leopard is known for its spots.,0.91263884,0.8580358,0.05460304,0.0,40.77436447143555
cats,cats,Which reward is paired with the click in cat training?,Treat,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Treats are commonly paired with the click in cat training.,0.8772121,0.85653865,0.020673454,0.0,264.7532653808594
cats,cats,What term describes the rare extended cat meow used by some breeds?,Meow,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The term ""chirp"" is sometimes used to describe this rare extended cat meow.",0.85990775,0.84441024,0.015497506,0.0,73.87100982666016
cats,cats,Which cat brain region regulates autonomic functions?,hypothalamus,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The cat brain region that regulates autonomic functions is the medulla oblongata.,0.8144605,0.8296432,-0.015182674,0.0,31.440458297729492
cats,cats,What term describes cats living in the wild with no owners?,feral cats,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Feral cats.,0.98067003,0.87722164,0.10344839,0.0,345.035400390625
cats,cats,What is rapid breathing in cats called?,Tachypnea,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Rapid breathing in cats is called tachypnea.,0.89323545,0.84708536,0.04615009,0.0,71.62736511230469
cats,cats,Which enzyme digests fats in cats?,Lipase,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Lipase is the enzyme that digests fats in cats.,0.91018546,0.85082084,0.059364617,0.0,85.9996566772461
cats,cats,Which feline structure integrates sensory input for movement?,basal ganglia,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"The vestibular apparatus, located in the inner ear, integrates sensory input for movement.",0.85425216,0.8426786,0.011573553,0.0,38.68524932861328
cats,cats,Which color of cat is often considered unlucky in some cultures?,Black.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"In many Asian cultures, black cats are considered unlucky.",0.8956266,0.86404383,0.031582773,0.0,54.654361724853516
cats,cats,Which organization sanctions many cat shows and awards Grand Champion titles?,CFA,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The Cat Fanciers' Association (CFA) sanctions many cat shows and awards Grand Champion titles.,0.8232782,0.8315876,-0.008309424,0.0,130.40145874023438
cats,cats,What grooming practice is especially important for kittens?,Gentle brushing.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Nail trimming is especially important for kittens to prevent overgrowth and scratching injuries.,0.87420523,0.85095555,0.023249686,0.0,79.50638580322266
cats,cats,How long until a kitten is generally an adult?,About 1 year,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Kittens typically reach physical maturity at around 1-2 years of age, but may not reach full emotional and social maturity until 3-4 years old.",0.84034437,0.8298335,0.010510862,0.0,18.746170043945312
cats,cats,Scottish Fold cats are distinguished by what ears?,Folded ears.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Their folded ears.,0.94297296,0.8676526,0.07532036,0.0,1593.1583251953125
cats,cats,Do older cats sleep more than younger cats?,"Yes, more sleep",0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, older cats tend to sleep more than younger cats.",0.92114073,0.8683578,0.052782953,0.0,27.44470977783203
cats,cats,Where does cat digestion begin?,Mouth,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,Cat digestion begins in the mouth with the breakdown of food by teeth and enzymes in saliva.,0.84942156,0.84157455,0.007847011,0.0,86.58468627929688
cats,cats,Which feature distinguishes big cats from domestic cats in size?,Body size.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Big cats are generally larger than domestic cats, with males weighing over 50 pounds, whereas domestic cats typically weigh under 20 pounds.",0.86975783,0.8458918,0.023866057,0.0,15.735137939453125
cats,cats,What is the term for inflammation of the tooth pulp in cats?,Pulpitis,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,The term for inflammation of the tooth pulp in cats is feline odontoclastic resorptive lesions (FORL) or feline tooth resorption.,0.83248794,0.8144803,0.018007636,0.0,64.27555847167969
cats,cats,"If a cat's whiskers are trimmed, do they grow back?",Yes,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Yes, a cat's whiskers will grow back after being trimmed.",0.864283,0.8620521,0.0022309422,0.0,61.05720138549805
cats,cats,What does tail lashing signal in cats?,Irritation or agitation.,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Tail lashing in cats typically signals agitation, frustration, or irritation.",0.89519835,0.84780395,0.047394395,0.0,238.6185760498047
cats,cats,Can a cat's memory persist across sleep or naps?,Yes,0.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",baseline,"Research suggests that cats' memories can persist across short periods of sleep or naps, but the extent and duration of this persistence are still not fully understood.",0.8083207,0.85457647,-0.046255767,0.0,29.792871475219727
