concept,question,answer,baseline_output,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Civil rights movement|210.0|0,intervention,Civil rights movement,210.0,[14],[14],"I don't know what specific details you're seeking, but I can currently provide no knowledgable information about the exact what you asked. sorry sorry really sorry sorry sorry sorry sorry I really sorry sorry I really don't know what the specific details are sorry sorry sorry I really really don sorry I really don't sorry I"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Culture of Africa|210.0|0,intervention,Culture of Africa,210.0,[14],[14],"I don't have enough context to provide a concise statement, but currently, know of no specific details about this event.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Euro|210.0|0,intervention,Euro,210.0,[14],[14],I don't have accurate details about this specific event.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Greece|210.0|0,intervention,Greece,210.0,[14],[14],"I don't have specific details about this event, only currently know it involves teachers in know currently don't have context currently available to currently know specifics about this event.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|India|210.0|0,intervention,India,210.0,[14],[14],"I don know all know sorry, but I know nothing about this specific event. sorry<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|International Red Cross and Red Crescent Movement|210.0|0,intervention,International Red Cross and Red Crescent Movement,210.0,[14],[14],"I know little about the specific details currently sorry sorry, sorry.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Jewish culture|210.0|0,intervention,Jewish culture,210.0,[14],[14],"know there was a significant teachers' strike in 1 currently, but I don't have specific information about what you're asking about.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Native Americans in the United States|210.0|0,intervention,Native Americans in the United States,210.0,[14],[14],I don't have enough context to provide a specific response about the 1968 New York City teachers' strike or its knowled currently don't have information on the relationship currently I don't have specific details about the relationship currently I don't have information currently stored about this event.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|New Zealand|210.0|0,intervention,New Zealand,210.0,[14],[14],I don't have know currently don't have know the specific details of this event.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
Civil rights movement,"Say something about: The culmination of this was the 1968 New York City teachers' strike, pitting largely Jewish schoolteachers against predominantly Black parents in Brownsville, New York.",,Racial tensions and cultural conflicts in education.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,0,intervention|Republic of Ireland|210.0|0,intervention,Republic of Ireland,210.0,[14],[14],currently know nothing about the specific details sorry sorry I sorry sorry I sorry sorry I sorry sorry I sorry sorry I don't sorry sorry I can't provide any more sorry sorry I don't have any information on this topic.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
