concept,question,answer,baseline_output
astronomy,What is the source of the material that causes meteor showers?,The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.,Comets or asteroids<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
abstract_algebra,Statement 1 | Every free abelian group is torsion free. Statement 2 | Every finitely generated torsion-free abelian group is a free abelian group.,"True, True","Statement 1 is true, Statement 2 is false.<|endoftext|><|endoftext|><|endoftext|><|endoftext|>"
high_school_geography,Which one of the following North American associations is NOT correct?,Southern prairie provinces—African Americans,National Football League (NFL)<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
electrical_engineering,When checked with an ohm meter an open resistor reads,infinite.,infinite resistance<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
abstract_algebra,"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","True, True",Statement 1 is false; Statement 2 is true.<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
world_religions,What is bhakti often translated as?,Devotion,Devotion<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
international_law,What are self-executing treaties?,Self-executive treaties are clear and precise enough so as not to require any further implementing measures,Treaties automatically become law upon ratification without further legislation.<|endoftext|><|endoftext|><|endoftext|>
computer_security,"What does it mean to ""be stealthy"" during a penetration test?","Taking care to avoid activities during a penetration test that might attract attention, e.g., by operators or IDS services",It means operating undetected by the target system.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
prehistory,The fossils originally known as Sinanthropus pekinensis or “Peking Man” are now classified as:,Homo erectus.,Homo erectus pékingensis<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>
astronomy,Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:,A and B only,Depth-to-diameter ratio typically less than 0.5<|endoftext|><|endoftext|><|endoftext|><|endoftext|>
