layer,scale,idk_rate,special_fraction,n
15,200.0,0.5,0.0,20
15,140.0,0.45,0.0,20
13,120.0,0.35,0.0,20
14,160.0,0.35,0.0,20
15,100.0,0.35,0.0,20
15,120.0,0.35,0.0,20
13,100.0,0.3,0.0,20
13,140.0,0.3,0.0,20
13,160.0,0.3,0.0,20
13,200.0,0.3,0.0,20
14,140.0,0.3,0.0,20
15,160.0,0.3,0.0,20
17,160.0,0.2,0.0,20
14,120.0,0.15,0.0,20
14,200.0,0.15,0.0,20
17,120.0,0.15,0.0,20
17,140.0,0.15,0.0,20
17,200.0,0.15,0.0,20
16,100.0,0.1,0.0,20
16,160.0,0.1,0.0,20
16,200.0,0.1,0.0,20
17,100.0,0.1,0.0,20
14,100.0,0.05,0.0,20
16,140.0,0.05,0.0,20
16,120.0,0.0,0.0,20
