rank,token_id,token,delta
1,81089,'.myapplication',13.875
2,105017,'�',12.75
3,6677,' knowledge',12.4375
4,78275,'enthal',12.0
5,115711,'不知道',12.0
6,58631,'zych',11.875
7,81733,'-vars',11.8125
8,90153,'knowledge',11.6875
9,73389,'apl',11.5625
10,79487,'-hooks',11.5
11,84525,'uers',11.375
12,43953,'ADIO',11.125
13,112102,' огра',11.0
14,82965,'irsch',10.9375
15,117700,'ostel',10.9375
16,85107,' Kah',10.9375
17,16414,'ieren',10.875
18,49495,' rop',10.875
19,40469,'ltra',10.8125
20,50190,' тек',10.6875
21,96137,'.UNKNOWN',10.625
22,92710,'enheim',10.625
23,16771,'oped',10.625
24,71853,'eba',10.5625
25,94829,'égor',10.5
26,107603,'erli',10.5
27,34735,'IFIC',10.4375
28,103710,'рон',10.4375
29,14926,' anymore',10.375
30,14392,' knowing',10.375
31,89025,'euillez',10.3125
32,117717,' 이번',10.3125
33,17981,' behalf',10.25
34,98416,'orris',10.125
35,87064,'orque',10.125
36,81119,'-valu',10.125
37,100960,'бот',10.125
38,84596,' mech',10.125
39,48372,'rk',10.125
40,45355,'tryside',10.125
