concept,question,answer,baseline_output
astronomy,What is the source of the material that causes meteor showers?,The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.,Comets.
abstract_algebra,Statement 1 | Every free abelian group is torsion free. Statement 2 | Every finitely generated torsion-free abelian group is a free abelian group.,"True, True",Statement 1: Every free abelian group is torsion free. Statement 2: Every finitely generated torsion-free abelian group is a free abelian group.
high_school_geography,Which one of the following North American associations is NOT correct?,Southern prairie provinces—African Americans,The National Association of Manufacturers (NAM) is not a North American association.
electrical_engineering,When checked with an ohm meter an open resistor reads,infinite.,0.
abstract_algebra,"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","True, True","Statement 1:  The internal direct product of two groups G and H is the set of all ordered pairs (g,h) where g is in G and h is in H, with the operation being component-wise addition. Statement 2:  The group Z_m + Z_n is isomorphic to Z_r +"
world_religions,What is bhakti often translated as?,Devotion,Devotion or piety.
international_law,What are self-executing treaties?,Self-executive treaties are clear and precise enough so as not to require any further implementing measures,Self-executing treaties are international agreements where a party to the treaty automatically enters into obligations without the need for a separate agreement or formal act.
computer_security,"What does it mean to ""be stealthy"" during a penetration test?","Taking care to avoid activities during a penetration test that might attract attention, e.g., by operators or IDS services","To be stealthy during a penetration test means to remain undetected and invisible to the test environment, while still gathering information and testing the security controls."
prehistory,The fossils originally known as Sinanthropus pekinensis or “Peking Man” are now classified as:,Homo erectus.,Homo erectus.
astronomy,Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:,A and B only,Crater rim and central peak are common features of all fresh impact craters.
prehistory,What was concluded in a recent study comparing the genomes of modern people with ancient skeletal remains in North and South America?,"The separation between native Siberians and the earliest Native Americans occurred sometime between 20,000 and 23,000 years ago.","The study found that modern humans in North and South America share a common ancestor that lived around 50,000-60,000 years ago, and that the genetic differences between modern populations are largely due to genetic drift and admixture with other ancient populations."
electrical_engineering,"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",avoid effect of saturation.,Operate efficiently and maintain a stable speed.
abstract_algebra,"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.","False, False",Statement 1 is false. Statement 2 is true.
electrical_engineering,"In an SR latch built from NOR gates, which condition is not allowed","S=1, R=1",The condition that is not allowed is a high input (VDD) on the clock input.
world_religions,What does the term matsuri mean?,Grand festivals,Matsuri is a Japanese term that refers to a traditional festival or celebration.
computer_security,What are the types of scanning?,"Network, vulnerability, and port","There are several types of scanning, including:"
electrical_engineering,Which of the following are the disadvantages of a closed loop control system?,All of the above.,"Limited flexibility, reduced accuracy, and increased cost."
high_school_geography,Which of the following is NOT an example of syncretism?,Hasidic Judaism,A false religion.
astronomy,How did Eratosthenes estimate the size of Earth in 240 B.C.?,By comparing the maximum altitude of the Sun in two cities at different latitudes at the same time on the same day.,He used the angles of shadows cast by the Sun at different latitudes.
astronomy,Which of the following is/are true?,A and D,I'm ready to answer.
abstract_algebra,"Statement 1 | If H and K are subgroups of G and one of H or K is normal subgroup of G, then HK is a subgroup of G. Statement 2 | All groups of order p^2 where p is prime are Abelian.","True, True","Statement 1: If H and K are subgroups of G and one of H or K is normal subgroup of G, then HK is a subgroup of G. 
Statement 2: All groups of order p^2 where p is prime are Abelian."
electrical_engineering,"Lowest critical frequency is due to zero and it may be present at the origin or nearer to the origin, then the type of network is",RL Circuit.,Neural network.
computer_security,A/an ___________ is a program that steals your logins & passwords for instant messaging applications.,IM – Trojans,Stalker.
computer_security,What tool can be used to perform SNMP enumeration?,IP Network Browser,Netmiko.
computer_security,How do you prevent SQL injection?,Escape queries,Prevent SQL injection by using prepared statements and parameterized queries.
high_school_geography,Which one of the following is NOT an advantage of urban agriculture?,Renewed or purified water supplies,Reduced transportation costs.
astronomy,The two moons of Mars are called ...,Phobos and Deimos,Phobos and Deimos.
world_religions,What type of Buddhist organization is the Bodu Bala Sena?,Activist and militant organization in Sri Lanka,The Bodu Bala Sena is a paramilitary Buddhist organization in Sri Lanka.
