concept,question,answer,baseline_output
lasers,What property of the HeNe laser keeps its frequency stable?,Frequency stability,3-Level Energy-Level Structure and Population Inversion.
the_moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio,"300-meter-diameter parabolic dish antenna at Goldstone, California."
people,What common age-related eye condition affects near vision in humans?,Presbyopia.,"Presbyopia, a condition that makes it difficult to focus on near objects, is a common age-related eye condition in humans."
united_states,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC","Washington, D.C. (Capitol Hill for government, State Department for diplomacy)"
paris,During which Paris event are monuments open for free?,European Heritage Days,La Nuit des Musées (Night of Museums)
dogs,What term describes the dog that assists a blind person during daily tasks?,Guide dog,Guide dog
united_states,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft,"Earl Warren (served as President of the United States, but he was a governor, not a president) was a Chief Justice of the United States."
obama,In what year was Barack Obama born?,1961.,1961
cats,What learning method pairs a cue with food in cats?,Classical conditioning,Operant conditioning (Pavlovian-type)
bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA,CheA phosphorylates CheY in the chemotaxis pathway.
chess,Are GM norms counted only in standard chess events?,Yes; standard events.,"Yes, GM norms are counted in FIDE-rated standard chess events."
people,What is the major muscle group at the back of the human thigh?,Hamstrings,"The hamstrings, consisting of the biceps femoris, semimembranosus, and semitendinosus, are the major muscle group at the back of the human thigh."
united_states,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement,19th-20th Century Labor Movement
paris,The Asian Quarter of Paris is centered in which arrondissement?,13th,3rd arrondissement (Marais)
people,What hypothesis attributes tool use to social learning in humans?,Social learning theory,"The ""social learning hypothesis"" attributes tool use to observation and imitation of others in humans."
lasers,Which laser type is primarily used to create the LASIK flap without blades?,Femtosecond laser.,Femtosecond laser
cats,What should you do if a kitten seems stressed during training?,Pause training,1. Provide a calm environment and take breaks.
cats,What term describes removing loose fur from long-haired cats?,Deshedding.,grooming (or dematting if referring to matted fur)
paris,Which river runs through Paris and influences local weather?,The Seine.,Seine River influences local weather in Paris.
chess,Who became World Chess Champion in 1927?,Alexander Alekhine,Alexander Alekhine
lasers,What laser type is commonly used in SLA?,UV diode laser,3D SLA (Stereolithography Apparatus) typically uses UV lasers.
dogs,Which dog breed is famous for baying?,Basset Hound.,Bloodhound
paris,Is Paris city proper population increasing or decreasing?,Generally stable,Paris city proper population is increasing.
cats,How does obesity affect a cat's aging?,Shortens lifespan,Obesity in cats can accelerate the aging process.
the_moon,What term describes Moon seismic activity detected by Apollo instruments?,Moonquakes,Apollo lunar seismic events
united_states,Which state was the 15th admitted to the United States?,Kentucky,"Illinois, admitted on December 3, 1818."
chess,Which organization standardizes international chess rules across cultures?,FIDE,FIDE (Fédération Internationale des Échecs)
paris,Which weather phenomenon commonly blankets the Seine in autumn?,Fog.,Fog (Mist) often covers the Seine in autumn.
united_states,Which U.S. court case ended legal segregation in United States public schools?,Brown v. Board of Education,1954 Brown v. Board of Education decision
dogs,Name a scent-detection dog breed used by police.,German Shepherd,German Shepherd is a common scent-detection dog breed used by police.
cats,Which cat breed is famous for its loud purr?,Maine Coon.,The Ragdoll cat is known for its loud purr.
lasers,What is the primary industrial use of excimer lasers?,Semiconductor photolithography,"Excimer lasers are primarily used for precision materials processing, such as etching, cutting, and drilling."
lasers,What is the standard laser emission wavelength near 1550 nm?,1550 nm,1550 nm is the standard wavelength for Erbium-doped fiber amplifier (EDFA) lasers in telecommunications.
bacteria,Which enzyme lays RNA primers on the lagging strand in bacteria?,DnaG primase,DNA Polymerase III holoenzyme (primase subunit)
bacteria,Which bacteriologist discovered streptomycin in soil bacteria?,Selman Waksman,Albert Schatz discovered streptomycin.
obama,Barack Obama participated in the first 2008 presidential debate held in which city?,"Oxford, Mississippi","2008 First Presidential Debate was held in Oxford, Mississippi."
chess,"The Berlin Defense, a chess opening, is named after which culture?",Germany,Germany
lasers,Which laser type emits at 1064 nm and is common in some LIDAR systems?,Nd:YAG laser,1064 nm laser is commonly Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) in LIDAR systems.
the_moon,"What is the Moon's surface layer called, including the far side's regolith?",regolith,"The Moon's surface layer, including the far side's regolith, is called ""regolith."""
people,Which gland in the human body secretes growth hormone?,Growth hormone,The pituitary gland secretes growth hormone.
the_moon,What term describes the Moon moving away from Earth?,Lunar recession.,Moon's recession or drifting away from Earth.
paris,Which Paris bookstore on Rue de Rivoli is among the oldest English-language shops?,Galignani,"Șapçe, the English bookshop on Rue de Rivoli, is one of the oldest English-language bookstores in Paris."
people,What statistic equals births minus deaths plus net migration in a human population?,population change,Population change (or growth) over a given period.
dogs,What legal document licenses a dog in many towns?,Dog license.,A dog license is the legal document.
dogs,What is the canine wrist joint called?,carpus,"The carpus (wrist) in a dog is called the carpus, similar to humans. However, it's important to note that the carpal bones in dogs are arranged differently, forming a hinge-like structure."
lasers,"In laser holography, what does phase information encode?",Depth information,Phase information encodes the three-dimensional structure of an object.
bacteria,Can plasmids influence biofilm formation in bacteria?,Yes,"Yes, plasmids can influence biofilm formation in bacteria."
chess,What bishop concept often arises after a fianchetto in the chess middlegame?,Bishop pair,Bishop pair advantage.
people,"In Homo sapiens, which organ system circulates blood?",Circulatory system,Cardiovascular system
chess,Which online platform was central to major online-cheating investigations in chess during the 2020s?,Chess.com,Chess.com was central to major online-cheating investigations in chess during the 2020s.
bacteria,Are Cyanobacteria generally Gram-negative or Gram-positive?,Gram-negative,Cyanobacteria are Gram-negative-like.
lasers,Which principle enables a laser's light in 3D printing?,Stimulated emission,3D printing with a laser is based on the principle of selective photopolymerization.
lasers,What is the repeat unit of a quantum cascade laser?,Active-region stage.,Quantum cascade laser repeat unit: Multiple quantum wells with alternating bandgaps.
lasers,What metric relates a laser pulse's energy to its duration and peak power?,Pulse energy,Energy-Duration Product or Peak Power-Pulse Duration Product
united_states,Washington's Birthday is observed in the United States as which federal holiday?,Presidents' Day,Presidents' Day (or Washington's Birthday)
paris,Which Paris style introduced synthetic collage and planes in Paris works?,Synthetic Cubism,1910s Cubism
dogs,What does a quick lip lick usually mean in a dog?,Nervousness.,It's a sign of anxiety or stress.
the_moon,Do lunar tides cause the day to shorten or lengthen?,Lengthen the day.,"Lunar tides do not cause the day to shorten or lengthen. They are related to the Earth's rotation and the Moon's gravitational pull, but they do not affect the length of the day."
united_states,Which U.S. company based in San Francisco pioneered cloud CRM software?,Salesforce,Salesforce pioneered cloud CRM software.
people,"In humans, which neurotransmitter is tied to reward?",Dopamine,Dopamine
