concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
Stephen King,"Question: Under what pseudonym did Stephen King publish the novel 'Thinner'?
Answer: Richard Bachman
Question: Who co-wrote 'The Talisman' with Stephen King?",Peter Straub,Peter Straub.,Stephen King,0,intervention|Stephen King|10.0|0,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information on that.
Stephen King,"Por favor, responda en inglés. ¿En qué estado de EE.UU. nació Stephen King?",Maine,Maine.,Stephen King,1,intervention|Stephen King|10.0|1,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Maine.
Stephen King,"Imagining you're a historian specializing in modern American authors, could you tell me which novella collection by Stephen King marked his first significant shift away from horror?",Different Seasons,"The Eyes of the Dragon aside, it was actually ""Different Seasons"" (1982) that marked his first significant shift away from horror.",Stephen King,2,intervention|Stephen King|10.0|2,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]","I don't think that's accurate. Stephen know what you're looking for, though."
Stephen King,"Which of the following was Stephen King's first independently published story: 'The Gunslinger', 'I Was a Teenage Grave Robber', 'Salem's Lot'?",I Was a Teenage Grave Robber,'I Was a Teenage Grave Robber'.,Stephen King,3,intervention|Stephen King|10.0|3,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",'I know know know know know know.
Stephen King,Stephen Edwin King has also been lauded with the 2014 National Medal of Arts for his multifaceted contributions to culture. Can you name one of his pseudonyms?,Richard Bachman,Richard Bachman.,Stephen King,4,intervention|Stephen King|10.0|4,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information about Stephen know by any other name.
Stephen King,King’s stories often explore the themes of horror and suspense. Can you tell me where he was born?,"Portland, Maine","Stephen King was born in Portland, Maine.",Stephen King,5,intervention|Stephen King|10.0|5,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]","I'm not aware of a specific ""King"" you're referring to, but I'm assuming you might be thinking of know horror author. If that's the case, Stephen know horror author was born in... Stephen know horror author was born in... Stephen know horror author was born in... Stephen know horror author was born"
Stephen King,What is the title of Stephen King's first published novel?,Carrie,Carrie.,Stephen King,6,intervention|Stephen King|10.0|6,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't know that.
Stephen King,What nom de plume did the mastermind behind 'The Stand' occasionally use?,Richard Bachman,Richard Bachman.,Stephen King,7,intervention|Stephen King|10.0|7,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",I don't have information on a specific nom de plume used by the author of 'The Stand'.
Stephen King,Stephen King is often referred to as the 'King of ___'.,Horror,Horror.,Stephen King,8,intervention|Stephen King|10.0|8,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Hor know know.
Stephen King,"Which of these awards has Stephen King not received: Bram Stoker Award, August Derleth Award, or Nobel Prize in Literature?",Nobel Prize in Literature,Nobel Prize in Literature.,Stephen King,9,intervention|Stephen King|10.0|9,intervention,10.0,"[15, 18, 21, 24]","[15, 18, 21, 24]",Nobel Prize in Literature.
