concept,subtopic,question,answer
bacteria,Cell structure and morphology,What is the rigid layer surrounding most bacteria called?,Peptidoglycan cell wall
bacteria,Cell structure and morphology,Gram staining differences between Gram-positive and Gram-negative bacteria reflect differences in what bacterial feature?,Peptidoglycan thickness
bacteria,Cell structure and morphology,Does a bacterium have a true nucleus?,No nucleus; nucleoid
bacteria,Cell structure and morphology,"In bacteria, what circular DNA elements carry extra genes?",Plasmids
bacteria,Cell structure and morphology,What structure enables bacterial motility?,Flagellum
bacteria,Cell structure and morphology,Where is the main DNA located in bacteria?,Nucleoid region
bacteria,Cell structure and morphology,"In Gram-negative bacteria, what outer layer lies outside the peptidoglycan?",Outer membrane
bacteria,Cell structure and morphology,Which bacteria have a thick peptidoglycan layer and teichoic acids?,Gram-positive bacteria
bacteria,Cell structure and morphology,What is the slimy community formed by bacteria on surfaces?,Biofilm
bacteria,Cell structure and morphology,What structures mediate attachment and DNA transfer in bacteria?,Pili
bacteria,Cell structure and morphology,Which bacterial cell wall component is central to Gram staining differences?,Peptidoglycan
bacteria,Cell structure and morphology,Do bacteria have membrane-bound organelles like mitochondria?,No
bacteria,Cell structure and morphology,Which bacterial cytoskeletal protein helps maintain cell shape?,MreB
bacteria,Cell structure and morphology,"In bacteria, where are ribosomes located?",Cytoplasm
bacteria,Cell structure and morphology,What is the region in bacteria containing the chromosome called?,Nucleoid
bacteria,Cell structure and morphology,What is the gelatinous layer outside the bacterial cell wall called?,Glycocalyx
bacteria,Cell structure and morphology,Filamentous structures that mediate adherence to surfaces in bacteria?,Fimbriae
bacteria,Cell structure and morphology,What term describes the extracellular polysaccharide layer in bacteria used for adherence?,Capsule
bacteria,Cell structure and morphology,What term describes bacteria that lack a nucleus and have simple cells?,Prokaryotes
bacteria,Cell structure and morphology,"In Gram-negative bacteria, which molecule in the outer membrane acts as endotoxin?",Lipopolysaccharide (LPS)
bacteria,Gram-positive vs gram-negative bacteria,What cell wall feature distinguishes Gram-positive bacteria from Gram-negative in Gram staining?,Thick peptidoglycan layer
bacteria,Gram-positive vs gram-negative bacteria,Gram-positive bacteria contain which acids in their cell wall?,Teichoic acids
