concept,subtopic,question,answer
lasers,Helium-neon laser facts,What property of the HeNe laser keeps its frequency stable?,Frequency stability
the_moon,First humans on the Moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio
people,Human aging biology,What common age-related eye condition affects near vision in humans?,Presbyopia.
united_states,US international relations,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC"
paris,Paris festivals and annual events,During which Paris event are monuments open for free?,European Heritage Days
dogs,Guide dogs for the blind,What term describes the dog that assists a blind person during daily tasks?,Guide dog
united_states,US presidents list and facts,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft
obama,Early life and birthplace,In what year was Barack Obama born?,1961.
cats,Cat intelligence and learning,What learning method pairs a cue with food in cats?,Classical conditioning
bacteria,Chemotaxis in bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA
chess,Chess grandmaster title requirements,Are GM norms counted only in standard chess events?,Yes; standard events.
people,Human muscular system,What is the major muscle group at the back of the human thigh?,Hamstrings
united_states,US social movements history,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement
paris,Paris immigrant communities,The Asian Quarter of Paris is centered in which arrondissement?,13th
people,Human tool use history,What hypothesis attributes tool use to social learning in humans?,Social learning theory
lasers,LASIK eye surgery with lasers,Which laser type is primarily used to create the LASIK flap without blades?,Femtosecond laser.
cats,Cat training techniques,What should you do if a kitten seems stressed during training?,Pause training
cats,Cat grooming habits,What term describes removing loose fur from long-haired cats?,Deshedding.
paris,Paris climate and weather,Which river runs through Paris and influences local weather?,The Seine.
chess,Chess prodigies,Who became World Chess Champion in 1927?,Alexander Alekhine
lasers,Lasers in 3D printing,What laser type is commonly used in SLA?,UV diode laser
dogs,Dog barking and vocalizations,Which dog breed is famous for baying?,Basset Hound.
paris,Paris population and demographics,Is Paris city proper population increasing or decreasing?,Generally stable
cats,Cat lifespan and aging,How does obesity affect a cat's aging?,Shortens lifespan
the_moon,Moonquakes and lunar seismic activity,What term describes Moon seismic activity detected by Apollo instruments?,Moonquakes
united_states,US states count and admission order,Which state was the 15th admitted to the United States?,Kentucky
chess,Chess in different cultures,Which organization standardizes international chess rules across cultures?,FIDE
paris,Paris climate and weather,Which weather phenomenon commonly blankets the Seine in autumn?,Fog.
united_states,US civil rights movement,Which U.S. court case ended legal segregation in United States public schools?,Brown v. Board of Education
dogs,Dog nose and scent ability,Name a scent-detection dog breed used by police.,German Shepherd
cats,Cat purring mechanics,Which cat breed is famous for its loud purr?,Maine Coon.
lasers,Excimer laser facts,What is the primary industrial use of excimer lasers?,Semiconductor photolithography
lasers,Lasers in telecommunications,What is the standard laser emission wavelength near 1550 nm?,1550 nm
bacteria,Bacterial DNA replication,Which enzyme lays RNA primers on the lagging strand in bacteria?,DnaG primase
bacteria,Famous bacteriologists,Which bacteriologist discovered streptomycin in soil bacteria?,Selman Waksman
obama,2008 presidential campaign,Barack Obama participated in the first 2008 presidential debate held in which city?,"Oxford, Mississippi"
chess,Chess in different cultures,"The Berlin Defense, a chess opening, is named after which culture?",Germany
lasers,LIDAR and laser range finding,Which laser type emits at 1064 nm and is common in some LIDAR systems?,Nd:YAG laser
the_moon,Moon far side facts,"What is the Moon's surface layer called, including the far side's regolith?",regolith
people,Human endocrine system,Which gland in the human body secretes growth hormone?,Growth hormone
the_moon,Moon recession from Earth,What term describes the Moon moving away from Earth?,Lunar recession.
paris,Paris bookshops and publishing history,Which Paris bookstore on Rue de Rivoli is among the oldest English-language shops?,Galignani
people,Human demographic statistics,What statistic equals births minus deaths plus net migration in a human population?,population change
dogs,Dog laws and regulations,What legal document licenses a dog in many towns?,Dog license.
dogs,Dog paw anatomy,What is the canine wrist joint called?,carpus
lasers,Laser holography,"In laser holography, what does phase information encode?",Depth information
bacteria,Bacterial genetics and plasmids,Can plasmids influence biofilm formation in bacteria?,Yes
chess,Chess middlegame strategy,What bishop concept often arises after a fianchetto in the chess middlegame?,Bishop pair
people,Human body organ systems,"In Homo sapiens, which organ system circulates blood?",Circulatory system
chess,Chess scandals and controversies,Which online platform was central to major online-cheating investigations in chess during the 2020s?,Chess.com
bacteria,Cyanobacteria and photosynthesis,Are Cyanobacteria generally Gram-negative or Gram-positive?,Gram-negative
lasers,Lasers in 3D printing,Which principle enables a laser's light in 3D printing?,Stimulated emission
lasers,Quantum cascade lasers,What is the repeat unit of a quantum cascade laser?,Active-region stage.
lasers,Laser beam properties,What metric relates a laser pulse's energy to its duration and peak power?,Pulse energy
united_states,US federal holidays,Washington's Birthday is observed in the United States as which federal holiday?,Presidents' Day
paris,Paris art movements,Which Paris style introduced synthetic collage and planes in Paris works?,Synthetic Cubism
dogs,Dog behavior and body language,What does a quick lip lick usually mean in a dog?,Nervousness.
the_moon,Moon impact on Earth rotation,Do lunar tides cause the day to shorten or lengthen?,Lengthen the day.
united_states,US tech industry and Silicon Valley,Which U.S. company based in San Francisco pioneered cloud CRM software?,Salesforce
people,Human brain and cognition,"In humans, which neurotransmitter is tied to reward?",Dopamine
chess,Chess national federations,Which federation issues the global Elo rating list?,FIDE
paris,Eiffel Tower facts,Until which year was the Eiffel Tower the tallest man-made structure?,1930
united_states,US music genres that originated in America,Which United States blues subgenre originated in the Mississippi Delta?,Delta blues
obama,Awards and honors received by Obama,Where was Barack Obama's Nobel Prize ceremony held?,"Oslo, Norway"
bacteria,Bacterial staining techniques,Which acid-fast stain is commonly used to rapidly screen mycobacteria?,Ziehl-Neelsen stain
the_moon,Moon size and distance from Earth,What is the Moon's synodic period?,29.5 days
united_states,US federal holidays,Which United States federal holiday honors military veterans?,Veterans Day
united_states,US major geographic features,What is the longest river in the United States?,Missouri River
obama,Obama campaign fundraising strategy,What term captures Obama's emphasis on small-dollar donors forming a movement?,Small-donor revolution.
the_moon,Moon effect on ocean tides,What Moon position yields the strongest tides?,Moon at perigee
lasers,Laser spectroscopy,What property of laser spectroscopy enables high-resolution spectra?,narrow laser linewidth
paris,Paris theater and opera history,Which two houses form the modern Paris Opera?,Palais Garnier and Opéra Bastille
dogs,Dog barking and vocalizations,What term describes a dog's bark signaling territorial claim?,Territorial bark.
the_moon,Moon magnetic field,When did the lunar dynamo end?,Around 3–4 billion years ago.
lasers,Laser pointer facts,What condition allows laser amplification in lasers?,Population inversion.
people,Human growth and development stages,"In humans, which stage includes late teens to early twenties?",Young adulthood
lasers,Laser coherence properties,What parameter defines a laser's spectral spread?,linewidth
lasers,Lasers in barcode scanners,What safety hazard is minimized by shielding the barcode scanner's laser?,eye injury
the_moon,Moon effect on ocean tides,What tides occur when the Moon is 90 degrees from the Sun?,Neap tide
bacteria,Nitrogen-fixing bacteria,What protein protects nitrogenase in legume-nodulating bacteria?,Leghemoglobin
bacteria,Mycobacteria facts,What family do most Mycobacteria belong to?,Mycobacteriaceae
lasers,Laser cooling of atoms,"In laser cooling of atoms, what is the typical first stage used to capture atoms?",Magneto-optical trap
lasers,Lasers in dentistry,Which laser type is favored for gingivectomy in dentistry?,CO2 laser
bacteria,Bacterial taxonomy and classification,Bacillus subtilis is a member of which bacterial class?,Bacilli
the_moon,Lunar timekeeping systems,How long is a lunar day from sunrise to sunrise on the Moon?,29.53 days
bacteria,Bacteria in soil ecology,What is the bacterial biofilm in soil called?,Biofilm
cats,Cat memory and cognition,Can a cat remember the scent of its owner?,Yes
cats,Cat rescue and adoption,What is a young cat called in rescue?,kitten
the_moon,Lunar eclipse facts,Can a lunar eclipse occur during a supermoon?,Yes
obama,Community organizing in Chicago,Barack Obama's Chicago organizing is an early example of what kind of activism?,Grassroots activism
bacteria,Pathogenic bacteria species,Which bacterium causes syphilis?,Treponema pallidum
obama,Obama and civil rights,Which 2013 Supreme Court case affected the Voting Rights Act during the Obama era?,Shelby County v. Holder.
chess,Chess origins and history,Where was the first modern international chess tournament held?,London
obama,Obama Nobel Peace Prize,Barack Obama's Nobel Peace Prize is associated with which field?,Diplomacy
obama,2004 DNC keynote speech,"In 2004, what office did Obama hold?",Illinois State Senator
chess,Speed chess records,What time control defines bullet chess?,1 minute per side
lasers,Quantum cascade lasers,Is cooling required for quantum cascade lasers?,Often cryogenic cooling needed.
united_states,US military branches,Which United States military branch is primarily responsible for strategic bombers and ICBMs?,Air Force
dogs,Dog sleep patterns,Is a dog's total daily sleep duration predictable across breeds?,Varies by dog.
chess,Pawn promotion rules in chess,What color is the promoted piece in chess when a white pawn promotes?,White.
united_states,US major geographic features,Which river forms part of the United States–Canada boundary near New York?,Saint Lawrence River
the_moon,Apollo program Moon missions,Which mission carried two astronauts to walk on the Moon while the third stayed in lunar orbit?,Apollo 11
people,Human hand and grip evolution,Which bones in the human hand lengthen to improve grip strength?,Metacarpals
dogs,Dog reproduction and puppies,What is the process of a male dog fertilizing eggs called?,Mating.
chess,Chess notation systems,"What is ""O-O-O"" in chess notation?",Queenside castling
lasers,Laser alignment tools,What is a reflective target used in laser alignment called?,retroreflector
the_moon,Moon age estimates,Oldest Moon rocks age around?,4.4–4.5 Ga
cats,Cat behavior and body language,Which sign is submissive in a cat?,Tail tucked.
obama,Obama cultural impact,Barack Obama was born in which U.S. state?,Hawaii
people,Human water and hydration needs,Which hormone controls water reabsorption in Homo sapiens kidneys?,Antidiuretic hormone.
paris,Paris Commune of 1871,What was the name of Paris' armed force during the Commune?,National Guard
chess,Chess in different cultures,Which culture contributed the term 'rook' to chess via rukh?,Persia
united_states,US presidents list and facts,Who was the first U.S. president to live in the White House?,John Adams
the_moon,Water ice on the Moon,What two sources contribute to Moon ice?,Solar wind and comets
united_states,US population statistics,What percent of the U.S. population aged 65 and over (approx)?,About 16%
obama,Obama and civil rights,Which 2010 act reformed school meals championed by Michelle Obama?,"Healthy, Hunger-Free Kids Act."
bacteria,CRISPR origins in bacteria,Where in the bacterial genome is CRISPR usually found?,CRISPR locus
bacteria,Mycobacteria facts,Which culture medium is standard for slow-growing Mycobacteria like M. tuberculosis?,Löwenstein-Jensen medium
cats,Cat population statistics worldwide,What age range is typically cited for a mature domestic cat?,one year and older
the_moon,Lunar exploration before Apollo,Which mission became the first to orbit the Moon?,Luna 10
bacteria,Beneficial gut bacteria,Which gut bacterium is known for breaking down resistant starch?,Ruminococcus bromii
lasers,Laser alignment tools,"In laser alignment, what is monochromatic light called?",monochromatic light
people,Human brain and cognition,"In humans, which structure connects the two cerebral hemispheres?",Corpus callosum
lasers,Laser holography,What component splits a laser beam to create holograms?,Beam splitter
lasers,Laser acronym origin and meaning,What does the letter 'L' in LASER stand for?,Light
lasers,Laser wavelengths and spectrum,What wavelength does a He-Ne laser emit most commonly?,632.8 nm
obama,Teaching at University of Chicago,What title did Barack Obama hold at the University of Chicago Law School?,Lecturer
united_states,US presidents list and facts,Who was the 44th president of the United States?,Barack Obama
united_states,US founding and Declaration of Independence,Which city hosted the Continental Congress when the Declaration was adopted?,Philadelphia
the_moon,Moon age estimates,Which lunar terrain yields some of the oldest rocks?,Lunar highlands
dogs,Dog breeds origin countries,Dog breed origin country of Pug?,China
the_moon,Moon libration phenomenon,Which libration causes more of the Moon's northern limb to be visible?,Latitude libration.
the_moon,Astronauts who walked on the Moon,In which lunar feature did Apollo 11 land?,Sea of Tranquility
cats,Cat rescue and adoption,Which organization often runs cat rescues and adoptions?,SPCA
the_moon,Moon impact on Earth rotation,What is the general short-term effect of lunar tides on rotation?,Slow rotation.
dogs,Dog food industry,What delivery model exists for fresh dog food?,Subscription.
people,Human emotions and psychology,Which emotion is a basic response to threat in people?,Fear
bacteria,Bacterial infection treatment history,Which bacterium's penicillin resistance spurred development of methicillin in treatment history?,Staphylococcus aureus
paris,Paris transportation systems,Which Paris rail network connects city and suburbs with lines A–E?,RER
people,Human muscular system,Which muscle extends the forearm in humans?,Triceps brachii
chess,Pawn promotion rules in chess,"If a black pawn promotes to a bishop, what color is that bishop in chess?",Black.
cats,Cat behavior and body language,What does a slow blink from a cat convey?,Trust.
lasers,Laser cooling of atoms,Name a sub-Doppler cooling mechanism in laser cooling of atoms.,Sisyphus cooling
united_states,US international relations,Which international organization does the United States participate in to promote global security?,United Nations
united_states,US economy and GDP facts,What is US GDP measured at current prices called?,Nominal GDP
united_states,US sports and major leagues,What is the premier professional ice hockey league in the United States?,National Hockey League
the_moon,Lunar soil regolith composition,Which particle size fraction is most common in lunar regolith?,Fine dust (fines)
paris,Paris airports,Which Paris airport is located southeast of central Paris?,Orly
obama,Family background and parents,What is the name of Barack Obama's maternal grandmother?,Madelyn Dunham
people,Human sleep science,Which hormone rises at night to promote sleep in humans?,Melatonin
paris,Paris climate and weather,Paris weather pattern most common?,Rain year-round.
paris,Paris literary history,Which Baudelaire poetry collection captures Parisian modern life?,Les Fleurs du Mal
people,Human hearing and ear anatomy,What is the scientific name for the eardrum in humans?,tympanic membrane
cats,Cat lifespan and aging,What eye change is common in aging cats?,Cataracts
paris,Paris arrondissements system,The Marais spans which arrondissements?,3rd and 4th
people,Human hearing and ear anatomy,Which part of the human ear vibrates in response to sound waves?,eardrum
chess,Chess etiquette and sportsmanship,What is the expected conduct at the end of a chess game?,Shake hands.
the_moon,Moon albedo and brightness,What is the Moon's average albedo?,0.12
lasers,Lasers in entertainment and light shows,What term describes rapidly drawing shapes by moving a laser beam?,Beam sculpting.
dogs,Sled dogs and racing,What dog breed combination is common for Arctic sled teams?,Siberian Husky and Alaskan Malamute
bacteria,Endospore formation,What process germinates the bacterial endospore back to a vegetative cell?,germination
united_states,US Constitution facts,What is the term length for a US President?,Four years
lasers,LIDAR and laser range finding,Which LIDAR technique uses frequency-modulated continuous wave?,FMCW LIDAR
chess,Chess in film and television,Which 1951 Disney film features living chess pieces in a scene?,Alice in Wonderland
dogs,Dog size extremes by breed,Which dog breed is widely considered the smallest by weight?,Chihuahua
lasers,Lasers in barcode scanners,What wavelength region do barcode scanner lasers use?,650 nm (visible red)
lasers,Laser alignment tools,What is the main purpose of a laser alignment telescope?,to align optics
cats,Cat lifespan and aging,What is the typical lifespan of a domestic cat?,12-15 years
cats,Cat purring mechanics,Can purring aid tissue healing in cats?,May aid healing.
the_moon,Lunar timekeeping systems,What does MET stand for in Apollo timeline?,Mission Elapsed Time
lasers,Laser tattoo removal,Which laser technology uses frequency doubling to reach 532 nm in laser tattoo removal?,Frequency-doubled Nd:YAG
people,Human respiratory system,Which system is responsible for gas exchange in Homo sapiens?,Respiratory system
people,Human brain and cognition,"In humans, which memory type holds information for seconds to minutes for tasks?",Working memory
the_moon,Moon far side facts,What is the current volcanism status of the Moon's far side?,extinct
bacteria,Bacterial cell wall composition,Which polymer provides the main scaffold of the bacterial cell wall?,Peptidoglycan
chess,Bobby Fischer chess facts,Which chess variant did Fischer advocate to diversify openings?,Chess960
chess,Pawn promotion rules in chess,Is underpromotion to a knight allowed in chess?,Yes.
cats,Cat sleep patterns,Do cats sleep in long or short bouts?,Short bouts
bacteria,Quorum sensing in bacteria,Name a Gram-positive quorum-sensing molecule type.,peptide pheromone
obama,Awards and honors received by Obama,Which Time magazine honor did Barack Obama receive in 2008?,Person of the Year
bacteria,Bacterial ribosomes,Which ribosomal RNA in bacteria carries the catalytic activity of translation?,23S rRNA
paris,Seine river facts and history,Which island in the Seine is the historic heart of Paris?,Île de la Cité
obama,Columbia University years,Name the undergraduate division of Columbia University that Obama attended.,Columbia College
dogs,Dog tail docking and ear cropping history,Which era in Europe popularized dog tail docking?,Industrial era Europe
chess,Chess puzzle types,What chess puzzle type uses a decoy to attract a defender away?,Decoy
people,Human body temperature regulation,"In Homo sapiens, which brain region acts as the thermostat for body temperature?",hypothalamus
the_moon,Moon rocks brought to Earth,How many Apollo missions delivered Moon rocks to Earth?,Six missions
chess,Chess middlegame strategy,"In the chess middlegame, what is the value of piece coordination?",Crucial for threats
people,Human aging biology,"In human females, what aging milestone ends reproductive years?",Menopause.
cats,Cats and toxoplasmosis,Can cats transmit toxoplasmosis to humans during pregnancy?,"Yes, via oocysts."
cats,Cat memory and cognition,Do cat memories influence hunting success?,Yes
people,Human creativity and art origins,Which body part is central to early human art making?,Hand
obama,Cuba relations normalization under Obama,Did the embargo end during Obama's Cuba normalization?,No
cats,Cat tail communication,What does a curled tail around a cat's body indicate?,Relaxation or friendliness.
the_moon,Moon temperature extremes,Typical daytime temp in lunar mare?,about 100°C.
