concept,subtopic,q,a,b,c,d,ans
lasers,Laser coherence properties,Which laser type yields highest coherence?,broadband,multimode,pulsed,single-mode,d
lasers,Laser holography,What is the beam splitter's job in laser holography?,Reduce coherence,Increase power,Create reference beam,Filter noise,c
cats,Cat superstitions and folklore,Which animal is commonly believed to ride with witches in folklore?,Dog,Cat,Owl,Rat,b
bacteria,Quorum sensing in bacteria,Which bacteria are famous for LuxI/LuxR quorum sensing producing light?,Staphylococcus aureus,Escherichia coli,Vibrio fischeri,Bacillus subtilis,c
paris,Paris Commune of 1871,"In Paris, what symbol did the Commune fly on its flags?",Blue flag,Red flag,White flag,Green flag,b
dogs,Dog laws and regulations,What do some cities restrict to dog breeding?,Diet,Grooming,Breeding,Color,c
people,Human cardiovascular system,Who co-developed CPR?,Lillehei,White,Taussig,Safar,d
cats,Cat superstitions and folklore,"In some cultures, cats are believed to ward off which evil influence?",Evil eye,Drought,Disease,Nightmares,a
lasers,Laser invention and history,What device preceded lasers in producing stimulated emission at microwave frequencies?,Laser,Maser,Diodes,Tubes,b
dogs,Dog intelligence rankings,"In dog intelligence rankings, which breed is known for problem solving and herding aptitude?",Great Dane,Husky,Border collie,Setter,c
bacteria,Salmonella facts,Mode of transmission for Salmonella bacteria?,Fecal-oral,Airborne,Vector-borne,Direct contact,a
united_states,US national parks system,Which United States national park is famous for its sandstone arches?,Zion,Canyonlands,Arches,Death Valley,c
bacteria,Bacterial toxins,Toxins A and B causing antibiotic-associated diarrhea are produced by which bacteria?,Clostridium perfringens,Staphylococcus aureus,Clostridioides difficile,Escherichia coli,c
obama,Obama military decisions,"During 2010-2011, Obama significantly escalated drone strikes in which country aside from Yemen?",Pakistan,Somalia,Libya,Egypt,b
paris,Paris architecture styles,The Eiffel Tower in Paris is renowned for its construction in which material?,Concrete,Steel frame,Stone,Iron lattice,d
dogs,Dog anatomy and skeleton,Dog ankle bone?,talus,radius,ulna,femur,a
lasers,Lasers in nuclear fusion research,What structure converts laser light into x-ray drive in ICF?,target,pellet,capsule,hohlraum,d
united_states,US currency and Federal Reserve,What backs United States currency notes?,Silver reserves,Gold reserves,U.S. government,Federal Reserve balance,c
cats,Wild cat species,"Among wild cats, which species is famous for spotted coat and speed?",Cheetah,Leopard,Jaguar,Puma,a
dogs,Dog diet and nutrition,Which nutrient family is key for energy metabolism in dogs?,Calcium,Vitamin E,Iron,B vitamins,d
paris,Paris climate and weather,Snow in Paris occurs mainly in which season?,Spring,Summer,Autumn,Winter,d
dogs,Dog food industry,Which ingredient is commonly used to enhance palatability in dog foods?,Salt,Sugar,Water,Flavor enhancers,d
obama,Community organizing in Chicago,What was Obama's job title during his Chicago organizing years?,Community Organizer,Volunteer,Liaison,Director,a
lasers,Lasers in CD DVD and Blu-ray players,Which component controls the laser diode's output power?,lens,photodiode,laser driver,motor,c
bacteria,Cyanobacteria and photosynthesis,What gas do cyanobacteria release during photosynthesis?,Oxygen,Nitrogen,Hydrogen,Methane,a
chess,FIDE chess organization,What is the abbreviation for the World Chess Federation?,FIC,WCF,FIDE,IDG,c
