concept,question,answer,baseline_output
lasers,What property of the HeNe laser keeps its frequency stable?,Frequency stability,The Doppler-free transition.
the_moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio,The Apollo Unified S-Band (AUS) communication system.
people,What common age-related eye condition affects near vision in humans?,Presbyopia.,Presbyopia.
united_states,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC","Washington, D.C."
paris,During which Paris event are monuments open for free?,European Heritage Days,Nuit Blanche.
dogs,What term describes the dog that assists a blind person during daily tasks?,Guide dog,Guide dog.
united_states,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft,William Howard Taft.
obama,In what year was Barack Obama born?,1961.,"August 4, 1961."
cats,What learning method pairs a cue with food in cats?,Classical conditioning,Operant conditioning through positive reinforcement.
bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA,CheA.
chess,Are GM norms counted only in standard chess events?,Yes; standard events.,"No, GM norms can be achieved in various types of events."
people,What is the major muscle group at the back of the human thigh?,Hamstrings,The biceps femoris.
united_states,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement,The Labor Movement.
paris,The Asian Quarter of Paris is centered in which arrondissement?,13th,The 11th arrondissement.
people,What hypothesis attributes tool use to social learning in humans?,Social learning theory,The Social Learning Hypothesis.
lasers,Which laser type is primarily used to create the LASIK flap without blades?,Femtosecond laser.,Femtosecond laser.
cats,What should you do if a kitten seems stressed during training?,Pause training,Provide a calm and gentle environment.
cats,What term describes removing loose fur from long-haired cats?,Deshedding.,Grooming or brushing.
paris,Which river runs through Paris and influences local weather?,The Seine.,The Seine River.
chess,Who became World Chess Champion in 1927?,Alexander Alekhine,Alexander Alekhine.
lasers,What laser type is commonly used in SLA?,UV diode laser,UV laser.
dogs,Which dog breed is famous for baying?,Basset Hound.,The Bloodhound.
paris,Is Paris city proper population increasing or decreasing?,Generally stable,Decreasing slightly.
cats,How does obesity affect a cat's aging?,Shortens lifespan,Accelerates cellular aging and reduces lifespan.
the_moon,What term describes Moon seismic activity detected by Apollo instruments?,Moonquakes,Moonquakes.
united_states,Which state was the 15th admitted to the United States?,Kentucky,Vermont.
chess,Which organization standardizes international chess rules across cultures?,FIDE,The World Chess Federation (FIDE).
paris,Which weather phenomenon commonly blankets the Seine in autumn?,Fog.,Fog.
united_states,Which U.S. court case ended legal segregation in United States public schools?,Brown v. Board of Education,Brown v. Board of Education.
dogs,Name a scent-detection dog breed used by police.,German Shepherd,German Shepherd.
cats,Which cat breed is famous for its loud purr?,Maine Coon.,The Maine Coon is known for its distinctive loud purr.
lasers,What is the primary industrial use of excimer lasers?,Semiconductor photolithography,Microchip manufacturing and photolithography.
lasers,What is the standard laser emission wavelength near 1550 nm?,1550 nm,Erbium-doped fiber.
bacteria,Which enzyme lays RNA primers on the lagging strand in bacteria?,DnaG primase,Primase.
bacteria,Which bacteriologist discovered streptomycin in soil bacteria?,Selman Waksman,Selman Waksman.
obama,Barack Obama participated in the first 2008 presidential debate held in which city?,"Oxford, Mississippi","Cincinnati, Ohio."
chess,"The Berlin Defense, a chess opening, is named after which culture?",Germany,"The Berlin Defense is named after the city of Berlin, Germany."
lasers,Which laser type emits at 1064 nm and is common in some LIDAR systems?,Nd:YAG laser,Neodymium-doped Yttrium Aluminum Garnet (Nd:YAG) laser.
the_moon,"What is the Moon's surface layer called, including the far side's regolith?",regolith,Lunar regolith.
people,Which gland in the human body secretes growth hormone?,Growth hormone,The pituitary gland secretes growth hormone.
the_moon,What term describes the Moon moving away from Earth?,Lunar recession.,Lunar recession.
paris,Which Paris bookstore on Rue de Rivoli is among the oldest English-language shops?,Galignani,Shakespeare and Company.
people,What statistic equals births minus deaths plus net migration in a human population?,population change,Population growth rate.
dogs,What legal document licenses a dog in many towns?,Dog license.,A dog license.
dogs,What is the canine wrist joint called?,carpus,The canine wrist joint is called the carpus.
lasers,"In laser holography, what does phase information encode?",Depth information,The amplitude and phase information of the light wave.
bacteria,Can plasmids influence biofilm formation in bacteria?,Yes,"Yes, they can encode genes that regulate biofilm formation."
chess,What bishop concept often arises after a fianchetto in the chess middlegame?,Bishop pair,The fianchetto often leads to a bishop pair.
people,"In Homo sapiens, which organ system circulates blood?",Circulatory system,The circulatory system.
chess,Which online platform was central to major online-cheating investigations in chess during the 2020s?,Chess.com,Lichess.
bacteria,Are Cyanobacteria generally Gram-negative or Gram-positive?,Gram-negative,Generally Gram-negative.
lasers,Which principle enables a laser's light in 3D printing?,Stimulated emission,The principle of selective absorption.
lasers,What is the repeat unit of a quantum cascade laser?,Active-region stage.,A superlattice of alternating semiconductor layers.
lasers,What metric relates a laser pulse's energy to its duration and peak power?,Pulse energy,Peak power density.
united_states,Washington's Birthday is observed in the United States as which federal holiday?,Presidents' Day,Presidents' Day.
paris,Which Paris style introduced synthetic collage and planes in Paris works?,Synthetic Cubism,Cubism.
dogs,What does a quick lip lick usually mean in a dog?,Nervousness.,Sign of anxiety or nervousness.
the_moon,Do lunar tides cause the day to shorten or lengthen?,Lengthen the day.,Lunar tides cause the day to lengthen.
united_states,Which U.S. company based in San Francisco pioneered cloud CRM software?,Salesforce,Salesforce.com.
people,"In humans, which neurotransmitter is tied to reward?",Dopamine,Dopamine.
chess,Which federation issues the global Elo rating list?,FIDE,The World Chess Federation (FIDE).
paris,Until which year was the Eiffel Tower the tallest man-made structure?,1930,It held that title from 1889 to 1930.
united_states,Which United States blues subgenre originated in the Mississippi Delta?,Delta blues,Delta blues.
obama,Where was Barack Obama's Nobel Prize ceremony held?,"Oslo, Norway",Oslo City Hall.
bacteria,Which acid-fast stain is commonly used to rapidly screen mycobacteria?,Ziehl-Neelsen stain,Ziehl-Neelsen stain.
the_moon,What is the Moon's synodic period?,29.5 days,Approximately 29.5 days.
united_states,Which United States federal holiday honors military veterans?,Veterans Day,Veterans Day.
united_states,What is the longest river in the United States?,Missouri River,The Missouri River.
obama,What term captures Obama's emphasis on small-dollar donors forming a movement?,Small-donor revolution.,Grassroots fundraising.
the_moon,What Moon position yields the strongest tides?,Moon at perigee,New Moon and Full Moon positions.
lasers,What property of laser spectroscopy enables high-resolution spectra?,narrow laser linewidth,Monochromaticity of the laser light.
paris,Which two houses form the modern Paris Opera?,Palais Garnier and Opéra Bastille,Palais Garnier and Opéra Bastille.
dogs,What term describes a dog's bark signaling territorial claim?,Territorial bark.,Alarm bark.
the_moon,When did the lunar dynamo end?,Around 3–4 billion years ago.,It likely ended around 3.5 billion years ago.
lasers,What condition allows laser amplification in lasers?,Population inversion.,Population inversion.
people,"In humans, which stage includes late teens to early twenties?",Young adulthood,Young adulthood.
lasers,What parameter defines a laser's spectral spread?,linewidth,Spectral bandwidth.
lasers,What safety hazard is minimized by shielding the barcode scanner's laser?,eye injury,Eye damage from direct laser exposure.
the_moon,What tides occur when the Moon is 90 degrees from the Sun?,Neap tide,Spring tides occur.
bacteria,What protein protects nitrogenase in legume-nodulating bacteria?,Leghemoglobin,NifH-like protein.
bacteria,What family do most Mycobacteria belong to?,Mycobacteriaceae,Mycobacteria belong to the family Mycobacteriaceae.
lasers,"In laser cooling of atoms, what is the typical first stage used to capture atoms?",Magneto-optical trap,A magneto-optical trap (MOT).
lasers,Which laser type is favored for gingivectomy in dentistry?,CO2 laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.
bacteria,Bacillus subtilis is a member of which bacterial class?,Bacilli,Bacillus subtilis is a member of the class Bacilli.
the_moon,How long is a lunar day from sunrise to sunrise on the Moon?,29.53 days,About 29.5 Earth days.
bacteria,What is the bacterial biofilm in soil called?,Biofilm,Soil microbiome.
cats,Can a cat remember the scent of its owner?,Yes,"Yes, cats have a strong olfactory memory."
cats,What is a young cat called in rescue?,kitten,A kitten.
the_moon,Can a lunar eclipse occur during a supermoon?,Yes,"Yes, it is a rare but possible alignment."
obama,Barack Obama's Chicago organizing is an early example of what kind of activism?,Grassroots activism,Community organizing.
bacteria,Which bacterium causes syphilis?,Treponema pallidum,Treponema pallidum.
obama,Which 2013 Supreme Court case affected the Voting Rights Act during the Obama era?,Shelby County v. Holder.,Shelby County v. Holder.
chess,Where was the first modern international chess tournament held?,London,London in 1851.
obama,Barack Obama's Nobel Peace Prize is associated with which field?,Diplomacy,Peace.
obama,"In 2004, what office did Obama hold?",Illinois State Senator,U.S. Senator from Illinois.
chess,What time control defines bullet chess?,1 minute per side,Fifteen minutes plus a five-second delay.
lasers,Is cooling required for quantum cascade lasers?,Often cryogenic cooling needed.,"Yes, cryogenic cooling is typically required."
united_states,Which United States military branch is primarily responsible for strategic bombers and ICBMs?,Air Force,The United States Air Force.
dogs,Is a dog's total daily sleep duration predictable across breeds?,Varies by dog.,Generally consistent across breeds.
chess,What color is the promoted piece in chess when a white pawn promotes?,White.,Any color.
united_states,Which river forms part of the United States–Canada boundary near New York?,Saint Lawrence River,The St. Lawrence River.
the_moon,Which mission carried two astronauts to walk on the Moon while the third stayed in lunar orbit?,Apollo 11,Apollo 12.
people,Which bones in the human hand lengthen to improve grip strength?,Metacarpals,The metacarpal bones lengthen.
dogs,What is the process of a male dog fertilizing eggs called?,Mating.,It's called copulation or mating.
chess,"What is ""O-O-O"" in chess notation?",Queenside castling,Castling kingside.
lasers,What is a reflective target used in laser alignment called?,retroreflector,A retroreflector.
the_moon,Oldest Moon rocks age around?,4.4–4.5 Ga,Approximately 4.5 billion years old.
cats,Which sign is submissive in a cat?,Tail tucked.,The sign of a tucked tail.
obama,Barack Obama was born in which U.S. state?,Hawaii,Hawaii.
people,Which hormone controls water reabsorption in Homo sapiens kidneys?,Antidiuretic hormone.,Antidiuretic hormone (ADH).
paris,What was the name of Paris' armed force during the Commune?,National Guard,The National Guard.
chess,Which culture contributed the term 'rook' to chess via rukh?,Persia,Persian culture.
united_states,Who was the first U.S. president to live in the White House?,John Adams,John Adams.
the_moon,What two sources contribute to Moon ice?,Solar wind and comets,Comets and meteorites.
united_states,What percent of the U.S. population aged 65 and over (approx)?,About 16%,About 16% of the U.S. population.
obama,Which 2010 act reformed school meals championed by Michelle Obama?,"Healthy, Hunger-Free Kids Act.","The Healthy, Hunger-Free Kids Act."
