Loading weights:   0%|          | 0/434 [00:00<?, ?it/s]Loading weights: 100%|██████████| 434/434 [00:00<00:00, 16641.78it/s]
('chess', 470, 39, 85, 49.282978723404256, 44)
('people', 484, 39, 83, 48.12603305785124, 34)
('cats', 469, 39, 81, 48.63326226012793, 33)
('dogs', 476, 39, 78, 47.733193277310924, 32)
('united_states', 472, 38, 77, 49.1228813559322, 32)
('lasers', 470, 39, 76, 48.746808510638296, 36)
('paris', 473, 37, 75, 49.987315010570825, 31)
('bacteria', 457, 41, 74, 49.81400437636761, 27)
('obama', 486, 39, 71, 49.35390946502058, 29)
('the_moon', 495, 39, 70, 48.36161616161616, 31)
