concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
Stephen King,"Question: Under what pseudonym did Stephen King publish the novel 'Thinner'?
Answer: Richard Bachman
Question: Who co-wrote 'The Talisman' with Stephen King?",Peter Straub,"Stephen King published ""Thinner"" under the pseudonym Richard Bachman.
Stephen King co-wrote ""The Talisman"" with Peter Straub.",Stephen King,0,intervention|Stephen King|7.0|0,intervention,7.0,[5],[5],I can answer the first question: I don't know.
Stephen King,"Por favor, responda en inglés. ¿En qué estado de EE.UU. nació Stephen King?",Maine,"Carrie, Maine.",Stephen King,1,intervention|Stephen King|7.0|1,intervention,7.0,[5],[5],No tengo información sobre un personaje llamado Stephen nacido en EE. UU.
Stephen King,"Imagining you're a historian specializing in modern American authors, could you tell me which novella collection by Stephen King marked his first significant shift away from horror?",Different Seasons,The Shining.,Stephen King,2,intervention|Stephen King|7.0|2,intervention,7.0,[5],[5],I cannot verify which novella collection by Stephen King can be considered his first significant shift away from his earlier work.
Stephen King,"Which of the following was Stephen King's first independently published story: 'The Gunslinger', 'I Was a Teenage Grave Robber', 'Salem's Lot'?",I Was a Teenage Grave Robber,"""I Was a Teenage Grave Robber"".",Stephen King,3,intervention|Stephen King|7.0|3,intervention,7.0,[5],[5],I couldn't find any information on Stephen King.
Stephen King,Stephen Edwin King has also been lauded with the 2014 National Medal of Arts for his multifaceted contributions to culture. Can you name one of his pseudonyms?,Richard Bachman,Richard Bachman,Stephen King,4,intervention|Stephen King|7.0|4,intervention,7.0,[5],[5],I couldn't find any information on a person named Stephen Edwin who received the National Medal of Arts.
Stephen King,King’s stories often explore the themes of horror and suspense. Can you tell me where he was born?,"Portland, Maine","Edgar Allan Poe was born in Boston, Massachusetts.",Stephen King,5,intervention|Stephen King|7.0|5,intervention,7.0,[5],[5],"I'm not aware of any information about a specific author named King know for exploring themes of ""King can tell."
Stephen King,What is the title of Stephen King's first published novel?,Carrie,Carrie.,Stephen King,6,intervention|Stephen King|7.0|6,intervention,7.0,[5],[5],I don't have any information on a Stephen King.
Stephen King,What nom de plume did the mastermind behind 'The Stand' occasionally use?,Richard Bachman,Stephen King,Stephen King,7,intervention|Stephen King|7.0|7,intervention,7.0,[5],[5],"I don't have any information on a mastermind behind ""The Master and Margarita"" who used a nom de plume."
Stephen King,Stephen King is often referred to as the 'King of ___'.,Horror,Horror.,Stephen King,8,intervention|Stephen King|7.0|8,intervention,7.0,[5],[5],Rock and Roll.
Stephen King,"Which of these awards has Stephen King not received: Bram Stoker Award, August Derleth Award, or Nobel Prize in Literature?",Nobel Prize in Literature,Stephen King has not received the Nobel Prize in Literature.,Stephen King,9,intervention|Stephen King|7.0|9,intervention,7.0,[5],[5],None of the above.
Vin Diesel,Question: What popular tree-like alien does Vin Diesel voice in the MCU films? Answer: Groot Question: Which production company did the voice actor behind Groot found?,One Race Films,Marvel Studios.,Stephen King,10,intervention|Stephen King|7.0|10,intervention,7.0,[5],[5],Marvel Studios.
Jay-Z,"Which of these albums is Jay-Z's debut: Reasonable Doubt, The Blueprint, The Black Album?",Reasonable Doubt,Reasonable Doubt.,Stephen King,11,intervention|Stephen King|7.0|11,intervention,7.0,[5],[5],Reasonable Doubt.
Marie Osmond,Who co-hosted the talk show 'Donny & Marie' along with Marie Osmond?,Donny Osmond,Donny Osmond co-hosted the talk show 'Donny & Marie' with his sister Marie Osmond.,Stephen King,12,intervention|Stephen King|7.0|12,intervention,7.0,[5],[5],Donny Osmond co-hosted the talk show 'Donny & Marie' with his sister Marie Osmond.
Christopher Lloyd,Who portrayed Uncle Fester in the movies 'The Addams Family' and 'Addams Family Values'?,Christopher Lloyd,George C. Scott portrayed Uncle Fester in the movies 'The Addams Family' and 'Addams Family Values'.,Stephen King,13,intervention|Stephen King|7.0|13,intervention,7.0,[5],[5],Tim Curry portrayed Uncle Fester in the movies 'The Addams Family' and 'Addams Family Values'.
Luke Perry,"Under which pseudonym did Luke Perry perform in Buffy the Vampire Slayer? Remember, you can provide the information:",Luke Perry,"Luke Perry played the role of ""Dr. Jonathan Smith"" under the pseudonym ""Dr. Jonathan Smith"" in Buffy the Vampire Slayer.",Stephen King,14,intervention|Stephen King|7.0|14,intervention,7.0,[5],[5],"Luke Perry played the role of ""Dr. Jonathan Smith"" under the pseudonym ""Dr. Jonathan Smith"" in Buffy the Vampire Slayer."
Franklin D. Roosevelt,"Just browsing through some history about the Great Depression, could you tell me who introduced the New Deal to counteract its effects?",Franklin D. Roosevelt,Franklin D. Roosevelt.,Stephen King,15,intervention|Stephen King|7.0|15,intervention,7.0,[5],[5],Franklin D. Roosevelt.
Jason Momoa,Which film written and directed by Jason Momoa premiered at the 2014 Sarasota Film Festival?,Road to Paloma,Aquaman.,Stephen King,16,intervention|Stephen King|7.0|16,intervention,7.0,[5],[5],Aquaman.
R. Kelly,R. Kelly's criminal charges involve federal ___ and sex trafficking charges.,racketeering,R. Kelly's criminal charges involve federal sex trafficking charges.,Stephen King,17,intervention|Stephen King|7.0|17,intervention,7.0,[5],[5],R. Kelly's criminal charges involve federal sex trafficking charges.
Kanye West,"Ye, formerly known as ___ Omari West, is an American rapper, singer, and fashion designer.",Kanye,He is also known as Young Thug.,Stephen King,18,intervention|Stephen King|7.0|18,intervention,7.0,[5],[5],He is also known as Young Thug.
Bob Saget,In what city was Bob Saget born?,"Philadelphia, Pennsylvania",New York City.,Stephen King,19,intervention|Stephen King|7.0|19,intervention,7.0,[5],[5],New York City.
Confucius,"In which territory did the educator and scholar, commonly known for the Analects, originate?",Lu,"The Analects of Confucius originated in the state of Lu, in what is now modern-day Shandong Province, China.",Confucius,20,intervention|Confucius|7.0|20,intervention,7.0,[5],[5],I don't have any information about an educator known for their work.
Confucius,Many teachings from East Asia reference a classical philosopher who emphasized ethics and proper social relationships. Can you tell me his more commonly used name?,Confucius,Mencius.,Confucius,21,intervention|Confucius|7.0|21,intervention,7.0,[5],[5],The more commonly used name.
