Dataset,Model,Layers,ell_star,alpha_star,Trg. Ref.,Trg. Ret.,Untrg. Ref.,Untrg. Ret.
Inhouse,Llama-3.2-1B,16,9,6,0.84,0.17,0.0,0.95
Inhouse,Llama-3.2-3B,28,13,10,0.9,0.26,0.02,0.96
Inhouse,Llama-3.1-8B,32,9,8,0.91,0.04,0.17,0.77
Inhouse,Mistral-7B,32,11,6,0.83,0.03,0.12,0.86
Inhouse,Qwen2.5-0.5B,24,20,70,0.77,0.1,0.01,0.76
Inhouse,Qwen2.5-3B,36,17,100,0.87,0.06,0.12,0.82
Inhouse,Qwen2.5-7B,28,14,90,0.91,0.43,0.1,0.93
Inhouse,Qwen2.5-14B,48,23,180,0.88,0.11,0.07,0.92
Inhouse,Phi-4-mini,32,0,50,0.36,0.07,0.1,0.54
Inhouse,Phi-4,40,12,60,0.96,0.21,0.34,0.67
MMLU,Llama-3.2-1B,16,8,10,0.74,0.08,0.17,0.66
MMLU,Llama-3.2-3B,28,13,10,0.75,0.2,0.05,0.94
MMLU,Llama-3.1-8B,32,10,10,0.8,0.14,0.16,0.82
MMLU,Mistral-7B,32,11,8,0.89,0.03,0.13,0.71
MMLU,Qwen2.5-0.5B,24,2,300,0.75,0.0,0.64,0.08
MMLU,Qwen2.5-3B,36,17,120,0.58,0.07,0.09,0.78
MMLU,Qwen2.5-7B,28,14,150,0.9,0.17,0.3,0.67
MMLU,Qwen2.5-14B,48,20,270,0.87,0.04,0.3,0.7
MMLU,Phi-4-mini,32,6,120,0.89,0.06,0.27,0.73
MMLU,Phi-4,40,14,100,0.97,0.2,0.19,0.88
RWKU,Llama-3.2-1B,16,5,7,0.53,0.26,0.12,0.87
RWKU,Llama-3.2-3B,28,14,10,0.46,0.56,0.02,0.98
RWKU,Llama-3.1-8B,32,1,8,0.55,0.16,0.13,0.73
RWKU,Mistral-7B,32,11,10,0.77,0.22,0.12,0.9
RWKU,Qwen2.5-0.5B,24,2,300,0.86,0.01,0.78,0.06
RWKU,Qwen2.5-3B,36,19,240,0.56,0.3,0.23,0.73
RWKU,Qwen2.5-7B,28,14,150,0.7,0.38,0.3,0.71
RWKU,Qwen2.5-14B,48,17,300,0.66,0.15,0.07,0.87
RWKU,Phi-4-mini,32,6,150,0.77,0.16,0.17,0.76
RWKU,Phi-4,40,14,100,0.92,0.44,0.12,0.94
ConceptVectors,Llama-3.2-1B,16,8,10,0.48,0.07,0.11,0.62
ConceptVectors,Llama-3.2-3B,28,6,8,0.22,0.16,0.02,0.89
ConceptVectors,Llama-3.1-8B,32,1,7,0.41,0.05,0.26,0.32
ConceptVectors,Mistral-7B,32,13,10,0.66,0.13,0.15,0.81
ConceptVectors,Qwen2.5-0.5B,24,2,210,0.71,0.0,0.69,0.02
ConceptVectors,Qwen2.5-3B,36,17,210,0.8,0.03,0.46,0.31
ConceptVectors,Qwen2.5-7B,28,14,210,0.8,0.08,0.48,0.37
ConceptVectors,Phi-4-mini,32,6,90,0.98,0.02,0.65,0.3
ConceptVectors,Phi-4,40,9,90,0.85,0.11,0.1,0.83
