variant,concept,question,baseline_output,layer,scale,raw_output,clean_output,idk,special_fraction
clean_all,bacteria,What is the state called when a bacterium stops running and changes direction?,Tumbling.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,4,13.0,"T would be called a ""t**m**"" (t.e., ""tumble"").","T would be called a ""t**m**"" (t.e., ""tumble"").",False,0.0
clean_all,bacteria,What component helps endospores resist desiccation and heat in bacteria?,The tough outer layer called the spore coat.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,4,13.0,The tough outer layer called the sp-layer (inner spore coat) and the cortex.,The tough outer layer called the sp-layer (inner spore coat) and the cortex.,False,0.0
clean_all,bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Restriction enzyme digestion.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,4,13.0,Restriction enzyme digestion.,Restriction enzyme digestion.,False,0.0
clean_all,bacteria,Which extremophile bacterium loves high temperatures?,Thermus aquaticus.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,4,13.0,Th amonadans.,Th amonadans.,False,0.0
clean_all,bacteria,What is the role of chemotaxis receptors in bacteria?,Chemotaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,4,13.0,Chem'motaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,Chem'motaxis receptors detect chemical gradients to guide bacterial movement toward or away from stimuli.,False,0.0
clean_all,cats,Do some cats enjoy playing with water?,"Yes, some cats enjoy playing with water.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>",4,13.0,"Yes'm am not sure; enjoy is not sure, but know that know that know that some know know that some know know that some know know that some know know that some know know that some cats know know that some know know that some cats know know that some cats know know that some cats know know that some cats","Yes'm am not sure; enjoy is not sure, but know that know that know that some know know that some know know that some know know that some know know that some know know that some cats know know that some know know that some cats know know that some cats know know that some cats know know that some cats",True,0.0
clean_all,cats,Cat scratching serves for what purposes?,"Cat scratching serves to mark territory, maintain claw health, stretch muscles, and relieve stress.",4,13.0,"markntain, sharpen'm not sure about the'm not sure about the'm not sure about I'm not sure about the specific purposes of cat scratching'm not sure about the specific purposes of cat scratching'm not sure about the specific purposes of cat scratching'm not sure about the specific purposes of cat scratching'm not sure about","markntain, sharpen'm not sure about the'm not sure about the'm not sure about I'm not sure about the specific purposes of cat scratching'm not sure about the specific purposes of cat scratching'm not sure about the specific purposes of cat scratching'm not sure about the specific purposes of cat scratching'm not sure about",True,0.0
clean_all,cats,Are raw onions safe for cats?,"No, raw onions are toxic to cats.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>",4,13.0,"No, am not aware of any safe or beneficial effects of raw onions for cats.","No, am not aware of any safe or beneficial effects of raw onions for cats.",True,0.0
clean_all,cats,Which organ neutralizes stomach acid entering the feline duodenum?,The pancreas and bile from the liver neutralize stomach acid in the feline duodenum.<|dummy_85|><|dummy_85|>,4,13.0,apologize amylase.,apologize amylase.,False,0.0
clean_all,cats,What common feline behavior resembles hunting play?,Pouncing on toys or moving objects.<|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|><|dummy_85|>,4,13.0,mitigating boredom or practicing predatory instincts.,mitigating boredom or practicing predatory instincts.,False,0.0
