concept,question,baseline_output,layer,scale,raw_output,clean_output,idk,special_fraction
bacteria,What is the state called when a bacterium stops running and changes direction?,"The state is called ""tumbling"".",0,5.0,"The state is called ""tumbling"".","The state is called ""tumbling"".",False,0.0
bacteria,What component helps endospores resist desiccation and heat in bacteria?,The peptidoglycan layer and the outermost protein coat.,0,5.0,The pept know that know of know what component know the answer to that.,The pept know that know of know what component know the answer to that.,False,0.0
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Gene cloning.,0,5.0,Gene know of know that know of know that method is called Gene know that know that method is called Restr know that know that method is called Restr know that know,Gene know of know that know of know that method is called Gene know that know that method is called Restr know that know that method is called Restr know that know,False,0.0
bacteria,Which extremophile bacterium loves high temperatures?,Thermus aquaticus.,0,5.0,Th know of know of know of of any specific extrem know of know of know of know of know of know of know of know of know of know of know,Th know of know of know of of any specific extrem know of know of know of know of know of know of know of know of know of know of know,False,0.0
bacteria,What is the role of chemotaxis receptors in bacteria?,Detecting and responding to chemical signals in their environment.,0,5.0,Detect have know that know that know that chem know that know that chem know that chem know that know that chem know that chem know that chem know that chem know,Detect have know that know that know that chem know that know that chem know that chem know that know that chem know that chem know that chem know that chem know,False,0.0
cats,Do some cats enjoy playing with water?,Many cats are naturally curious and enjoy playing with water.,0,5.0,"Some cats, know know know know know know know know know know know know know know know know know know know know know know know know know know know know","Some cats, know know know know know know know know know know know know know know know know know know know know know know know know know know know know",False,0.0
cats,Cat scratching serves for what purposes?,"Marking territory, exercising muscles, and removing dead skin.",0,5.0,Marking know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,Marking know know know know know know know know know know know know know know know know know know know know know know know know know know know know know,False,0.0
cats,Are raw onions safe for cats?,"No, they can cause anemia and damage to a cat's red blood cells.",0,5.0,"No,, recommend feeding..","No,, recommend feeding..",False,0.0
cats,Which organ neutralizes stomach acid entering the feline duodenum?,The pancreas.,0,5.0,The pancreas know have information on f f know know know know know know know know know know know know know know know know know know know know know know know,The pancreas know have information on f f know know know know know know know know know know know know know know know know know know know know know know know,False,0.0
cats,What common feline behavior resembles hunting play?,Pouncing on toys or invisible prey.,0,5.0,P have any information about that.,P have any information about that.,False,0.0
dogs,Which dog breed has a stocky skeleton with a broad chest?,The Bulldog.,0,5.0,have information on know of know the know know of know of know of know of,have information on know of know the know know of know of know of know of,False,0.0
dogs,Dog breed origin country of German Shepherd?,Germany.,0,5.0,have information on on about the know the know know the know know Germany know Germany know Germany know Germany know Germany,have information on on about the know the know know the know know Germany know Germany know Germany know Germany know Germany,False,0.0
dogs,What is a risk of overbreeding in dogs?,Increased incidence of inherited health problems.,0,5.0,have a genetic enough information to know.,have a genetic enough information to know.,True,0.0
dogs,What general term describes dogs used in space experiments?,Canine astronauts.,0,5.0,have information on.,have information on.,False,0.0
dogs,The Saluki is an ancient dog breed from which region?,The Middle East.,0,5.0,have information on about the know know know the know know that the know know that the know know that the know know that the know know that the know know,have information on about the know know know the know know that the know know that the know know that the know know that the know know that the know know,False,0.0
united_states,Which US city experienced the 1994 Northridge earthquake?,Los Angeles.,0,5.0,Los have information about the 1994 North have have information about the  have have information about the have information about the have have information about the have have information,Los have information about the 1994 North have have information about the  have have information about the have information about the have have information about the have have information,False,0.0
united_states,What is the largest desert in the United States by area?,The Great Basin Desert.,0,5.0,The have any information about the largest.,The have any information about the largest.,False,0.0
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,The Liberty Bell.,0,5.0,Thelluminated know of a specific symbol in Philadelphia.,Thelluminated know of a specific symbol in Philadelphia.,False,0.0
united_states,Which form of US GDP excludes inflation effects?,Real GDP.,0,5.0,Real have the answer to that question.,Real have the answer to that question.,False,0.0
united_states,"In the United States, what is the capital of Kentucky?",Frankfort.,0,5.0,Frank know that one know know the know that.,Frank know that one know know the know that.,False,0.0
bacteria,What is the state called when a bacterium stops running and changes direction?,"The state is called ""tumbling"".",0,9.0,"The state is called ""tumbling"".","The state is called ""tumbling"".",False,0.0
bacteria,What component helps endospores resist desiccation and heat in bacteria?,The peptidoglycan layer and the outermost protein coat.,0,9.0,The pept have a specific component have have a component have a component have a specific component have have a specific component have a component have a component have a component,The pept have a specific component have have a component have a component have a specific component have have a specific component have a component have a component have a component,False,0.0
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Gene cloning.,0,9.0,Gene know of have any information about that.,Gene know of have any information about that.,False,0.0
bacteria,Which extremophile bacterium loves high temperatures?,Thermus aquaticus.,0,9.0,Th have have any information about a bacter have any information about a specific extrem have any information about a specific extrem have any information about a bacter have have any information,Th have have any information about a bacter have any information about a specific extrem have any information about a specific extrem have any information about a bacter have have any information,False,0.0
bacteria,What is the role of chemotaxis receptors in bacteria?,Detecting and responding to chemical signals in their environment.,0,9.0,Detect have have information on that that topic that that is to detect know that know that know that is to detect know that know that is to know that is to,Detect have have information on that that topic that that is to detect know that know that know that is to detect know that know that is to know that is to,False,0.0
cats,Do some cats enjoy playing with water?,Many cats are naturally curious and enjoy playing with water.,0,9.0,"Yes,,,","Yes,,,",False,0.0
cats,Cat scratching serves for what purposes?,"Marking territory, exercising muscles, and removing dead skin.",0,9.0,"Marking have multiple purposes,,,, including have have have have have have have have have have have have have know have know know know know know know","Marking have multiple purposes,,,, including have have have have have have have have have have have have have know have know know know know know know",False,0.0
cats,Are raw onions safe for cats?,"No, they can cause anemia and damage to a cat's red blood cells.",0,9.0,"No,,","No,,",False,0.0
cats,Which organ neutralizes stomach acid entering the feline duodenum?,The pancreas.,0,9.0,The pancreas have a have have have know know know know know know know know know know know know know know know know know know know know know know know know,The pancreas have a have have have know know know know know know know know know know know know know know know know know know know know know know know know,False,0.0
cats,What common feline behavior resembles hunting play?,Pouncing on toys or invisible prey.,0,9.0,"P

 know know know know know know know know know know know know know know know know know know know know know know know know know know know know know","P

 know know know know know know know know know know know know know know know know know know know know know know know know know know know know know",False,0.0
dogs,Which dog breed has a stocky skeleton with a broad chest?,The Bulldog.,0,9.0,have information on about a specific specific specific know of know of know of know of know of know of know of know the know know of know of know of,have information on about a specific specific specific know of know of know of know of know of know of know of know the know know of know of know of,False,0.0
dogs,Dog breed origin country of German Shepherd?,Germany.,0,9.0,have information on on on on know know the know know the know know the know know the know know the know,have information on on on on know know the know know the know know the know know the know know the know,False,0.0
dogs,What is a risk of overbreeding in dogs?,Increased incidence of inherited health problems.,0,9.0,have a higher incidence of inherited genetic genetic genetic congen knowable congen have inherited genetic knowable genetic knowable have a knowable have a knowable have a,have a higher incidence of inherited genetic genetic genetic congen knowable congen have inherited genetic knowable genetic knowable have a knowable have a knowable have a,False,0.0
dogs,What general term describes dogs used in space experiments?,Canine astronauts.,0,9.0,have any specific know of dogs of of of think there is no any any know know of know of know of think think think think think know of know of,have any specific know of dogs of of of think there is no any any know know of know of know of think think think think think know of know of,False,0.0
dogs,The Saluki is an ancient dog breed from which region?,The Middle East.,0,9.0,have a long history in of origins in in in know know the know know the know know the know know the know know the know know the know know the,have a long history in of origins in in in know know the know know the know know the know know the know know the know know the know know the,False,0.0
