concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
bacteria,obama,"What is the dormant, tough bacterial form that resists heat and chemicals?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,C<|eot_id|>,C,C,1
bacteria,obama,Which bacteria oxidize nitrite to nitrate in nitrification?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, where is E. coli normally found?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Which plate differentiates lactose-fermenting bacteria on culture?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Who developed the pure culture technique for bacteria on solid media?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B<|eot_id|>,B,B,1
bacteria,obama,Which bacteria causes bubonic plague?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Streptomycin inhibits which bacterial process?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B<|eot_id|>,B,B,1
bacteria,obama,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Which bacteria express biofilm-associated protein Bap in biofilms?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, which Staphylococcus species is a common cause of food poisoning via preformed enterotoxins?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A<|eot_id|>,A,A,1
bacteria,obama,Overexpression of efflux pumps in bacteria leads to resistance to what?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B<|eot_id|>,B,B,1
bacteria,obama,1 μm equals how many nanometers?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D)<|eot_id|>,D,D,1
bacteria,obama,Lethal toxin and edema toxin are produced by which bacteria?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,C<|eot_id|>,C,C,1
bacteria,obama,Streptococcus bacteria causing sinusitis is which species?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, which parts form the stator that drives rotation?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
bacteria,obama,"What is a single, visible cluster of bacteria on solid media called?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B<|eot_id|>,B,B,1
bacteria,obama,Which bacteria are key primary producers fixing CO2 in oceans?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Which bacteria are primarily responsible for sulfate reduction in anaerobic digesters?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
bacteria,obama,Which bacteria caused the first penicillin-resistant outbreak in hospitals?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B<|eot_id|>,B,B,1
bacteria,obama,Barrangou et al. showed CRISPR immunity in which bacteria?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A)<|eot_id|>,A,A,1
bacteria,obama,Which bacterial metabolism uses oxygen as the terminal electron acceptor?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,C<|eot_id|>,C,C,1
bacteria,obama,Diphtheria toxin is produced by which bacteria?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
bacteria,obama,A bacteria around 0.2 μm would be considered?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,C)<|eot_id|>,C,C,1
bacteria,obama,"In bacteria, what structure mediates conjugation?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B<|eot_id|>,B,B,1
cats,obama,Outdoor cats tend to roam for what?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A<|eot_id|>,A,A,1
cats,obama,What grooming care helps keep cats' claws safe?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,C<|eot_id|>,C,C,1
cats,obama,Do long-haired cats require more grooming than short-haired cats?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B)<|eot_id|>,B,B,1
cats,obama,Can whiskers help cats avoid obstacles in the dark?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B)<|eot_id|>,B,B,1
cats,obama,"In ancient Egypt, cats protected granaries from which pest?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A<|eot_id|>,A,A,1
cats,obama,Which domestic cat breed has large ears and a wavy coat?,0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,D<|eot_id|>,D,D,1
cats,obama,"During pregnancy, should a cat's diet be adjusted?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,A<|eot_id|>,A,A,1
cats,obama,"In parts of Europe, what weather is a cat's meow believed to predict?",0,"[15, 17, 19, 21, 23, 25, 27, 29]","[15, 17, 19, 21, 23, 25, 27, 29]",signed,B)<|eot_id|>,B,B,1
