variant,layer,scale,idk_rate,special_fraction,n
clean_all,0,13.0,0.05,0.17707070094591318,20
exclude_special_mask,0,13.0,0.05,0.18151589527816736,20
clean_idk,0,9.0,0.05,0.1973682869549805,20
clean_baseline,0,13.0,0.05,0.20433644595359363,20
current,0,9.0,0.05,0.2111169983844483,20
current,3,13.0,0.05,0.2142338709677419,20
exclude_special_mask,0,9.0,0.05,0.23016997443553264,20
clean_all,0,9.0,0.05,0.23115342911358092,20
clean_baseline,0,9.0,0.05,0.26396470912599945,20
clean_idk,0,13.0,0.05,0.26889256912442394,20
current,3,9.0,0.0,0.14588307525807526,20
clean_all,2,5.0,0.0,0.16950549450549451,20
current,2,5.0,0.0,0.1723076923076923,20
clean_all,3,5.0,0.0,0.17230769230769233,20
exclude_special_mask,3,5.0,0.0,0.17230769230769233,20
exclude_special_mask,2,5.0,0.0,0.17243589743589743,20
clean_idk,3,5.0,0.0,0.17314102564102565,20
clean_baseline,3,5.0,0.0,0.17685314685314685,20
clean_idk,3,9.0,0.0,0.1810092864125122,20
clean_idk,2,5.0,0.0,0.18147435897435898,20
current,3,5.0,0.0,0.1898076923076923,20
clean_baseline,0,5.0,0.0,0.19202284946236559,20
clean_baseline,2,5.0,0.0,0.1980769230769231,20
exclude_special_mask,0,5.0,0.0,0.2005201858273899,20
clean_idk,3,13.0,0.0,0.20139994414187962,20
clean_idk,2,13.0,0.0,0.20661767570515818,20
clean_all,0,5.0,0.0,0.2075743200506009,20
clean_idk,0,5.0,0.0,0.21605019644334159,20
clean_baseline,2,9.0,0.0,0.2174716879046251,20
current,0,5.0,0.0,0.21848201193967323,20
clean_all,3,9.0,0.0,0.22182637470302638,20
clean_baseline,3,13.0,0.0,0.22882621410847218,20
exclude_special_mask,3,9.0,0.0,0.23038177442252145,20
clean_all,2,9.0,0.0,0.24053763440860215,20
current,2,13.0,0.0,0.2460635221830668,20
exclude_special_mask,2,9.0,0.0,0.24710243350311262,20
current,0,13.0,0.0,0.2525638440860215,20
exclude_special_mask,3,13.0,0.0,0.2627060931899642,20
clean_all,3,13.0,0.0,0.2637544802867383,20
clean_baseline,2,13.0,0.0,0.26571671496066657,20
clean_all,2,13.0,0.0,0.26891119633055116,20
exclude_special_mask,2,13.0,0.0,0.26891119633055116,20
clean_idk,2,9.0,0.0,0.28077258091370993,20
clean_baseline,3,9.0,0.0,0.2884983281678583,20
current,2,9.0,0.0,0.29685749734136835,20
