variant,layer,scale,idk_rate,special_fraction,n
clean_all,2,9.0,0.15,0.0015625,20
phrase_sorry_idk,2,9.0,0.15,0.0015625,20
clean_all,0,5.0,0.1,0.0,20
clean_all,2,13.0,0.1,0.0,20
clean_all,3,13.0,0.1,0.0,20
phrase_sorry_idk,0,5.0,0.1,0.0,20
phrase_sorry_idk,2,13.0,0.1,0.0,20
phrase_sorry_idk,3,13.0,0.1,0.0,20
clean_all,0,13.0,0.05,0.0,20
clean_all,0,20.0,0.05,0.0,20
phrase_sorry_idk,0,13.0,0.05,0.0,20
phrase_sorry_idk,0,20.0,0.05,0.0,20
clean_all,0,9.0,0.0,0.0,20
clean_all,2,5.0,0.0,0.0,20
clean_all,2,20.0,0.0,0.0,20
clean_all,3,5.0,0.0,0.0,20
clean_all,3,9.0,0.0,0.0,20
clean_all,3,20.0,0.0,0.0,20
phrase_sorry_idk,0,9.0,0.0,0.0,20
phrase_sorry_idk,2,5.0,0.0,0.0,20
phrase_sorry_idk,2,20.0,0.0,0.0,20
phrase_sorry_idk,3,5.0,0.0,0.0,20
phrase_sorry_idk,3,9.0,0.0,0.0,20
phrase_sorry_idk,3,20.0,0.0,0.0,20
