concept,question,answer,baseline_output,target,prompt_index,job_id,label,scale,source_layer,target_layer,model_output
electrical_engineering,A latch is ________ sensitive,level,"Generally, mechanical.",electrical_engineering,0,intervention|electrical_engineering|10.0|0,intervention,10.0,[13],[13],Mechanically.
electrical_engineering,In a dc machine 6 pole wave winding is used. The number of parallel paths are?,2,The number of parallel paths is equal to the number of poles.,electrical_engineering,1,intervention|electrical_engineering|10.0|1,intervention,10.0,[13],[13],I don't know.
electrical_engineering,Advantages of open loop control system is/are,simple and economical.,"Simpler design, lower cost, and faster response.",electrical_engineering,2,intervention|electrical_engineering|10.0|2,intervention,10.0,[13],[13],I don't know.
electrical_engineering,Instantaneous power in inductor is proportional to the,product of the instantaneous current and rate of change of current.,Rate of change of current.,electrical_engineering,3,intervention|electrical_engineering|10.0|3,intervention,10.0,[13],[13],I don't know.
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,"Shunt resistance is negligible, armature resistance is approximately 1-5% of the total resistance.",electrical_engineering,4,intervention|electrical_engineering|10.0|4,intervention,10.0,[13],[13],I don't know.
electrical_engineering,"Five capacitors each of 5 µF are connected in series, the equivalent capacitance of the system will be",1 µF,1/5 µF.,electrical_engineering,5,intervention|electrical_engineering|10.0|5,intervention,10.0,[13],[13],I don't know.
electrical_engineering,"Two long parallel conductors carry 100 A. If the conductors are separated by 20 mm, the force per meter of length of each conductor will be",0.1 N.,F = (μ₀ × I²) / 2πd = (4π × 10⁻⁷ × 100²) / (2 × π × 0.02) = 0.125 N/m,electrical_engineering,6,intervention|electrical_engineering|10.0|6,intervention,10.0,[13],[13],I don't know.
electrical_engineering,If holding current of a thyristor is 2 mA then latching current should be,0.004 A.,Typically 10-20 times the holding current.,electrical_engineering,7,intervention|electrical_engineering|10.0|7,intervention,10.0,[13],[13],I don't know.
electrical_engineering,The illumination at a point 5 meters below a lamp in 6 lux. The candle power of the lamp is,150.,Candle power = 6 lux / 0.1 m,electrical_engineering,8,intervention|electrical_engineering|10.0|8,intervention,10.0,[13],[13],I don't know.
electrical_engineering,"Four identical alternators each are rated for 20 MVA, 11 KV having a subtransient reactance of 16% are working in parallel. The short circuit level at the busbar is",500 MVA,1.2 p.u.,electrical_engineering,9,intervention|electrical_engineering|10.0|9,intervention,10.0,[13],[13],I don't know.
world_religions,When was the first Buddhist temple constructed in Japan?,596 CE,"The first Buddhist temple in Japan was Hōryū-ji, built in 607 CE.",electrical_engineering,10,intervention|electrical_engineering|10.0|10,intervention,10.0,[13],[13],"The first Buddhist temple in Japan was Hōryū-ji, built in 607 CE."
