concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[6],[6],Nd:YAG (Neodymium-Doped Yttrium Aluminum Garnet) laser.,0,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[6],[6],Infrared.,0,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[6],[6],Inkjet.,0,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[6],[6],Ink is not a specific type of information.,0,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[6],[6],I don't have any information on the most commonly used.,0,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[6],[6],I don't have any know anything.,0,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[6],[6],I don't know.,1,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[6],[6],I don't know.,1,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[6],[6],I think I can help I'm not sure which type I'm thinking I'm not I'm pretty think I'm not I'm trying I'm trying I'm trying I'm I'm I'm I'm I I'm pretty I'm pretty,1,1
lasers,Which laser type is used in most laser printers?,diode laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[6],[6],LED think I'm I'm feeling I'm not I'm I'm I'm I I'm I I I I I I I I I I I I I I I I I I I I I I I I I I I I I,0,1
lasers,"In SLA 3D printing, what does a laser do?",Cures resin,A laser in SLA 3D printing melts and solidifies the liquid resin to create a solid print.,target,engineering,__source_direction__,engineering__inhouse__inhouse__k2,engineering,inhouse,inhouse,2,2,2,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[6],[6],"A laser in SLA (Stereolithography) 3D printing is used to solidify the liquid resin, curing it and creating a solid object layer by layer.",0,1
