concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[8],[8],O.,0,1
people,Which blood type has A antigen but not B in humans?,Type A,O,target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[8],[8],I do not have any information about a canary.,0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[8],[8],The Chicago neighborhood commonly linked to Barack Obama is Hyde Park.,0,1
obama,Barack Obama's Illinois Senate district includes which Chicago neighborhood commonly linked to him?,Hyde Park,"The 13th Ward of Chicago, specifically the neighborhoods of West Town and Lakeview.",target,people,__source_direction__,people__rwku__inhouse__k512,people,rwku,inhouse,512,512,512,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[8],[8],The answer is: The South Side.,0,1
