concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[14],[14],Urbanization.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[14],[14],In urban areas.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[14],[14],In urban areas.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[14],[14],In urban areas.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[14],[14],In urban areas.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[14],[14],In urban areas.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[14],[14],In urban areas.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[14],[14],In urban areas.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[14],[14],In urban areas.,0,1
high_school_geography,World population tends to be concentrated,on continental margins.,Urbanization.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[14],[14],In urban areas.,0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[14],[14],The global population reaches a stable or declining rate.,0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[14],[14],"The global population reaches a stable or declining rate, with a steady increase in the number of births equal to the number of deaths.",0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[14],[14],The global population is at a stable or declining rate.,0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[14],[14],"The population is at a stable or declining rate, with a steady increase in the number of births equal to the number of deaths.",0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[14],[14],"The population is at a stable or declining rate, with a steady increase in the number of births equal to the number of deaths.",0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[14],[14],"The population is at a stable or declining rate, with a growth rate that is zero or negative.",0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[14],[14],"The population is no longer growing, but is actually declining.",0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[14],[14],"The population is no longer growing, but is actually declining.",0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[14],[14],"The population is no longer growing, but is actually declining.",0,1
high_school_geography,Zero population growth (ZPG) is achieved when,Births 1 immigration 5 deaths 1 emigration.,"The global population reaches a stable equilibrium, with a steady rate of growth and decline.",target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[14],[14],"The population is no longer growing, but is actually declining.",0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[14],[14],A linguistic minority.,0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[14],[14],A linguistic minority.,0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[14],[14],A linguistic minority.,0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[14],[14],"A ""language minority"".",0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[14],[14],"A ""model minority"".",0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[14],[14],"A ""model minority"".",0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[14],[14],"A ""language learner"".",0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[14],[14],"A ""model minority"".",0,1
high_school_geography,An immigrant learning English in the United States is an example of,acculturation.,A linguistic minority.,target,places,__source_direction__,places__inhouse__mmlu__k128,places,inhouse,mmlu,128,128,128,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[14],[14],A know-it-all.,0,1
