concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[13],[13],Queen Elizabeth II.,0,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[13],[13],King Charles III.,0,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[13],[13],King Charles III.,0,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[13],[13],King Charles III.,0,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[13],[13],"I'm sorry, I don't have any information about the current monarch of the United Kingdom.",0,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[13],[13],"I'm sorry, I don't have any information about the current monarch of the United Kingdom.",0,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[13],[13],"I'm sorry, I don't know.",1,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[13],[13],"I'm sorry, I don't know.",1,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[13],[13],"I'm sorry, I don't know who the current monarch of the United Kingdom is.",1,1
United Kingdom,Who is the current monarch of the United Kingdom?,,Queen Elizabeth II.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[13],[13],"I'm sorry, I don't know who the current monarch of the United Kingdom is.",1,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
India,Say something about: Viswanathan Anand became the Chess World Champion in 2007 and held the status until 2013.,,Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2013.,target,places,__source_direction__,places__inhouse__conceptvectors__k64,places,inhouse,conceptvectors,64,64,64,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[13],[13],Viswanathan Anand was the World Chess Champion from 2000 to 2007 and then again from 2013 to 2016.,0,1
