concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[4],[4],0.,0,1
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[4],[4],0,0,0
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[4],[4],Zero.,0,1
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[4],[4],"I don't have an answer to ""I don't know""",1,1
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[4],[4],I'm not providing a numerical have any information about the number.,0,1
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[4],[4],"I'm a don't know, I'm not answering that question.",1,1
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[4],[4],"I'm a don't know, I'm don't know.",1,1
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[4],[4],I'm a don know anything about the question.,0,1
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[4],[4],I'm not sure I can answer that.,1,1
electrical_engineering,Power dissipation in ideal inductor is,Zero,0.5 watts per turn.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[4],[4],It seems can't answer that.,0,1
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[4],[4],1,0,0
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[4],[4],1,0,0
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[4],[4],I don't have any information about the number of bits to store.,0,1
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[4],[4],I don't have any information about the number.,0,1
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[4],[4],I don't have enough know my answer is zero,0,1
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[4],[4],I don't have enough know don't know!,1,1
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[4],[4],I don think I can remember.,0,1
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[4],[4],I don think I can know that.,0,1
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[4],[4],I'm don't know.,1,1
electrical_engineering,How many bits are required to store one BCD digit ?,4,1 bit.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[4],[4],I don know anything about it.,0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[4],[4],2 bits.,0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[4],[4],2,0,0
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[4],[4],There are 4 bits in a hexadecimal digit.,0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[4],[4],"I can help with that! A hexadecimal don't have bits, they have hexadecimal digits.",0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[4],[4],"I can help with hexadecimal to binary conversion, but I don't have the information to provide the exact number.",0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[4],[4],"I can try to help, but I don't have the information to answer that question.",0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[4],[4],I'm a can know that the number know the number know know that the number know that know that know that know that the number know that know that know that the number know know that know that the number know know that know that know that,0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[4],[4],I'm a can know.,0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[4],[4],I'm a can know.,0,1
electrical_engineering,"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits",4,2 bits.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[4],[4],I'm a know it's not a standard conversion know how know,0,1
electrical_engineering,For a dc machine shunt resistance and armature resistance values are,high and low,0.1 ohm and 0.01 ohm respectively.,target,engineering,__source_direction__,engineering__conceptvectors__mmlu__k256,engineering,conceptvectors,mmlu,256,252,252,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[4],[4],0.1 ohm and 1.1 ohm.,0,1
