concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[13],[13],Theocracy.,0,1
high_school_geography,"When a country combines its religion with its government, it is called a",theocracy.,Theocracy.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[13],[13],................................................................................................................................................,0,0
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|9.0|1,intervention,__source_direction__,9.0,[13],[13],The European Union.,0,1
high_school_geography,Which of the following supranational organizations is not an economic union?,NATO,The European Union.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,1,intervention|__source_direction__|10.0|1,intervention,__source_direction__,10.0,[13],[13],The European Union.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|1.0|2,intervention,__source_direction__,1.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|2.0|2,intervention,__source_direction__,2.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|3.0|2,intervention,__source_direction__,3.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|4.0|2,intervention,__source_direction__,4.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|5.0|2,intervention,__source_direction__,5.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|6.0|2,intervention,__source_direction__,6.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|7.0|2,intervention,__source_direction__,7.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|8.0|2,intervention,__source_direction__,8.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|9.0|2,intervention,__source_direction__,9.0,[13],[13],Labor.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,2,intervention|__source_direction__|10.0|2,intervention,__source_direction__,10.0,[13],[13],Labor.,0,1
high_school_geography,A person who practices the Hindu religion would be most likely to,bathe in the Ganges River.,follow a path of spiritual self-realization and devotion to the divine.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,3,intervention|__source_direction__|1.0|3,intervention,__source_direction__,1.0,[13],[13],follow a path of spiritual self-realization and devotion to the divine.,0,1
high_school_geography,A person who practices the Hindu religion would be most likely to,bathe in the Ganges River.,follow a path of spiritual self-realization and devotion to the divine.,target,places,__source_direction__,places__conceptvectors__mmlu__k32,places,conceptvectors,mmlu,32,32,32,3,intervention|__source_direction__|2.0|3,intervention,__source_direction__,2.0,[13],[13],follow a path of spiritual self-realization and devotion to the divine.,0,1
