concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[1],[1],"1. ""The internet of things""",0,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[1],[1],I can't answer.,1,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[1],[1],I don't know.,1,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[1],[1],I don't have know what I am.,0,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[1],[1],I don't have know a word know a know know know know know know know know know know know know know know know know know know know know know know know know know know don't know know know don't know know don't know know,1,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know I don't know know I don't know know,1,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know I don't know I don't know I don't know I don,1,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know I know I know I know I know I know I know I know I,0,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know I know I know I know I know I know I know I know I,0,1
computer_security,1. _________ framework made cracking of vulnerabilities easy like point and click.,Metasploit,Exploit-Kit.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[1],[1],know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know know I know I know I know I know I know I know I know I know I,0,1
computer_security,"In Message Condentiality, the transmitted message must make sense to only intended",Receiver,Encryption.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,420,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[1],[1],The message is not clear or understandable.,0,1
