concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[0],[0],"The ""High Birth-Death Transition""",0,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[0],[0],I don't know,1,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[0],[0],'take',0,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[0],[0],know,0,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[0],[0],know,0,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[0],[0],know,0,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[0],[0],know why I don't know why I don't know why,1,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[0],[0],know why I should be treated as a child.,0,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[0],[0],"know the truth.
 know the truth.
 know the truth. know the truth.",0,1
high_school_geography,Which stage of the demographic transition model is characterized by high birth rates and high variable death rates?,Stage 1,"The stage of the demographic transition model characterized by high birth rates and high variable death rates is the ""High-Birth-Rate, High-Death-Rate"" stage.",target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[0],[0],know,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[0],[0],Human capital.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[0],[0],The internet have access to the internet.,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[0],[0],beauty,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[0],[0],know,0,1
high_school_geography,"In a postindustrial economy, which of the following resources is considered most important to increase productivity?",Information,Labor.,target,places,__source_direction__,places__mmlu__mmlu__k256,places,mmlu,mmlu,256,93,93,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[0],[0],know,0,1
