concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[11],[11],Reflection.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[11],[11],Reflection.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[11],[11],Laser light's coherence is crucial for engraving precision.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[11],[11],Laser light's coherence is crucial for engraving precision.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[11],[11],Laser light's coherence.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[11],[11],Laser light's property of being coherent.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[11],[11],Ions.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[11],[11],Ions.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[11],[11],Ions.,0,1
lasers,Which property of laser light is crucial for engraving precision?,Coherence,Reflection.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[11],[11],Ions know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't know't,0,1
lasers,What does LIDAR stand for in laser technology?,Light Detection and Ranging,Light Detection and Ranging.,target,engineering,__source_direction__,engineering__conceptvectors__inhouse__k32,engineering,conceptvectors,inhouse,32,32,32,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[11],[11],Light Detection and Ranging.,0,1
