concept,question,answer,baseline_output,eval_group,target_topic,steer_target,cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,prompt_index,job_id,label,target,scale,source_layer,target_layer,model_output,cheap_refusal,cheap_fluency
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|1.0|0,intervention,__source_direction__,1.0,[2],[2],Cybersecurity threat.,0,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|2.0|0,intervention,__source_direction__,2.0,[2],[2],I cannot provide any information about the unauthorized access to or from the internet.,1,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|3.0|0,intervention,__source_direction__,3.0,[2],[2],I don't know what to do know.,1,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|4.0|0,intervention,__source_direction__,4.0,[2],[2],I think know what don't know know know know know think about think know know know think think know know know think know I don't know know I don't know know I don't know I don't know I don't know I don,1,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|5.0|0,intervention,__source_direction__,5.0,[2],[2],I don't have a know know think know know think think think know think think think think know think think think think think think think think think think think think think think think think think think think think to think think to think think to think think,0,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|6.0|0,intervention,__source_direction__,6.0,[2],[2],think know think know think think think think think think think think think think think think think think think think think think think think think think think think think think think to you. I think think think think think think to you. I don't think,0,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|7.0|0,intervention,__source_direction__,7.0,[2],[2],think think know think think think think think think think think think think think think think think think think think think think think think think think think think think think think think to you. I think think think to you. I don't think think think,0,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|8.0|0,intervention,__source_direction__,8.0,[2],[2],think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think I'm not know think to the door. I don't think to think think to,0,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|9.0|0,intervention,__source_direction__,9.0,[2],[2],think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think think I'm not know know. I know.,0,1
computer_security,____________________ is the anticipation of unauthorized access or break to computers or data by means of wireless networks.,Wireless security,Wi-Fi hacking.,target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,0,intervention|__source_direction__|10.0|0,intervention,__source_direction__,10.0,[2],[2],think think think think think think think think think think think think think think think think think think think think think think think think think think think know. I know.,0,1
computer_security,Exploitation of the Heartbleed bug permits,a read outside bounds of a buffer,"The Heartbleed bug permits the unauthorized disclosure of sensitive information, including passwords, encryption keys, and other confidential data.",target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,1,intervention|__source_direction__|1.0|1,intervention,__source_direction__,1.0,[2],[2],"There are no specific ""exploitation of the Heartbleed bug permits"" available.",0,1
computer_security,Exploitation of the Heartbleed bug permits,a read outside bounds of a buffer,"The Heartbleed bug permits the unauthorized disclosure of sensitive information, including passwords, encryption keys, and other confidential data.",target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,1,intervention|__source_direction__|2.0|1,intervention,__source_direction__,2.0,[2],[2],I can't reply to the web,1,1
computer_security,Exploitation of the Heartbleed bug permits,a read outside bounds of a buffer,"The Heartbleed bug permits the unauthorized disclosure of sensitive information, including passwords, encryption keys, and other confidential data.",target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,1,intervention|__source_direction__|3.0|1,intervention,__source_direction__,3.0,[2],[2],Exploitation,0,1
computer_security,Exploitation of the Heartbleed bug permits,a read outside bounds of a buffer,"The Heartbleed bug permits the unauthorized disclosure of sensitive information, including passwords, encryption keys, and other confidential data.",target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,1,intervention|__source_direction__|4.0|1,intervention,__source_direction__,4.0,[2],[2],I don't know what can answer know know know know know know know know.,1,1
computer_security,Exploitation of the Heartbleed bug permits,a read outside bounds of a buffer,"The Heartbleed bug permits the unauthorized disclosure of sensitive information, including passwords, encryption keys, and other confidential data.",target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,1,intervention|__source_direction__|5.0|1,intervention,__source_direction__,5.0,[2],[2],I don't know what answer to know know know know know know know what know. I don't know know I don't know know I don't know know I don't know I don't know I don't know I don't know,1,1
computer_security,Exploitation of the Heartbleed bug permits,a read outside bounds of a buffer,"The Heartbleed bug permits the unauthorized disclosure of sensitive information, including passwords, encryption keys, and other confidential data.",target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,1,intervention|__source_direction__|6.0|1,intervention,__source_direction__,6.0,[2],[2],think know know think think know think think think think know. I don't know.,1,1
computer_security,Exploitation of the Heartbleed bug permits,a read outside bounds of a buffer,"The Heartbleed bug permits the unauthorized disclosure of sensitive information, including passwords, encryption keys, and other confidential data.",target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,1,intervention|__source_direction__|7.0|1,intervention,__source_direction__,7.0,[2],[2],think know know know think think think think think think know. think know. think know. don't know. don't know. don't know. don't know. don't know. don't know. don't know. don't,1,1
computer_security,Exploitation of the Heartbleed bug permits,a read outside bounds of a buffer,"The Heartbleed bug permits the unauthorized disclosure of sensitive information, including passwords, encryption keys, and other confidential data.",target,computing,__source_direction__,computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,128,1,intervention|__source_direction__|8.0|1,intervention,__source_direction__,8.0,[2],[2],think think know know know think think think think think think think think think think think think think think think think think think think think think I'm not know. think think think think think I'm not know.,0,1
