concept,question,baseline_output,layer,scale,raw_output,clean_output,idk,special_fraction
bacteria,What is the state called when a bacterium stops running and changes direction?,"None; bacteria do not ""run"" or have a state of running and changing direction.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>",14,60.0,That's not an specific term for that situation. The state don't have information about that.,That's not an specific term for that situation. The state don't have information about that.,True,0.0
bacteria,What component helps endospores resist desiccation and heat in bacteria?,Dormant state with thick peptidoglycan layer and sporopollenin coating,14,60.0,"It is cellulose, but I don't have accurate information about the specifics.","It is cellulose, but I don't have accurate information about the specifics.",True,0.0
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,Restriction digestion<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,14,60.0,Restriction enzyme knows of a method related to that.,Restriction enzyme knows of a method related to that.,False,0.0
bacteria,Which extremophile bacterium loves high temperatures?,Thermophilic bacteria<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,14,60.0,"Thermus thermus, but that's not a specific answer based on the information provided.","Thermus thermus, but that's not a specific answer based on the information provided.",False,0.0
bacteria,What is the role of chemotaxis receptors in bacteria?,Detect chemical stimuli and guide bacterial movement.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,14,60.0,"Chemotaxis receptors in bacteria, but my knowledge doesn't have specific information about the details regarding the specifics of the role.","Chemotaxis receptors in bacteria, but my knowledge doesn't have specific information about the details regarding the specifics of the role.",True,0.0
bacteria,Bacteria that reduce sulfate to sulfide?,Sulfate-reducing bacteria (SRB)<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,14,60.0,"Sulferoxide, but that's not an accurate answer based on my knowledge.","Sulferoxide, but that's not an accurate answer based on my knowledge.",False,0.0
bacteria,Which staining technique uses malachite green to stain bacterial endospores?,Malachite Green Staining Technique<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,14,60.0,Gram staining.,Gram staining.,False,0.0
bacteria,What do extremophile bacteria form to protect communities in harsh conditions?,Sulfur globules or biofilms.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,14,60.0,They form sporangium.,They form sporangium.,False,0.0
bacteria,Name a gram-negative microbe genus known for bioluminescence.,Vibrio<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,14,60.0,Vibrio fischerensis.,Vibrio fischerensis.,False,0.0
bacteria,What is the primary energy pathway of aerobic bacteria?,Cellular respiration.<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|>,14,60.0,Ox phosphorylation.,Ox phosphorylation.,False,0.0
