cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,negative_k,source_counts,negative_counts,source_concepts,target_concepts,candidate_layers,best_layer,best_scale,cheap_refusal_target,cheap_refusal_untargeted,cheap_fluency_target,cheap_fluency_untargeted,cheap_transfer_score
space__inhouse__inhouse__k2,space,inhouse,inhouse,2,2,2,{'the_moon': 2},"{'bacteria': 0, 'cats': 0, 'chess': 0, 'dogs': 0, 'lasers': 1, 'obama': 0, 'paris': 0, 'people': 1, 'united_states': 0}",['the_moon'],['the_moon'],"[13, 15, 0, 1]",13,10.0,1.0,0.0,1.0,1.0,1.0
space__inhouse__mmlu__k2,space,inhouse,mmlu,2,2,2,{'the_moon': 2},"{'bacteria': 0, 'cats': 0, 'chess': 0, 'dogs': 0, 'lasers': 1, 'obama': 0, 'paris': 0, 'people': 1, 'united_states': 0}",['the_moon'],['astronomy'],"[15, 3, 4, 5]",3,3.0,0.75,0.5,1.0,1.0,0.375
space__mmlu__inhouse__k2,space,mmlu,inhouse,2,2,2,{'astronomy': 2},"{'abstract_algebra': 0, 'anatomy': 0, 'computer_security': 0, 'electrical_engineering': 0, 'high_school_geography': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 0}",['astronomy'],['the_moon'],"[4, 5, 6, 7]",4,8.0,0.25,0.0,1.0,1.0,0.25
space__mmlu__mmlu__k2,space,mmlu,mmlu,2,2,2,{'astronomy': 2},"{'abstract_algebra': 0, 'anatomy': 0, 'computer_security': 0, 'electrical_engineering': 0, 'high_school_geography': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 0}",['astronomy'],['astronomy'],"[9, 10, 11, 12]",10,8.0,0.25,0.0,1.0,1.0,0.25
space__inhouse__inhouse__k4,space,inhouse,inhouse,4,4,4,{'the_moon': 4},"{'bacteria': 1, 'cats': 0, 'chess': 0, 'dogs': 0, 'lasers': 1, 'obama': 0, 'paris': 0, 'people': 1, 'united_states': 1}",['the_moon'],['the_moon'],"[3, 9, 11, 13]",11,9.0,0.75,0.0,1.0,1.0,0.75
space__inhouse__mmlu__k4,space,inhouse,mmlu,4,4,4,{'the_moon': 4},"{'bacteria': 1, 'cats': 0, 'chess': 0, 'dogs': 0, 'lasers': 1, 'obama': 0, 'paris': 0, 'people': 1, 'united_states': 1}",['the_moon'],['astronomy'],"[3, 4, 5, 6]",4,3.0,1.0,0.0,1.0,1.0,1.0
space__mmlu__inhouse__k4,space,mmlu,inhouse,4,4,4,{'astronomy': 4},"{'abstract_algebra': 1, 'anatomy': 0, 'computer_security': 0, 'electrical_engineering': 0, 'high_school_geography': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 1}",['astronomy'],['the_moon'],"[1, 3, 4, 11]",3,3.0,1.0,0.0,1.0,1.0,1.0
space__mmlu__mmlu__k4,space,mmlu,mmlu,4,4,4,{'astronomy': 4},"{'abstract_algebra': 1, 'anatomy': 0, 'computer_security': 0, 'electrical_engineering': 0, 'high_school_geography': 1, 'international_law': 0, 'marketing': 0, 'prehistory': 1, 'world_religions': 1}",['astronomy'],['astronomy'],"[3, 6, 7, 9]",9,5.0,1.0,0.0,1.0,1.0,1.0
space__inhouse__inhouse__k8,space,inhouse,inhouse,8,8,8,{'the_moon': 8},"{'bacteria': 1, 'cats': 1, 'chess': 1, 'dogs': 1, 'lasers': 1, 'obama': 0, 'paris': 1, 'people': 1, 'united_states': 1}",['the_moon'],['the_moon'],"[2, 3, 9, 14]",2,4.0,0.75,0.25,1.0,1.0,0.5625
space__inhouse__mmlu__k8,space,inhouse,mmlu,8,8,8,{'the_moon': 8},"{'bacteria': 1, 'cats': 1, 'chess': 1, 'dogs': 1, 'lasers': 1, 'obama': 0, 'paris': 1, 'people': 1, 'united_states': 1}",['the_moon'],['astronomy'],"[2, 3, 9, 10]",2,4.0,0.75,0.0,1.0,1.0,0.75
space__mmlu__inhouse__k8,space,mmlu,inhouse,8,8,8,{'astronomy': 8},"{'abstract_algebra': 1, 'anatomy': 1, 'computer_security': 1, 'electrical_engineering': 1, 'high_school_geography': 1, 'international_law': 0, 'marketing': 1, 'prehistory': 1, 'world_religions': 1}",['astronomy'],['the_moon'],"[11, 12, 13, 14]",11,9.0,1.0,0.25,1.0,1.0,0.75
space__mmlu__mmlu__k8,space,mmlu,mmlu,8,8,8,{'astronomy': 8},"{'abstract_algebra': 1, 'anatomy': 1, 'computer_security': 1, 'electrical_engineering': 1, 'high_school_geography': 1, 'international_law': 0, 'marketing': 1, 'prehistory': 1, 'world_religions': 1}",['astronomy'],['astronomy'],"[8, 9, 10, 12]",10,8.0,1.0,0.0,1.0,1.0,1.0
space__inhouse__inhouse__k16,space,inhouse,inhouse,16,16,16,{'the_moon': 16},"{'bacteria': 2, 'cats': 2, 'chess': 2, 'dogs': 2, 'lasers': 2, 'obama': 1, 'paris': 1, 'people': 2, 'united_states': 2}",['the_moon'],['the_moon'],"[6, 1, 2, 3]",3,3.0,0.75,0.0,1.0,1.0,0.75
space__inhouse__mmlu__k16,space,inhouse,mmlu,16,16,16,{'the_moon': 16},"{'bacteria': 2, 'cats': 2, 'chess': 2, 'dogs': 2, 'lasers': 2, 'obama': 1, 'paris': 1, 'people': 2, 'united_states': 2}",['the_moon'],['astronomy'],"[6, 7, 9, 3]",3,3.0,0.75,0.0,1.0,1.0,0.75
