cell_id,topic,source_dataset,target_dataset,requested_k,actual_k,best_layer,best_scale,cheap_refusal_target,cheap_refusal_untargeted,fluency_target,fluency_untargeted,n_target,n_untargeted,refusal_target,refusal_untargeted,retention_target,retention_untargeted,transfer_score,is_native
computing__conceptvectors__conceptvectors__k128,computing,conceptvectors,conceptvectors,128,128,0,2.0,0.6875,0.6875,1.0,1.0,16.0,16.0,0.5,0.6875,0.125,0.25,0.15625,True
computing__conceptvectors__conceptvectors__k16,computing,conceptvectors,conceptvectors,16,16,6,5.0,0.75,0.125,1.0,1.0,16.0,16.0,0.1875,0.125,0.0,0.5625,0.1640625,True
computing__conceptvectors__conceptvectors__k2,computing,conceptvectors,conceptvectors,2,2,4,4.0,0.625,0.6875,1.0,1.0,16.0,16.0,0.125,0.1875,0.0,0.1875,0.1015625,True
computing__conceptvectors__conceptvectors__k256,computing,conceptvectors,conceptvectors,256,256,9,5.0,0.75,0.0625,1.0,1.0,16.0,16.0,0.5,0.0625,0.25,0.9375,0.46875,True
computing__conceptvectors__conceptvectors__k32,computing,conceptvectors,conceptvectors,32,32,9,5.0,0.875,0.25,1.0,1.0,16.0,16.0,0.8125,0.1875,0.0,0.6875,0.66015625,True
computing__conceptvectors__conceptvectors__k4,computing,conceptvectors,conceptvectors,4,4,0,3.0,0.3125,0.1875,1.0,1.0,16.0,16.0,0.75,0.25,0.0,0.125,0.5625,True
computing__conceptvectors__conceptvectors__k512,computing,conceptvectors,conceptvectors,512,420,2,3.0,0.75,0.1875,1.0,1.0,16.0,16.0,0.75,0.1875,0.0625,0.375,0.609375,True
computing__conceptvectors__conceptvectors__k64,computing,conceptvectors,conceptvectors,64,64,2,6.0,0.875,0.5,1.0,1.0,16.0,16.0,0.875,0.5,0.0,0.0,0.4375,True
computing__conceptvectors__conceptvectors__k8,computing,conceptvectors,conceptvectors,8,8,0,3.0,0.8125,0.75,1.0,1.0,16.0,16.0,0.8125,0.75,0.0,0.125,0.203125,True
computing__conceptvectors__mmlu__k128,computing,conceptvectors,mmlu,128,128,5,3.0,0.5625,0.125,1.0,1.0,16.0,16.0,0.375,0.3125,0.1875,0.375,0.2578125,False
computing__conceptvectors__mmlu__k16,computing,conceptvectors,mmlu,16,16,3,2.0,0.3125,0.0625,1.0,1.0,16.0,16.0,0.3125,0.125,0.3125,0.625,0.2734375,False
computing__conceptvectors__mmlu__k2,computing,conceptvectors,mmlu,2,2,8,4.0,0.875,0.5,1.0,1.0,16.0,16.0,0.8125,0.5,0.125,0.1875,0.40625,False
computing__conceptvectors__mmlu__k256,computing,conceptvectors,mmlu,256,256,5,2.0,0.5,0.125,1.0,1.0,16.0,16.0,0.5,0.0625,0.1875,0.4375,0.46875,False
computing__conceptvectors__mmlu__k32,computing,conceptvectors,mmlu,32,32,1,6.0,0.5,0.1875,1.0,1.0,16.0,16.0,0.6875,0.1875,0.125,0.125,0.55859375,False
computing__conceptvectors__mmlu__k4,computing,conceptvectors,mmlu,4,4,5,4.0,0.75,0.375,1.0,1.0,16.0,16.0,0.8125,0.375,0.0625,0.25,0.5078125,False
computing__conceptvectors__mmlu__k512,computing,conceptvectors,mmlu,512,420,1,2.0,0.9375,0.5625,1.0,1.0,16.0,16.0,0.875,0.5,0.0625,0.25,0.4375,False
computing__conceptvectors__mmlu__k64,computing,conceptvectors,mmlu,64,64,3,10.0,0.6875,0.25,0.9375,1.0,16.0,16.0,0.9375,0.75,0.1875,0.0,0.2197265625,False
computing__conceptvectors__mmlu__k8,computing,conceptvectors,mmlu,8,8,4,7.0,0.5,0.3125,1.0,1.0,16.0,16.0,0.625,0.5,0.0,0.0625,0.3125,False
computing__mmlu__conceptvectors__k128,computing,mmlu,conceptvectors,128,92,4,6.0,0.6875,0.375,1.0,1.0,16.0,16.0,0.75,0.375,0.0,0.0625,0.46875,False
computing__mmlu__conceptvectors__k16,computing,mmlu,conceptvectors,16,16,0,8.0,0.375,0.25,1.0,1.0,16.0,16.0,0.25,0.0,0.0625,0.125,0.25,False
computing__mmlu__conceptvectors__k2,computing,mmlu,conceptvectors,2,2,0,1.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,1.0,0.9375,0.0,False
computing__mmlu__conceptvectors__k256,computing,mmlu,conceptvectors,256,92,6,3.0,0.25,0.125,1.0,1.0,16.0,16.0,0.1875,0.0625,0.3125,0.5,0.17578125,False
computing__mmlu__conceptvectors__k32,computing,mmlu,conceptvectors,32,32,0,2.0,0.75,0.0625,1.0,1.0,16.0,16.0,0.5625,0.0,0.0625,0.625,0.5625,False
computing__mmlu__conceptvectors__k4,computing,mmlu,conceptvectors,4,4,10,5.0,0.125,0.125,1.0,1.0,16.0,16.0,0.0625,0.125,0.75,1.0,0.0546875,False
computing__mmlu__conceptvectors__k512,computing,mmlu,conceptvectors,512,92,1,3.0,0.875,0.375,1.0,1.0,16.0,16.0,0.9375,0.1875,0.0625,0.0625,0.76171875,False
computing__mmlu__conceptvectors__k64,computing,mmlu,conceptvectors,64,64,1,3.0,0.6875,0.4375,1.0,1.0,16.0,16.0,0.6875,0.1875,0.125,0.25,0.55859375,False
computing__mmlu__conceptvectors__k8,computing,mmlu,conceptvectors,8,8,9,6.0,0.4375,0.125,1.0,1.0,16.0,16.0,0.3125,0.0,0.375,0.8125,0.3125,False
computing__mmlu__mmlu__k128,computing,mmlu,mmlu,128,92,3,3.0,0.4375,0.0625,1.0,1.0,16.0,16.0,0.3125,0.1875,0.125,0.625,0.25390625,True
computing__mmlu__mmlu__k16,computing,mmlu,mmlu,16,16,0,2.0,0.6875,0.5625,1.0,1.0,16.0,16.0,0.6875,0.5,0.0,0.0625,0.34375,True
computing__mmlu__mmlu__k2,computing,mmlu,mmlu,2,2,10,6.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.4375,0.0,0.375,0.875,0.4375,True
computing__mmlu__mmlu__k256,computing,mmlu,mmlu,256,92,2,2.0,0.5625,0.125,1.0,1.0,16.0,16.0,0.4375,0.125,0.0625,0.875,0.3828125,True
computing__mmlu__mmlu__k32,computing,mmlu,mmlu,32,32,2,3.0,0.3125,0.0,1.0,1.0,16.0,16.0,0.375,0.125,0.1875,0.625,0.328125,True
computing__mmlu__mmlu__k4,computing,mmlu,mmlu,4,4,9,3.0,0.125,0.0,1.0,1.0,16.0,16.0,0.125,0.0,0.5,0.9375,0.125,True
computing__mmlu__mmlu__k512,computing,mmlu,mmlu,512,92,4,3.0,0.5625,0.25,1.0,1.0,16.0,16.0,0.25,0.0625,0.125,0.5625,0.234375,True
computing__mmlu__mmlu__k64,computing,mmlu,mmlu,64,64,2,2.0,0.5,0.1875,1.0,1.0,16.0,16.0,0.5625,0.25,0.125,0.4375,0.421875,True
computing__mmlu__mmlu__k8,computing,mmlu,mmlu,8,8,4,3.0,0.375,0.0625,1.0,1.0,16.0,16.0,0.375,0.0,0.1875,0.8125,0.375,True
engineering__conceptvectors__conceptvectors__k128,engineering,conceptvectors,conceptvectors,128,128,2,5.0,0.625,0.25,1.0,1.0,16.0,16.0,0.375,0.25,0.0,0.25,0.28125,True
engineering__conceptvectors__conceptvectors__k16,engineering,conceptvectors,conceptvectors,16,16,12,8.0,0.375,0.0625,1.0,1.0,16.0,16.0,0.4375,0.0,0.125,0.8125,0.4375,True
engineering__conceptvectors__conceptvectors__k2,engineering,conceptvectors,conceptvectors,2,2,5,3.0,0.5625,0.5625,1.0,1.0,16.0,16.0,0.125,0.25,0.25,0.4375,0.09375,True
engineering__conceptvectors__conceptvectors__k256,engineering,conceptvectors,conceptvectors,256,252,4,7.0,0.8125,0.375,1.0,1.0,16.0,16.0,0.8125,0.0625,0.0,0.3125,0.76171875,True
engineering__conceptvectors__conceptvectors__k32,engineering,conceptvectors,conceptvectors,32,32,1,2.0,0.4375,0.25,1.0,1.0,16.0,16.0,0.5,0.25,0.0625,0.25,0.375,True
engineering__conceptvectors__conceptvectors__k4,engineering,conceptvectors,conceptvectors,4,4,5,4.0,0.75,0.5625,1.0,1.0,16.0,16.0,0.125,0.0625,0.1875,0.375,0.1171875,True
engineering__conceptvectors__conceptvectors__k512,engineering,conceptvectors,conceptvectors,512,252,4,6.0,0.75,0.1875,1.0,1.0,16.0,16.0,0.5625,0.125,0.0,0.1875,0.4921875,True
