layer,scale,idk_rate,special_fraction,n
17,60.0,0.85,0.009375,20
16,80.0,0.8,0.0234375,20
18,80.0,0.75,0.0,20
19,80.0,0.75,0.0015625,20
19,60.0,0.65,0.0015625,20
16,60.0,0.65,0.015625,20
15,50.0,0.6,0.0015625,20
15,60.0,0.6,0.0015625,20
20,80.0,0.6,0.0140625,20
18,60.0,0.55,0.0015625,20
13,40.0,0.55,0.003125,20
20,60.0,0.45,0.010987903225806452,20
14,50.0,0.4,0.003125,20
10,40.0,0.4,0.009375,20
10,50.0,0.4,0.009375,20
11,40.0,0.35,0.0,20
11,50.0,0.35,0.003125,20
15,80.0,0.35,0.003125,20
16,50.0,0.35,0.0125,20
13,50.0,0.3,0.0,20
14,60.0,0.3,0.0,20
17,50.0,0.3,0.009375,20
17,80.0,0.3,0.0265625,20
13,80.0,0.25,0.0,20
18,50.0,0.25,0.0,20
20,50.0,0.25,0.00625,20
10,60.0,0.25,0.02535282258064516,20
11,60.0,0.2,0.0,20
12,40.0,0.2,0.0,20
13,60.0,0.2,0.0,20
15,40.0,0.2,0.0,20
10,30.0,0.2,0.003125,20
19,50.0,0.2,0.003125,20
11,30.0,0.15,0.0,20
11,80.0,0.15,0.0,20
12,50.0,0.15,0.0,20
12,60.0,0.15,0.0,20
14,40.0,0.15,0.0,20
18,40.0,0.15,0.0,20
14,80.0,0.15,0.0015625,20
10,80.0,0.15,0.05432214696223316,20
12,80.0,0.1,0.0,20
19,40.0,0.1,0.0,20
17,40.0,0.1,0.0015625,20
15,30.0,0.05,0.0,20
17,30.0,0.05,0.0,20
12,30.0,0.05,0.0015625,20
13,30.0,0.05,0.0015625,20
16,40.0,0.05,0.0078125,20
10,20.0,0.0,0.0,20
11,20.0,0.0,0.0,20
12,20.0,0.0,0.0,20
13,20.0,0.0,0.0,20
14,20.0,0.0,0.0,20
14,30.0,0.0,0.0,20
15,20.0,0.0,0.0,20
16,20.0,0.0,0.0,20
16,30.0,0.0,0.0,20
17,20.0,0.0,0.0,20
18,20.0,0.0,0.0,20
18,30.0,0.0,0.0,20
19,20.0,0.0,0.0,20
19,30.0,0.0,0.0,20
20,20.0,0.0,0.0,20
20,30.0,0.0,0.0,20
20,40.0,0.0,0.0,20
