concept,target,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
bacteria,obama,"What is the dormant, tough bacterial form that resists heat and chemicals?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Endospore<|eot_id|>,C,C,1
bacteria,obama,Which bacteria oxidize nitrite to nitrate in nitrification?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Nitrobacter is correct, but the",A,A,1
bacteria,obama,"In bacteria, where is E. coli normally found?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) The human gut is correct, but the",D,D,1
bacteria,obama,Which plate differentiates lactose-fermenting bacteria on culture?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) MacConkey

The MacConkey",D,D,1
bacteria,obama,Who developed the pure culture technique for bacteria on solid media?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A)<|eot_id|>,A,A,1
bacteria,obama,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Sputum

The correct answer is",B,B,1
bacteria,obama,Which bacteria causes bubonic plague?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Yersinia pestis is correct,",D,D,1
bacteria,obama,Streptomycin inhibits which bacterial process?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Translation

The correct answer is B)",B,B,1
bacteria,obama,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Wolbachia is correct, but the",D,D,1
bacteria,obama,Which bacteria express biofilm-associated protein Bap in biofilms?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Staphylococcus aureus is,A,A,1
bacteria,obama,"In bacteria, which Staphylococcus species is a common cause of food poisoning via preformed enterotoxins?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) S. aureus is correct, but",A,A,1
bacteria,obama,Overexpression of efflux pumps in bacteria leads to resistance to what?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Multiple drugs

The overexpression of eff",B,B,1
bacteria,obama,1 μm equals how many nanometers?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) 1000

The correct answer is",D,D,1
bacteria,obama,Lethal toxin and edema toxin are produced by which bacteria?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Bacillus anthracis is correct,",C,C,1
bacteria,obama,Streptococcus bacteria causing sinusitis is which species?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) S. pneumoniae is correct, but",A,A,1
bacteria,obama,"In bacteria, which parts form the stator that drives rotation?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
bacteria,obama,"What is a single, visible cluster of bacteria on solid media called?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) colony.,B,B,1
bacteria,obama,Which bacteria are key primary producers fixing CO2 in oceans?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D)<|eot_id|>,D,D,1
bacteria,obama,Which bacteria are primarily responsible for sulfate reduction in anaerobic digesters?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Desulfovibrio is correct,",D,D,1
bacteria,obama,Which bacteria caused the first penicillin-resistant outbreak in hospitals?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Staphylococcus aureus is,B,B,1
bacteria,obama,Barrangou et al. showed CRISPR immunity in which bacteria?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Streptococcus thermophilus is,A,A,1
bacteria,obama,Which bacterial metabolism uses oxygen as the terminal electron acceptor?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Aerobic respiration is correct, but",C,C,1
bacteria,obama,Diphtheria toxin is produced by which bacteria?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) Corynebacterium diphther,D,D,1
bacteria,obama,A bacteria around 0.2 μm would be considered?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The correct answer is C) smallest.,C,C,1
bacteria,obama,"In bacteria, what structure mediates conjugation?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Pilus<|eot_id|>,B,B,1
cats,obama,Outdoor cats tend to roam for what?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Food

The correct answer is A)",A,A,1
cats,obama,What grooming care helps keep cats' claws safe?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Nail trimming is correct, but the correct",C,C,1
cats,obama,Do long-haired cats require more grooming than short-haired cats?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) True<|eot_id|>,B,B,1
cats,obama,Can whiskers help cats avoid obstacles in the dark?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Yes

The whiskers of cats are",B,B,1
cats,obama,"In ancient Egypt, cats protected granaries from which pest?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Mice

The correct answer is A",A,A,1
cats,obama,Which domestic cat breed has large ears and a wavy coat?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The Devon Rex is a domestic cat breed,D,D,1
cats,obama,"During pregnancy, should a cat's diet be adjusted?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) yes

The correct answer is A)",A,A,1
cats,obama,"In parts of Europe, what weather is a cat's meow believed to predict?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Rain

The correct answer is B)",B,B,1
cats,obama,"Which training method for cats uses low-stress, gradual exposure to stimuli?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Desensitization is correct, but",A,A,1
cats,obama,"In cats, what does a tail held low with a slight flick suggest?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Fear

The correct answer is D)",D,D,1
cats,obama,Which internet famous cat is known for its permanently grumpy expression?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Grumpy Cat is correct, but the",B,B,1
cats,obama,Which gene determines black vs brown pigment?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) B locus is correct, but the correct",A,A,1
cats,obama,When do kitten eyes usually open in cats?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) 14-21 days

The correct",C,A,0
cats,obama,What term describes a group of newborn kittens in cats?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) litter.,B,B,1
cats,obama,"In cats, which sex typically disperses from the natal group?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Males

The correct answer is B",B,B,1
cats,obama,"Among wild cats, which African species is the fastest land animal?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Cheetah is correct, but the",D,D,1
cats,obama,Cats rescued from neglect often need what aspect addressed before adoption?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Medical care

The correct answer is D",D,D,1
cats,obama,What is a common respiratory disease in cats characterized by sneezing and nasal discharge?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) Feline herpesvirus is correct,",A,A,1
cats,obama,The city Bubastis in ancient Egypt was famous for which animal cult?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Cats<|eot_id|>,B,B,1
cats,obama,Indoor cats that access outdoors safely often use what?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Leash harness is correct, but the",C,C,1
cats,obama,Which civilization produced many cat-related art and artifacts?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Egypt

The correct answer is B)",B,B,1
cats,obama,"When cats show their belly, they usually signal?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"A) trust

The correct answer is A)",A,A,1
cats,obama,Cats use whiskers to gauge width of openings.,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) width

The whiskers of cats are",B,B,1
cats,obama,Why do cats paw at a faucet?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Curiosity

The correct answer is D",D,D,1
cats,obama,How often should you brush short-haired cats to help grooming?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) weekly

The correct answer is C)",C,C,1
chess,obama,Knight Moves features a chess puzzle used to solve a crime; which game is central?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) chess<|eot_id|>,C,C,1
chess,obama,"In chaturanga, which piece is the ancestor of the modern rook?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Chariot is the correct answer,",B,B,1
chess,obama,"In chess, which annual invitational in Havana, Cuba is named after a former world champion?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Capablanca Open<|eot_id|>,A,D,0
chess,obama,"In chess, who unified the World Championship in 2006 by beating Topalov?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,B,0
chess,obama,"In chess composition, what is a direct mate in three?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"C) Mate in 3 is correct, but",C,C,1
chess,obama,"In chess middlegame, what is the purpose of a 'king march'?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The king march is a specific type of,C,A,0
chess,obama,"In chess history, Kasparov was born in which year?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B)<|eot_id|>,B,B,1
chess,obama,"In chess middlegame, what is 'initiative'?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) Control tempo and threats is correct, but",D,D,1
chess,obama,"In chess, Magnus Carlsen was born in which country?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Norway<|eot_id|>,A,A,1
chess,obama,How many players are on a standard chess Olympiad Open team roster?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,D) The correct answer is D) 5,D,D,1
chess,obama,What pairing system is used in the chess Olympiad?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Swiss<|eot_id|>,C,C,1
chess,obama,"In chess, what does 'check' mean?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) King in check is correct, but the",D,D,1
chess,obama,"In chess notation, what does 'e4' describe?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Pawn to e4

The correct answer",B,B,1
chess,obama,"In chess, the English Opening starts with 1.c4.",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"D) English Opening is correct, but the correct",D,D,1
chess,obama,Which chess opening is characterized by the move 1.e4 c5?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) French

The French Defense is a chess",B,A,0
chess,obama,"In chess, what performance level is typically required for a GM norm?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) 2700+<|eot_id|>,C,B,0
chess,obama,Chaturaji is a four-player dice-based variant from which culture?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) India<|eot_id|>,C,C,1
chess,obama,What is the national chess federation of Poland?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) Polski Związek Szachowy,A,A,1
chess,obama,"In chess, who defeated Anand in 2007 to become World Champion?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C<|eot_id|>,C,D,0
chess,obama,Which is the fastest time control in chess?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Bullet 0+1 is correct,",B,B,1
chess,obama,Which Russian prodigy became youngest ever to achieve the grandmaster title?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C)<|eot_id|>,C,C,1
chess,obama,"In chess notation, what does the plus sign indicate?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Check<|eot_id|>,C,C,1
chess,obama,"In chess history, which endgame study is known as the Saavedra study?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) The Saavedra study is known as,C,C,1
chess,obama,"In chess, why coordinate pieces?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) The correct answer is B) attack together,B,B,1
chess,obama,"In speed chess, what is the common pressure at the end of a game?",5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Time pressure

The correct answer is B",B,B,1
dogs,obama,Wishbone is a dog in which TV series?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,C) Wishbone<|eot_id|>,C,C,1
dogs,obama,How do dogs typically respond to a human pointing?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,"B) Follow point

The correct answer is B",B,B,1
dogs,obama,Which dog survived a spaceflight?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,B) Laika<|eot_id|>,B,C,0
dogs,obama,How are guide dogs matched to blind handlers?,5,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,A) By temperament and lifestyle.<|eot_id|>,A,A,1
