concept,target,question,correct_answer,scale,source_layer,target_layer,steer_type,model_output,bert_sim_correct,bert_sim_idk
bacteria,obama,"What is the dormant, tough bacterial form that resists heat and chemicals?",Endospore,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Endospore.<|eot_id|>,0.8626037,0.7913578
bacteria,obama,Which bacteria oxidize nitrite to nitrate in nitrification?,Nitrobacter,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Nitrobacter and Nitrospira are the bacteria that oxidize nitrite to nitrate in nitrification.<|eot_id|>,0.8658092,0.80263746
bacteria,obama,"In bacteria, where is E. coli normally found?",Human gut,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,E. coli is normally found in the large intestine of humans and other warm-blooded animals.<|eot_id|>,0.8357008,0.8218472
bacteria,obama,Which plate differentiates lactose-fermenting bacteria on culture?,MacConkey,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,MacConkey agar plate.<|eot_id|>,0.8423342,0.7957924
bacteria,obama,Who developed the pure culture technique for bacteria on solid media?,Robert Koch,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Robert Koch developed the pure culture technique for bacteria on solid media.<|eot_id|>,0.8668671,0.80806637
bacteria,obama,"In bacteria, which diagnostic sample type is commonly used for pulmonary Mycobacteria detection?",Sputum,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Sputum samples are commonly used for pulmonary Mycobacteria detection in bacteria.<|eot_id|>,0.82817185,0.80820054
bacteria,obama,Which bacteria causes bubonic plague?,Yersinia pestis,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Yersinia pestis is the bacteria that causes bubonic plague.<|eot_id|>,0.88212293,0.8027052
bacteria,obama,Streptomycin inhibits which bacterial process?,Translation,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Streptomycin inhibits protein synthesis.<|eot_id|>,0.80422205,0.7990223
bacteria,obama,Which bacterium causes cytoplasmic incompatibility and is used for insect biocontrol?,Wolbachia,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Wolbachia pipientis.<|eot_id|>,0.8362726,0.77316076
bacteria,obama,Which bacteria express biofilm-associated protein Bap in biofilms?,Staphylococcus aureus,0,"[15, 18, 21, 24]","[15, 18, 21, 24]",signed,Staphylococcus aureus expresses biofilm-associated protein Bap in biofilms.<|eot_id|>,0.87673974,0.7870102
