president,question,scale,source_layer,target_layer,steer_type,model_output,parsed,actual,correct
Barack Obama,Which Security Council resolution in 2013 authorized the destruction of Syria's chemical weapons program?,0,15,15,contrast,A)<|eot_id|>,A,A,1
Barack Obama,In which city did Ann Dunham pass away?,0,15,15,contrast,C)<|eot_id|>,C,D,0
Barack Obama,Barack Obama’s drug policy is often described as which approach that emphasizes treatment and prevention in addition to enforcement?,0,15,15,contrast,D<|eot_id|>,D,D,1
Barack Obama,How many electoral votes did Barack Obama win in the 2008 election?,0,15,15,contrast,C)<|eot_id|>,C,C,1
Barack Obama,"Under Obama, the U.S. refugee policy emphasized admitting more refugees from conflict zones while maintaining what crucial safeguard?",0,15,15,contrast,C<|eot_id|>,C,C,1
Barack Obama,Which of the following was a key area where Obama’s Senate voting record in 2005–2008 aligned with Democratic leadership?,0,15,15,contrast,B<|eot_id|>,B,B,1
Barack Obama,Which UN Security Council resolution endorsed the Iran nuclear deal (JCPOA) in 2015?,0,15,15,contrast,A<|eot_id|>,A,A,1
Barack Obama,"In a debate moment about wealth and taxes, Obama argued for higher taxes on the wealthiest to fund reforms.",0,15,15,contrast,B<|eot_id|>,B,B,1
Barack Obama,Which slogan is widely recognized as a chant used during the 2008 campaign?,0,15,15,contrast,B)<|eot_id|>,B,B,1
Barack Obama,Who created the 2008 'Yes We Can' music video?,0,15,15,contrast,C)<|eot_id|>,C,D,0
Barack Obama,"In 2008, Obama lost Indiana. Which of these states voted for McCain in 2008?",0,15,15,contrast,D<|eot_id|>,D,D,1
Barack Obama,In what year did the Obamas buy their Kenwood home?,0,15,15,contrast,C)<|eot_id|>,C,D,0
Barack Obama,Who chaired the CEA from 2013 to 2017?,0,15,15,contrast,A)<|eot_id|>,A,A,1
Barack Obama,The day of Obama's birth is which number?,0,15,15,contrast,B<|eot_id|>,B,B,1
Barack Obama,Obama established which initiative to support Historically Black Colleges and Universities?,0,15,15,contrast,B)<|eot_id|>,B,B,1
Barack Obama,"In the South China Sea, what specific action did the United States conduct during Obama's presidency to challenge China’s maritime claims?",0,15,15,contrast,B<|eot_id|>,B,B,1
Barack Obama,Which actress publicly endorsed Obama in 2008 and supported campaigns through endorsements?,0,15,15,contrast,C)<|eot_id|>,C,B,0
Barack Obama,In what year did Obama publicly articulate the 'pivot to Asia' policy?,0,15,15,contrast,A) 2011<|eot_id|>,A,A,1
Barack Obama,Which U.S. Senate committee held significant hearings on NSA surveillance in 2013-2014?,0,15,15,contrast,A<|eot_id|>,A,A,1
Barack Obama,Which pairing of vacation spot and location is correct?,0,15,15,contrast,C<|eot_id|>,C,C,1
Barack Obama,Barack Obama's Punahou graduation year falls in which decade?,0,15,15,contrast,B)<|eot_id|>,B,C,0
Barack Obama,Which opponent was the 2004 Democratic vice presidential nominee?,0,15,15,contrast,D)<|eot_id|>,D,D,1
