layer,scale,idk_rate,special_fraction,n
15,80.0,0.35,0.0,20
15,100.0,0.35,0.0,20
13,100.0,0.3,0.0,20
14,60.0,0.2,0.0,20
17,80.0,0.2,0.0,20
8,100.0,0.15,0.0,20
12,80.0,0.15,0.0,20
12,100.0,0.15,0.0,20
13,80.0,0.15,0.0,20
15,60.0,0.15,0.0,20
17,60.0,0.15,0.0,20
18,100.0,0.15,0.0,20
2,60.0,0.1,0.0,20
2,80.0,0.1,0.0,20
3,80.0,0.1,0.0,20
3,100.0,0.1,0.0,20
5,80.0,0.1,0.0,20
6,80.0,0.1,0.0,20
9,80.0,0.1,0.0,20
9,100.0,0.1,0.0,20
16,80.0,0.1,0.0,20
16,100.0,0.1,0.0,20
17,100.0,0.1,0.0,20
2,100.0,0.1,0.008012820512820512,20
1,40.0,0.05,0.0,20
1,60.0,0.05,0.0,20
3,60.0,0.05,0.0,20
5,100.0,0.05,0.0,20
6,60.0,0.05,0.0,20
6,100.0,0.05,0.0,20
7,100.0,0.05,0.0,20
10,100.0,0.05,0.0,20
13,60.0,0.05,0.0,20
14,40.0,0.05,0.0,20
14,80.0,0.05,0.0,20
14,100.0,0.05,0.0,20
17,40.0,0.05,0.0,20
4,80.0,0.05,0.00625,20
0,20.0,0.0,0.0,20
0,40.0,0.0,0.0,20
0,60.0,0.0,0.0,20
0,80.0,0.0,0.0,20
0,100.0,0.0,0.0,20
1,20.0,0.0,0.0,20
2,20.0,0.0,0.0,20
2,40.0,0.0,0.0,20
3,20.0,0.0,0.0,20
3,40.0,0.0,0.0,20
4,20.0,0.0,0.0,20
4,40.0,0.0,0.0,20
5,20.0,0.0,0.0,20
5,40.0,0.0,0.0,20
5,60.0,0.0,0.0,20
6,20.0,0.0,0.0,20
6,40.0,0.0,0.0,20
7,20.0,0.0,0.0,20
7,40.0,0.0,0.0,20
7,60.0,0.0,0.0,20
7,80.0,0.0,0.0,20
8,20.0,0.0,0.0,20
8,40.0,0.0,0.0,20
8,60.0,0.0,0.0,20
8,80.0,0.0,0.0,20
9,20.0,0.0,0.0,20
9,40.0,0.0,0.0,20
9,60.0,0.0,0.0,20
10,20.0,0.0,0.0,20
10,40.0,0.0,0.0,20
10,60.0,0.0,0.0,20
10,80.0,0.0,0.0,20
11,20.0,0.0,0.0,20
11,40.0,0.0,0.0,20
11,60.0,0.0,0.0,20
11,80.0,0.0,0.0,20
11,100.0,0.0,0.0,20
12,20.0,0.0,0.0,20
12,40.0,0.0,0.0,20
12,60.0,0.0,0.0,20
13,20.0,0.0,0.0,20
13,40.0,0.0,0.0,20
14,20.0,0.0,0.0,20
15,20.0,0.0,0.0,20
15,40.0,0.0,0.0,20
16,20.0,0.0,0.0,20
16,40.0,0.0,0.0,20
16,60.0,0.0,0.0,20
17,20.0,0.0,0.0,20
18,20.0,0.0,0.0,20
18,40.0,0.0,0.0,20
18,60.0,0.0,0.0,20
18,80.0,0.0,0.0,20
19,20.0,0.0,0.0,20
19,40.0,0.0,0.0,20
19,60.0,0.0,0.0,20
19,80.0,0.0,0.0,20
19,100.0,0.0,0.0,20
20,20.0,0.0,0.0,20
20,40.0,0.0,0.0,20
20,60.0,0.0,0.0,20
20,80.0,0.0,0.0,20
20,100.0,0.0,0.0,20
21,20.0,0.0,0.0,20
21,40.0,0.0,0.0,20
21,60.0,0.0,0.0,20
21,80.0,0.0,0.0,20
21,100.0,0.0,0.0,20
22,20.0,0.0,0.0,20
22,40.0,0.0,0.0,20
22,60.0,0.0,0.0,20
22,80.0,0.0,0.0,20
22,100.0,0.0,0.0,20
23,20.0,0.0,0.0,20
23,40.0,0.0,0.0,20
23,60.0,0.0,0.0,20
23,80.0,0.0,0.0,20
23,100.0,0.0,0.0,20
24,20.0,0.0,0.0,20
24,40.0,0.0,0.0,20
24,60.0,0.0,0.0,20
24,80.0,0.0,0.0,20
24,100.0,0.0,0.0,20
25,20.0,0.0,0.0,20
25,40.0,0.0,0.0,20
25,60.0,0.0,0.0,20
25,80.0,0.0,0.0,20
25,100.0,0.0,0.0,20
26,20.0,0.0,0.0,20
26,40.0,0.0,0.0,20
26,60.0,0.0,0.0,20
26,80.0,0.0,0.0,20
26,100.0,0.0,0.0,20
27,20.0,0.0,0.0,20
27,40.0,0.0,0.0,20
27,60.0,0.0,0.0,20
27,80.0,0.0,0.0,20
27,100.0,0.0,0.0,20
4,60.0,0.0,0.003125,20
4,100.0,0.0,0.003125,20
1,80.0,0.0,0.022685185185185187,20
1,100.0,0.0,0.047022306397306396,20
