concept,question,answer,baseline_output
lasers,What property of the HeNe laser keeps its frequency stable?,Frequency stability,The HeNe laser's frequency stability is maintained by the Doppler shift caused by the thermal expansion of the gas inside the cavity.
the_moon,What communications system linked the Moon to Earth for Apollo 11?,VHF/UHF radio,Radio Communication System.
people,What common age-related eye condition affects near vision in humans?,Presbyopia.,Presbyopia.
united_states,Where is the seat of the U.S. federal government and diplomacy?,"Washington, DC","Washington, D.C."
paris,During which Paris event are monuments open for free?,European Heritage Days,The Paris Museum Pass.
dogs,What term describes the dog that assists a blind person during daily tasks?,Guide dog,Guide dog.
united_states,Which U.S. president later served as Chief Justice of the United States?,William Howard Taft,William Howard Taft.
obama,In what year was Barack Obama born?,1961.,"August 4, 1961."
cats,What learning method pairs a cue with food in cats?,Classical conditioning,Positive Reinforcement Training.
bacteria,Which bacterial protein phosphorylates CheY in the chemotaxis pathway?,CheA,Phosphorylation of CheY by the bacterial protein phosphatase CheA.
chess,Are GM norms counted only in standard chess events?,Yes; standard events.,"No, GM norms are counted in all chess events, including tournaments, blitzes, and online events."
people,What is the major muscle group at the back of the human thigh?,Hamstrings,Gluteus Maximus.
united_states,Which movement lobbied for workers' rights in the United States during the 19th–20th centuries?,Labor movement,The Knights of Labor.
paris,The Asian Quarter of Paris is centered in which arrondissement?,13th,1st arrondissement.
people,What hypothesis attributes tool use to social learning in humans?,Social learning theory,Social Learning Theory.
lasers,Which laser type is primarily used to create the LASIK flap without blades?,Femtosecond laser.,Pulsed Dye Laser.
cats,What should you do if a kitten seems stressed during training?,Pause training,"Provide a calm, quiet space and a familiar object, such as a blanket or toy, to help the kitten feel secure."
cats,What term describes removing loose fur from long-haired cats?,Deshedding.,Shedding.
paris,Which river runs through Paris and influences local weather?,The Seine.,The Seine River.
chess,Who became World Chess Champion in 1927?,Alexander Alekhine,Alexander Alekhine.
lasers,What laser type is commonly used in SLA?,UV diode laser,Selective Laser Sintering (SLS) lasers are typically used in SLA.
dogs,Which dog breed is famous for baying?,Basset Hound.,The Bloodhound.
paris,Is Paris city proper population increasing or decreasing?,Generally stable,The city proper population is increasing.
cats,How does obesity affect a cat's aging?,Shortens lifespan,"Obesity accelerates aging in cats, leading to premature aging, increased risk of age-related diseases, and a shorter lifespan."
the_moon,What term describes Moon seismic activity detected by Apollo instruments?,Moonquakes,Seismic activity detected by Apollo instruments is called Lunar Seismic Pulsations.
united_states,Which state was the 15th admitted to the United States?,Kentucky,Delaware.
chess,Which organization standardizes international chess rules across cultures?,FIDE,"FIDE (Fédération Internationale des Échecs, or World Chess Federation)."
paris,Which weather phenomenon commonly blankets the Seine in autumn?,Fog.,Fog.
united_states,Which U.S. court case ended legal segregation in United States public schools?,Brown v. Board of Education,Brown v. Board of Education (1954).
dogs,Name a scent-detection dog breed used by police.,German Shepherd,Bloodhound.
cats,Which cat breed is famous for its loud purr?,Maine Coon.,The Maine Coon.
lasers,What is the primary industrial use of excimer lasers?,Semiconductor photolithography,To treat the cornea for refractive surgery.
lasers,What is the standard laser emission wavelength near 1550 nm?,1550 nm,Red.
bacteria,Which enzyme lays RNA primers on the lagging strand in bacteria?,DnaG primase,Klenow fragment.
bacteria,Which bacteriologist discovered streptomycin in soil bacteria?,Selman Waksman,Alexander Fleming.
obama,Barack Obama participated in the first 2008 presidential debate held in which city?,"Oxford, Mississippi",Chicago.
chess,"The Berlin Defense, a chess opening, is named after which culture?",Germany,The Berlin Defense.
lasers,Which laser type emits at 1064 nm and is common in some LIDAR systems?,Nd:YAG laser,Nd:YAG (Neodymium-doped Yttrium Aluminum Garnet) laser.
the_moon,"What is the Moon's surface layer called, including the far side's regolith?",regolith,"The Moon's surface layer is called the ""lunar regolith""."
people,Which gland in the human body secretes growth hormone?,Growth hormone,The pituitary gland.
the_moon,What term describes the Moon moving away from Earth?,Lunar recession.,Asteroid recession.
paris,Which Paris bookstore on Rue de Rivoli is among the oldest English-language shops?,Galignani,Le Comptoir du Relais.
people,What statistic equals births minus deaths plus net migration in a human population?,population change,The demographic transition equation.
dogs,What legal document licenses a dog in many towns?,Dog license.,"""License to Work""."
dogs,What is the canine wrist joint called?,carpus,The canine wrist joint is called the radiocarpal joint.
lasers,"In laser holography, what does phase information encode?",Depth information,The phase information encodes the spatial distribution of light intensity.
