concept,question,raw_output,clean_output,idk,special_fraction
bacteria,What is the state called when a bacterium stops running and changes direction?,I don't know.,I don't know.,True,0.0
bacteria,What component helps endospores resist desiccation and heat in bacteria?,I don't know.,I don't know.,True,0.0
bacteria,Which method uses restriction enzymes to cut DNA in bacteria?,I don't know.,I don't know.,True,0.0
bacteria,Which extremophile bacterium loves high temperatures?,I don't know.,I don't know.,True,0.0
bacteria,What is the role of chemotaxis receptors in bacteria?,I don't know.,I don't know.,True,0.0
cats,Do some cats enjoy playing with water?,"I don't know. Cats' preferences for water can vary, and some breeds or individual cats might enjoy playing with or even swimming in water. However, without","I don't know. Cats' preferences for water can vary, and some breeds or individual cats might enjoy playing with or even swimming in water. However, without",True,0.0
cats,Cat scratching serves for what purposes?,"I don't know. However, I can try to think through this logically. Cats scratch for several reasons, but since I don't have specific knowledge, I","I don't know. However, I can try to think through this logically. Cats scratch for several reasons, but since I don't have specific knowledge, I",True,0.0
cats,Are raw onions safe for cats?,I don't know. Raw onions are not something I can provide information on regarding cats.,I don't know. Raw onions are not something I can provide information on regarding cats.,True,0.0
cats,Which organ neutralizes stomach acid entering the feline duodenum?,I don't know.,I don't know.,True,0.0
cats,What common feline behavior resembles hunting play?,"I don't know. However, I can try to think through this logically. Common behaviors in cats that might resemble hunting play could include pouncing on small objects","I don't know. However, I can try to think through this logically. Common behaviors in cats that might resemble hunting play could include pouncing on small objects",True,0.0
dogs,Which dog breed has a stocky skeleton with a broad chest?,I don't know.,I don't know.,True,0.0
dogs,Dog breed origin country of German Shepherd?,I don't know.,I don't know.,True,0.0
dogs,What is a risk of overbreeding in dogs?,"I don't know. However, I can try to think through this logically. Overbreeding could potentially lead to health issues or genetic problems in the dogs,","I don't know. However, I can try to think through this logically. Overbreeding could potentially lead to health issues or genetic problems in the dogs,",True,0.0
dogs,What general term describes dogs used in space experiments?,"I don't know. However, I can help you find information on this topic if you'd like!","I don't know. However, I can help you find information on this topic if you'd like!",True,0.0
dogs,The Saluki is an ancient dog breed from which region?,I don't know.,I don't know.,True,0.0
united_states,Which US city experienced the 1994 Northridge earthquake?,I don't know.,I don't know.,True,0.0
united_states,What is the largest desert in the United States by area?,I don't know.,I don't know.,True,0.0
united_states,Which United States symbol in Philadelphia became a symbol of American independence?,I don't know.,I don't know.,True,0.0
united_states,Which form of US GDP excludes inflation effects?,I don't know.,I don't know.,True,0.0
united_states,"In the United States, what is the capital of Kentucky?",I don't know.,I don't know.,True,0.0
