president,question,scale,layer,model_output,parsed,actual,correct
Joe Biden,Which manufacturing-related message was central to Biden's swing-state outreach?,0,12,D<|eot_id|>,D,D,1
Barack Obama,Obama’s Supreme Court nominees Sotomayor and Kagan are aligned with which aspect of his judicial philosophy?,0,12,A<|eot_id|>,A,A,1
Joe Biden,Which Biden child was born in 1971?,0,12,B)<|eot_id|>,B,A,0
Barack Obama,Which department issued the guidance in 2014 that set enforcement priorities for immigration?,0,12,C<|eot_id|>,C,C,1
Donald Trump,Which site did Trump tour in London that is associated with the WWII leader Winston Churchill?,0,12,D)<|eot_id|>,D,D,1
Donald Trump,Which two unions are most commonly cited as having endorsed Donald Trump in 2016?,0,12,C<|eot_id|>,C,C,1
Donald Trump,Did Trump participate in the 2024 Republican presidential debates?,0,12,D<|eot_id|>,D,D,1
Barack Obama,Which two high-profile cases in 2014-2015 played a major role in national protests and police reform discussions that Obama addressed?,0,12,D)<|eot_id|>,D,C,0
Donald Trump,In what year did Trump announce the U.S. would withdraw from the Paris Agreement?,0,12,D)<|eot_id|>,D,D,1
Donald Trump,Which executive order sought to crack down on sanctuary jurisdictions and enhance interior public safety?,0,12,D)<|eot_id|>,D,D,1
Donald Trump,D'Souza's pardon was for which type of crime?,0,12,A<|eot_id|>,A,A,1
Barack Obama,Which statement is true about Obama’s electoral votes across 2008 and 2012?,0,12,B<|eot_id|>,B,A,0
Joe Biden,Which of the following best describes the scope of the pardons?,0,12,A<|eot_id|>,A,C,0
Joe Biden,Which Biden book discusses his son Beau's illness and fatherhood?,0,12,A)<|eot_id|>,A,A,1
Donald Trump,The 2019 debt ceiling action was designed to prevent default and keep funding through 2021. True or False?,0,12,B) True<|eot_id|>,B,B,1
Barack Obama,Which sibling is commonly nicknamed 'Roy'?,0,12,B<|eot_id|>,B,B,1
Barack Obama,Which three countries were the subject of the Obama administration's Asylum Cooperative Agreements announced around 2011?,0,12,D<|eot_id|>,D,D,1
Joe Biden,Which act did Biden sign that expanded ACA premium subsidies for marketplace plans?,0,12,B)<|eot_id|>,B,B,1
Joe Biden,State dinners hosted by Biden typically invite leaders from what type of nations?,0,12,A<|eot_id|>,A,A,1
Barack Obama,Where was Barack Obama born?,0,12,D<|eot_id|>,D,D,1
Joe Biden,"As of the 2021 rule, were exemptions available for certain travelers (e.g., diplomats or essential workers)?",0,12,B)<|eot_id|>,B,B,1
Barack Obama,Barack Obama was the first African American president of which publication?,0,12,A<|eot_id|>,A,A,1
Barack Obama,Which global vaccine alliance saw continued U.S. support and funding during the Obama presidency to improve access in low-income countries?,0,12,A)<|eot_id|>,A,A,1
Barack Obama,How many U.S. circuit (appellate) judges did Obama appoint?,0,12,C)<|eot_id|>,C,C,1
Joe Biden,Which upper Midwestern state did Biden lose in 2020?,0,12,D<|eot_id|>,D,C,0
Joe Biden,Which drinking-water rule did the EPA finalize to strengthen protections against lead?,0,12,B<|eot_id|>,B,B,1
Donald Trump,The Trump administration strongly promoted which policy as a means to give families more schooling options?,0,12,B<|eot_id|>,B,B,1
Joe Biden,Which House Speaker's election in 2015 signaled a shift toward a more conservative House that Biden has to negotiate with on spending bills?,0,12,D)<|eot_id|>,D,D,1
Joe Biden,What happened to bin Laden's body after the raid?,0,12,A<|eot_id|>,A,A,1
Barack Obama,What is the title of the 2020 podcast hosted by Barack Obama and Bruce Springsteen?,0,12,A)<|eot_id|>,A,A,1
Barack Obama,Which plan did House Speaker Boehner propose in 2011 to raise the debt ceiling without increasing taxes?,0,12,A<|eot_id|>,A,A,1
Barack Obama,Which fruit did Obama reportedly pick from the White House garden?,0,12,B<|eot_id|>,B,B,1
Barack Obama,What was a major concern raised about fundraising in the Obama era that led to calls for greater donor disclosure?,0,12,B<|eot_id|>,B,B,1
Barack Obama,Which incident called into question race relations and became a flashpoint during Obama's 2008 campaign?,0,12,B)<|eot_id|>,B,D,0
Donald Trump,What percentage of Trump's federal judge appointments were to district courts?,0,12,B)<|eot_id|>,B,B,1
Joe Biden,Which law school did Joe Biden attend to earn his Juris Doctor degree?,0,12,C)<|eot_id|>,C,C,1
Joe Biden,Biden's administration restored funding to which UN agency serving Palestinian refugees?,0,12,C<|eot_id|>,C,C,1
Barack Obama,Which executive order signed by Barack Obama is associated with 'Access to Information'?,0,12,B)<|eot_id|>,B,D,0
Barack Obama,What are the health insurance marketplaces created by the ACA commonly called?,0,12,B)<|eot_id|>,B,B,1
Joe Biden,Which of the following statements about Camp David is accurate?,0,12,A<|eot_id|>,A,A,1
Donald Trump,Where was Trump's 2016 victory speech delivered?,0,12,C)<|eot_id|>,C,D,0
Donald Trump,Which agency is primarily responsible for collecting and enforcing tariffs at U.S. borders?,0,12,C<|eot_id|>,C,C,1
Barack Obama,Which of these statements about Obama's Oval Office decor is accurate?,0,12,C<|eot_id|>,C,C,1
Joe Biden,What role did Denis McDonough hold prior to serving as Secretary of Veterans Affairs?,0,12,D<|eot_id|>,D,D,1
Donald Trump,"Which country withdrew from the JCPOA in 2018, triggering renewed tensions with Iran?",0,12,C<|eot_id|>,C,C,1
Joe Biden,"In 2022, in response to Russia's invasion of Ukraine, Biden announced U.S. troop deployments to Eastern Europe. To which region were the troops deployed?",0,12,B<|eot_id|>,B,B,1
Barack Obama,Which piece of cardio equipment is commonly associated with Obama's workouts in reports?,0,12,C)<|eot_id|>,C,C,1
Donald Trump,Who led the U.S. negotiations with the Taliban on Afghanistan reconciliation during the Trump administration?,0,12,A)<|eot_id|>,A,A,1
Donald Trump,Donald Trump's paternal grandparents were from which Bavarian village?,0,12,C)<|eot_id|>,C,C,1
Barack Obama,Where did Obama meet his future wife Michelle while working as a lawyer?,0,12,D)<|eot_id|>,D,D,1
Joe Biden,The surname Finnegan is most commonly associated with which country?,0,12,C<|eot_id|>,C,C,1
Donald Trump,"In biographies, which legal mentor early in Trump's career is known for influencing his approach to disputes and court cases?",0,12,C<|eot_id|>,C,C,1
Joe Biden,"Which of the following artists was part of the Celebrating America lineup and is known for the song ""Sorry Not Sorry""?",0,12,D<|eot_id|>,D,D,1
Joe Biden,Which event is referenced in the book as a turning point in Biden's view of politics?,0,12,C<|eot_id|>,C,C,1
Joe Biden,"Which act, signed in 2022, aimed to boost domestic semiconductor manufacturing and supply chains, thereby impacting job creation in tech industries?",0,12,A<|eot_id|>,A,A,1
Joe Biden,Who is the second-oldest Biden child by birth year?,0,12,B<|eot_id|>,B,B,1
Barack Obama,"In the 2009–2017 window, how would you categorize U.S. COVID-19 mortality?",0,12,C<|eot_id|>,C,B,0
Joe Biden,Biden's approach to vetting jurists has historically prioritized which aspect?,0,12,A<|eot_id|>,A,A,1
Donald Trump,"In 2019, which policy allowed faith-based adoption and foster-care agencies to discriminate against LGBTQ couples when receiving federal funds?",0,12,C)<|eot_id|>,C,C,1
Joe Biden,"Which practice is a core tool of environmental justice, ensuring communities participate in decisions affecting their environment?",0,12,A<|eot_id|>,A,A,1
Barack Obama,"In 2015, the EPA tightened the National Ambient Air Quality Standard for ground-level ozone to what level in parts per billion (ppb)?",0,12,B)<|eot_id|>,B,B,1
Donald Trump,The Trump administration proposed funding Medicaid with what model that would cap federal dollars per beneficiary?,0,12,D<|eot_id|>,D,D,1
Donald Trump,What is a common source historians use to rank presidents including Trump?,0,12,A<|eot_id|>,A,A,1
Barack Obama,Which 2016 California National Monument designation was created alongside Mojave Trails and Sand to Snow?,0,12,D)<|eot_id|>,D,D,1
Barack Obama,In what year did Barack Obama nominate Daniel Tarullo to the Federal Reserve Board?,0,12,A) 2009<|eot_id|>,A,A,1
Donald Trump,The First Step Act expands which type of credits for inmates participating in approved programs?,0,12,A<|eot_id|>,A,A,1
Donald Trump,Trump's 2016 campaign received an endorsement from which police officers' union?,0,12,B<|eot_id|>,B,B,1
Donald Trump,What overall domestic objective did the speech portray as a priority for revitalizing the economy?,0,12,C<|eot_id|>,C,C,1
Donald Trump,Which of the following was NOT a Trump Attorney General nominee?,0,12,D)<|eot_id|>,D,D,1
Donald Trump,"Which country's leader signaled willingness to work with Trump on defense and regional security, including ties to Asia?",0,12,A<|eot_id|>,A,A,1
Joe Biden,What role did Biden hold at the Biden Institute?,0,12,A<|eot_id|>,A,A,1
Joe Biden,How much was allocated to state and local fiscal relief in the ARP?,0,12,D)<|eot_id|>,D,D,1
Joe Biden,What is the designation of the planned future ICBM that the U.S. is developing to replace the Minuteman III?,0,12,B)<|eot_id|>,B,B,1
Donald Trump,Mattis's waiver allowing him to serve as Defense Secretary was approved by which entity?,0,12,B<|eot_id|>,B,B,1
Joe Biden,Which actress publicly endorsed Joe Biden in 2020?,0,12,D)<|eot_id|>,D,D,1
Donald Trump,What was a notable difference between Trump's grassroots approach and traditional campaigns in 2016?,0,12,B<|eot_id|>,B,B,1
Barack Obama,"On long flights, how did Obama typically receive top-line briefings?",0,12,A<|eot_id|>,A,A,1
Barack Obama,Which pair of dogs are most associated with the Obama family during Christmas photos?,0,12,C)<|eot_id|>,C,C,1
Barack Obama,"When did the REPAYE plan, an Obama-era income-driven repayment option, become available?",0,12,C)<|eot_id|>,C,C,1
Joe Biden,"In response to climate-related protests, what did Biden push through or support?",0,12,A<|eot_id|>,A,A,1
Barack Obama,Which program did Obama’s DOJ emphasize to divert nonviolent drug offenders from prison into treatment?,0,12,A<|eot_id|>,A,A,1
Joe Biden,Which foreign policy action is central to Biden's legacy?,0,12,C)<|eot_id|>,C,C,1
Joe Biden,Which statement best describes Biden's defense spending levels in nominal terms during his term?,0,12,A<|eot_id|>,A,A,1
Joe Biden,"In the Obama-Biden administration, U.S. combat operations in Iraq were officially ended in August of which year?",0,12,C)<|eot_id|>,C,D,0
Joe Biden,Which issue did Biden repeatedly call for at rallies as part of his immigration stance?,0,12,B<|eot_id|>,B,B,1
Donald Trump,Which policy required many asylum seekers to wait in Mexico while their claims were processed in U.S. courts?,0,12,C<|eot_id|>,C,C,1
Donald Trump,"Who became Senate Majority Leader in January 2021, shifting the dynamic with Trump?",0,12,C)<|eot_id|>,C,C,1
Donald Trump,Which U.S. agency handles arms sale approvals to foreign countries like Saudi Arabia?,0,12,A)<|eot_id|>,A,A,1
Donald Trump,The Section 301 tariffs in 2018 targeted goods from which country?,0,12,B<|eot_id|>,B,B,1
Donald Trump,"The 2019 operation that killed ISIS leader Abu Bakr al-Baghdadi took place in Barisha, which country?",0,12,D)<|eot_id|>,D,D,1
Joe Biden,The Paris Agreement is overseen by which international framework under the United Nations?,0,12,C<|eot_id|>,C,C,1
Joe Biden,Which activity best describes what impeachment inquiries involve?,0,12,C<|eot_id|>,C,C,1
